Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,104.445935,[ 51 135] ; [319 128],[108.72037915  77.27962085] ; [261.27962085 185.72037915],1
n6,1,0.06886,3.309994,[163  24] ; [415  37],[169.1486698  17.8513302] ; [408.8513302  43.1486698],0
p3,1,0.07041,3.273428,[87 99] ; [247 205],[97.37304075 88.62695925] ; [236.62695925 215.37304075],0
u3,1,0.075024,3.169522,[28 31] ; [72 45],[33.52272727 25.47727273] ; [66.47727273 50.52272727],0
d5,1,0.076254,3.142988,[146  42] ; [377  74],[153.87167449  34.12832551] ; [369.12832551  81.87167449],0
p9,1,0.08695,2.929947,[157  29] ; [400  48],[163.41009464  22.58990536] ; [393.58990536  54.41009464],0
v4,1,0.097349,2.748447,[176  11] ; [439  14],[179.6953125   7.3046875] ; [435.3046875  17.6953125],0
n3,1,0.136951,2.211892,[35  8] ; [58 26],[31.48818898 11.51181102] ; [61.51181102 22.48818898],0
b5,1,0.145011,2.123967,[106  82] ; [284 170],[114.20560748  73.79439252] ; [275.79439252 178.20560748],0
a3,1,0.149122,2.081206,[129  58] ; [337 115],[136.37245696  50.62754304] ; [329.62754304 122.37245696],0
s1,1,0.187052,1.740687,[  3 182] ; [ 16 429],[  5.57936508 179.42063492] ; [ 13.42063492 431.57936508],0
a8,1,0.23247,1.425682,[ 22 145] ; [ 71 342],[ 26.77758621 140.22241379] ; [ 66.22241379 346.77758621],0
d1,1,0.23275,1.423974,[106  82] ; [279 175],[112.74143302  75.25856698] ; [272.25856698 181.74143302],0
a2,1,0.243184,1.362039,[ 43 145] ; [124 330],[ 48.90342679 139.09657321] ; [118.09657321 335.90342679],0
n4,1,0.243442,1.360552,[162  26] ; [405  48],[166.29641186  21.70358814] ; [400.70358814  52.29641186],0
p8,1,0.277581,1.178894,[95 90] ; [249 195],[101.17647059  83.82352941] ; [242.82352941 201.17647059],0
v2,1,0.278161,1.176054,[98 81] ; [260 177],[104.02922078  74.97077922] ; [253.97077922 183.02922078],0
u2,1,0.280469,1.164815,[29 29] ; [68 48],[32.33333333 25.66666667] ; [64.66666667 51.33333333],0
p10,1,0.28441,1.145898,[155  31] ; [388  60],[159.30283912  26.69716088] ; [383.69716088  64.30283912],0
v3,1,0.288241,1.127817,[ 73 110] ; [195 243],[ 78.97584541 104.02415459] ; [189.02415459 248.97584541],0
a1,1,0.297986,1.083185,[  6 182] ; [ 23 431],[  8.49221184 179.50778816] ; [ 20.50778816 433.49221184],0
a7,1,0.351869,0.866705,[130  58] ; [329 123],[134.83125  53.16875] ; [324.16875 127.83125],0
n1,1,0.415513,0.662972,[15 25] ; [38 46],[17.09677419 22.90322581] ; [35.90322581 48.09677419],0
b3,1,0.432613,0.615797,[48 63] ; [109 171],[44.57033248 66.42966752] ; [112.42966752 167.57033248],0
b2,1,0.432613,0.615797,[48 63] ; [109 171],[44.57033248 66.42966752] ; [112.42966752 167.57033248],0
a6,1,0.461453,0.542367,[133  55] ; [305 145],[129.06583072  58.93416928] ; [308.93416928 141.06583072],0
a5,1,0.578123,0.309279,[138  50] ; [342 111],[140.7800312  47.2199688] ; [339.2199688 113.7800312],0
b4,1,0.628014,0.234763,[105  83] ; [263 191],[107.76323988  80.23676012] ; [260.23676012 193.76323988],0
p11,1,0.756342,0.096279,[158  30] ; [377  77],[156.66666667  31.33333333] ; [378.33333333  75.66666667],0
b1,1,0.772502,0.083581,[ 71 117] ; [177 277],[ 72.62305296 115.37694704] ; [175.37694704 278.62305296],0
n2,1,0.788099,0.072242,[33 10] ; [67 18],[33.59375  9.40625] ; [66.40625 18.59375],0
a4,1,0.817575,0.053206,[89 99] ; [209 242],[ 87.67449139 100.32550861] ; [210.32550861 240.67449139],0
d2,1,0.93069,0.007565,[94 93] ; [225 226],[93.5 93.5] ; [225.5 225.5],0
p1,1,0.971946,0.001237,[ 16 172] ; [ 38 413],[ 15.88732394 172.11267606] ; [ 38.11267606 412.88732394],0
