Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1e-06,23.643929,[ 2 27] ; [39 25],[12.78494624 16.21505376] ; [28.21505376 35.78494624],1
b1,1,0.362661,0.828657,[17 12] ; [31 33],[14.96774194 14.03225806] ; [33.03225806 30.96774194],0
b3,1,0.369978,0.80374,[ 3 12] ; [12 25],[ 4.32692308 10.67307692] ; [10.67307692 26.32692308],0
b2,1,0.369978,0.80374,[ 3 12] ; [12 25],[ 4.32692308 10.67307692] ; [10.67307692 26.32692308],0
b4,1,0.391952,0.732879,[14 15] ; [37 27],[15.90322581 13.09677419] ; [35.09677419 28.90322581],0
n1,1,0.403173,0.698842,[3 9] ; [ 9 14],[4.11428571 7.88571429] ; [ 7.88571429 15.11428571],0
a1,1,0.406271,0.689685,[ 2 27] ; [ 2 62],[ 1.24731183 27.75268817] ; [ 2.75268817 61.24731183],0
p10,1,0.422717,0.64275,[15 14] ; [37 24],[16.75555556 12.24444444] ; [35.24444444 25.75555556],0
p8,1,0.447372,0.577302,[10 18] ; [27 34],[11.64044944 16.35955056] ; [25.35955056 35.64044944],0
s4,1,0.451125,0.567823,[ 4 25] ; [13 51],[ 5.30107527 23.69892473] ; [11.69892473 52.30107527],0
n2,1,0.473289,0.514286,[8 4] ; [13 11],[7. 5.] ; [14. 10.],0
a4,1,0.516486,0.420905,[ 8 21] ; [22 42],[ 9.35483871 19.64516129] ; [20.64516129 43.35483871],0
p9,1,0.522376,0.4092,[17 12] ; [40 21],[18.36666667 10.63333333] ; [38.63333333 22.36666667],0
a3,1,0.684539,0.165061,[15 14] ; [36 28],[15.90322581 13.09677419] ; [35.09677419 28.90322581],0
u2,1,0.691345,0.157633,[9 5] ; [19  8],[9.56097561 4.43902439] ; [18.43902439  8.56097561],0
p1,1,0.692938,0.155924,[ 2 27] ; [ 6 58],[ 2.49462366 26.50537634] ; [ 5.50537634 58.49462366],0
v1,1,0.761555,0.092076,[11 18] ; [26 37],[11.66304348 17.33695652] ; [25.33695652 37.66304348],0
b5,1,0.830615,0.045759,[17 12] ; [36 28],[16.52688172 12.47311828] ; [36.47311828 27.52688172],0
p6,1,0.84258,0.03944,[ 6 22] ; [14 46],[ 6.36363636 21.63636364] ; [13.63636364 46.36363636],0
p2,1,0.987975,0.000227,[18 11] ; [39 24],[17.9673913 11.0326087] ; [39.0326087 23.9673913],0
