Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,23.934928,[ 6 68] ; [32 42],[19. 55.] ; [19. 55.],1
a1,1,0.627878,0.234949,[ 3 72] ; [ 2 75],[ 2.46710526 72.53289474] ; [ 2.53289474 74.46710526],0
s4,1,0.630002,0.232058,[17 58] ; [15 62],[15.78947368 59.21052632] ; [16.21052632 60.78947368],0
p2,1,0.744155,0.106509,[60 14] ; [64 13],[60.76821192 13.23178808] ; [63.23178808 13.76821192],0
n5,1,0.76677,0.087973,[29 45] ; [32 45],[29.89403974 44.10596026] ; [31.10596026 45.89403974],0
n6,1,0.816791,0.053673,[53 22] ; [55 21],[53.64238411 21.35761589] ; [54.35761589 21.64238411],0
s7,1,0.848944,0.036277,[22 51] ; [24 52],[22.53691275 50.46308725] ; [23.46308725 52.53691275],0
u3,1,0.944338,0.004875,[24 16] ; [13  9],[23.87096774 16.12903226] ; [13.12903226  8.87096774],0
s8,1,0.946603,0.004485,[23 52] ; [24 53],[23.19078947 51.80921053] ; [23.80921053 53.19078947],0
b5,1,0.981067,0.000563,[43 32] ; [44 33],[42.92763158 32.07236842] ; [44.07236842 32.92763158],0
s1,1,0.985054,0.000351,[ 1 74] ; [ 1 76],[ 0.98684211 74.01315789] ; [ 1.01315789 75.98684211],0
