Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,74.657071,[373 162] ; [ 60 120],[323.99300699 211.00699301] ; [109.00699301  70.99300699],1
a1,1,0.076885,3.129557,[ 29 506] ; [  4 176],[ 24.69230769 510.30769231] ; [  8.30769231 171.69230769],0
p6,1,0.107362,2.592634,[215 313] ; [ 60 117],[205.95744681 322.04255319] ; [ 69.04255319 107.95744681],0
p11,1,0.117847,2.445699,[444  91] ; [140  40],[436.97902098  98.02097902] ; [147.02097902  32.97902098],0
p7,1,0.135609,2.227087,[356 167] ; [109  67],[347.91845494 175.08154506] ; [117.08154506  58.91845494],0
p12,1,0.237905,1.392963,[ 51 480] ; [ 12 167],[ 47.11690141 483.88309859] ; [ 15.88309859 163.11690141],0
a7,1,0.292463,1.108251,[403 132] ; [127  51],[397.6858345 137.3141655] ; [132.3141655  45.6858345],0
b1,1,0.306093,1.047457,[198 337] ; [ 59 121],[192.3006993 342.6993007] ; [ 64.6993007 115.3006993],0
v3,1,0.358738,0.842307,[223 295] ; [ 68 106],[217.82947977 300.17052023] ; [ 73.17052023 100.82947977],0
n2,1,0.372201,0.796303,[83 24] ; [26 11],[80.99305556 26.00694444] ; [28.00694444  8.99305556],0
s1,1,0.463345,0.537802,[ 15 512] ; [  7 170],[ 16.46875 510.53125] ; [  5.53125 171.46875],0
s4,1,0.609218,0.261316,[ 92 434] ; [ 28 149],[ 89.78662873 436.21337127] ; [ 30.21337127 146.78662873],0
u3,1,0.721657,0.126911,[62 45] ; [51 41],[60.75879397 46.24120603] ; [52.24120603 39.75879397],0
b4,1,0.729436,0.11963,[314 221] ; [103  77],[312.02097902 222.97902098] ; [104.97902098  75.02097902],0
u2,1,0.822023,0.0506,[57 49] ; [48 44],[56.21212121 49.78787879] ; [48.78787879 43.21212121],0
s3,1,0.826076,0.048284,[302 226] ; [99 77],[300.75 227.25] ; [100.25  75.75],0
n3,1,0.827175,0.047666,[80 26] ; [28 10],[79.5 26.5] ; [28.5  9.5],0
n1,1,0.881029,0.0224,[40 65] ; [15 23],[40.38461538 64.61538462] ; [14.61538462 23.38461538],0
p5,1,0.883428,0.021499,[ 68 464] ; [ 22 156],[ 67.43661972 464.56338028] ; [ 22.56338028 155.43661972],0
r3,1,0.885345,0.020793,[524  11] ; [175   4],[523.7605042  11.2394958] ; [175.2394958   3.7605042],0
b5,1,0.964661,0.001963,[322 213] ; [108  72],[321.74825175 213.25174825] ; [108.25174825  71.74825175],0
p1,1,0.966229,0.001793,[ 47 485] ; [ 16 163],[ 47.13924051 484.86075949] ; [ 15.86075949 163.13924051],0
a8,1,0.985803,0.000317,[ 72 410] ; [ 25 143],[ 71.92923077 410.07076923] ; [ 25.07076923 142.92923077],0
