Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,1.7e-05,18.530487,[ 7 10] ; [75 11],[13.53398058  3.46601942] ; [68.46601942 17.53398058],1
d2,1,0.399975,0.708401,[8 9] ; [50 36],[9.57281553 7.42718447] ; [48.42718447 37.57281553],0
n4,1,0.45237,0.564706,[10  7] ; [58 27],[11.33333333  5.66666667] ; [56.66666667 28.33333333],0
b4,1,0.49826,0.45864,[11  6] ; [48 38],[9.73786408 7.26213592] ; [49.26213592 36.73786408],0
u3,1,0.525741,0.402618,[3 4] ; [13 10],[3.73333333 3.26666667] ; [12.26666667 10.73333333],0
b2,1,0.537699,0.379821,[3 4] ; [14 31],[2.28846154 4.71153846] ; [14.71153846 30.28846154],0
b3,1,0.537699,0.379821,[3 4] ; [14 31],[2.28846154 4.71153846] ; [14.71153846 30.28846154],0
a7,1,0.540169,0.375226,[11  6] ; [62 24],[12.04854369  4.95145631] ; [60.95145631 25.04854369],0
s4,1,0.596254,0.280682,[ 3 14] ; [20 65],[ 3.83333333 13.16666667] ; [19.16666667 65.83333333],0
a1,1,0.640616,0.217937,[ 1 16] ; [ 3 83],[ 0.66019417 16.33980583] ; [ 3.33980583 82.66019417],0
d4,1,0.792377,0.069287,[14  3] ; [73 13],[14.3592233  2.6407767] ; [72.6407767 13.3592233],0
d1,1,0.828376,0.046996,[10  7] ; [53 33],[10.39805825  6.60194175] ; [52.60194175 33.39805825],0
b5,1,0.881128,0.022362,[11  6] ; [54 32],[10.72815534  6.27184466] ; [54.27184466 31.72815534],0
u2,1,0.924393,0.009006,[3 3] ; [11 12],[2.89655172 3.10344828] ; [11.10344828 11.89655172],0
d3,1,0.946249,0.004545,[12  5] ; [60 26],[11.88349515  5.11650485] ; [60.11650485 25.88349515],0
p1,1,1.0,0.0,[ 1 16] ; [ 5 80],[ 1. 16.] ; [ 5. 80.],0
