Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,4.7e-05,16.566734,[ 6 82] ; [14 26],[13.75 74.25] ; [ 6.25 33.75],1
p8,1,0.386549,0.749772,[57 30] ; [30 11],[59.1328125 27.8671875] ; [27.8671875 13.1328125],0
u1,1,0.387762,0.74595,[14 75] ; [ 9 32],[15.74615385 73.25384615] ; [ 7.25384615 33.74615385],0
v2,1,0.392869,0.730042,[51 37] ; [27 14],[53.20930233 34.79069767] ; [24.79069767 16.20930233],0
u2,1,0.438988,0.598927,[17 13] ; [9 4],[18.13953488 11.86046512] ; [7.86046512 5.13953488],0
d3,1,0.458847,0.548707,[58 29] ; [30 11],[59.8125 27.1875] ; [28.1875 12.8125],0
a8,1,0.471266,0.519006,[ 7 70] ; [ 5 32],[ 8.10526316 68.89473684] ; [ 3.89473684 33.10526316],0
d2,1,0.509973,0.434123,[38 51] ; [15 26],[36.28461538 52.71538462] ; [16.71538462 24.28461538],0
r1,1,0.541524,0.372723,[65 24] ; [32  9],[66.40769231 22.59230769] ; [30.59230769 10.40769231],0
n6,1,0.547806,0.361262,[77 12] ; [37  4],[78.04615385 10.95384615] ; [35.95384615  5.04615385],0
n2,1,0.588201,0.293163,[11  9] ; [9 5],[11.76470588  8.23529412] ; [8.23529412 5.76470588],0
v1,1,0.589614,0.290947,[52 37] ; [26 15],[53.4 35.6] ; [24.6 16.4],0
d5,1,0.617886,0.248849,[72 16] ; [35  6],[72.99224806 15.00775194] ; [34.00775194  6.99224806],0
n4,1,0.702875,0.145499,[69 20] ; [33  8],[69.83076923 19.16923077] ; [32.16923077  8.83076923],0
a2,1,0.702875,0.145499,[20 69] ; [ 8 33],[19.16923077 69.83076923] ; [ 8.83076923 32.16923077],0
n1,1,0.725944,0.122868,[ 6 14] ; [5 9],[ 6.47058824 13.52941176] ; [4.52941176 9.47058824],0
p11,1,0.821599,0.050845,[71 18] ; [32  9],[70.51538462 18.48461538] ; [32.48461538  8.51538462],0
r3,1,0.862118,0.030164,[84  5] ; [39  2],[84.20769231  4.79230769] ; [38.79230769  2.20769231],0
d1,1,0.881766,0.022121,[49 40] ; [22 19],[48.60769231 40.39230769] ; [22.39230769 18.60769231],0
a3,1,0.888057,0.019814,[59 29] ; [28 13],[59.34883721 28.65116279] ; [27.65116279 13.34883721],0
r2,1,0.93081,0.007539,[81  6] ; [38  3],[80.8828125  6.1171875] ; [38.1171875  2.8828125],0
n5,1,0.962584,0.002201,[64 23] ; [30 11],[63.890625 23.109375] ; [30.109375 10.890625],0
v3,1,0.973906,0.00107,[35 54] ; [16 25],[34.91538462 54.08461538] ; [16.08461538 24.91538462],0
b2,1,0.975756,0.000924,[24 31] ; [11 14],[24.0625 30.9375] ; [10.9375 14.0625],0
b3,1,0.975756,0.000924,[24 31] ; [11 14],[24.0625 30.9375] ; [10.9375 14.0625],0
