Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,74.00562,[132   3] ; [29 33],[110.32994924  24.67005076] ; [50.67005076 11.32994924],1
v4,1,0.084831,2.969821,[132   5] ; [56  6],[129.42713568   7.57286432] ; [58.57286432  3.42713568],0
s6,1,0.091464,2.848423,[121  13] ; [49 11],[117.42268041  16.57731959] ; [52.57731959  7.42268041],0
p3,1,0.103981,2.64339,[95 41] ; [36 26],[89.97979798 46.02020202] ; [41.02020202 20.97979798],0
s5,1,0.105926,2.613979,[71 56] ; [25 33],[65.9027027 61.0972973] ; [30.0972973 27.9027027],0
p10,1,0.136139,2.221062,[121  16] ; [49 12],[117.62626263  19.37373737] ; [52.37373737  8.62626263],0
n4,1,0.149231,2.080089,[121  16] ; [50 12],[117.72361809  19.27638191] ; [53.27638191  8.72361809],0
s4,1,0.157637,1.996752,[37 98] ; [11 50],[ 33.06122449 101.93877551] ; [14.93877551 46.06122449],0
p12,1,0.170498,1.878558,[ 26 110] ; [ 7 55],[ 22.66666667 113.33333333] ; [10.33333333 51.66666667],0
n3,1,0.189446,1.721923,[18  7] ; [6 6],[16.21621622  8.78378378] ; [7.78378378 4.21621622],0
a8,1,0.190289,1.715383,[ 18 110] ; [13 47],[ 21.10638298 106.89361702] ; [ 9.89361702 50.10638298],0
n6,1,0.219005,1.510878,[123  12] ; [52  9],[120.53571429  14.46428571] ; [54.46428571  6.53571429],0
b4,1,0.229472,1.444132,[81 56] ; [31 31],[77.10552764 59.89447236] ; [34.89447236 27.10552764],0
r3,1,0.316203,1.004588,[133   3] ; [59  3],[131.87878788   4.12121212] ; [60.12121212  1.87878788],0
n2,1,0.367448,0.812276,[20  5] ; [11  1],[20.94594595  4.05405405] ; [10.05405405  1.94594595],0
a6,1,0.401655,0.703367,[91 44] ; [38 24],[88.40101523 46.59898477] ; [40.59898477 21.40101523],0
p11,1,0.473855,0.512972,[109  28] ; [52 10],[110.83919598  26.16080402] ; [50.16080402 11.83919598],0
r1,1,0.479398,0.500231,[116  21] ; [50 12],[114.28140704  22.71859296] ; [51.71859296 10.28140704],0
p2,1,0.573623,0.316659,[125  12] ; [55  7],[123.91959799  13.08040201] ; [56.08040201  5.91959799],0
s7,1,0.617505,0.24939,[100  34] ; [42 17],[98.59067358 35.40932642] ; [43.40932642 15.59067358],0
s1,1,0.644692,0.212658,[  9 127] ; [ 3 58],[  8.28426396 127.71573604] ; [ 3.71573604 57.28426396],0
v3,1,0.698219,0.150332,[55 75] ; [24 37],[53.76963351 76.23036649] ; [25.23036649 35.76963351],0
b5,1,0.806206,0.060184,[77 60] ; [36 26],[77.79396985 59.20603015] ; [35.20603015 26.79396985],0
n1,1,0.812524,0.05625,[13 11] ; [7 5],[13.33333333 10.66666667] ; [6.66666667 5.33333333],0
b2,1,0.819192,0.052251,[44 51] ; [17 18],[44.57692308 50.42307692] ; [16.42307692 18.57692308],0
b3,1,0.819192,0.052251,[44 51] ; [17 18],[44.57692308 50.42307692] ; [16.42307692 18.57692308],0
p5,1,0.822554,0.050293,[ 29 108] ; [14 48],[ 29.60301508 107.39698492] ; [13.39698492 48.60301508],0
p1,1,0.866298,0.028346,[ 21 115] ; [ 9 53],[ 20.60606061 115.39393939] ; [ 9.39393939 52.60606061],0
v2,1,0.867778,0.027716,[78 55] ; [35 26],[77.46907216 55.53092784] ; [35.53092784 25.46907216],0
n5,1,0.882086,0.022,[116  21] ; [53  9],[116.34673367  20.65326633] ; [52.65326633  9.34673367],0
p8,1,0.898153,0.016383,[96 41] ; [44 18],[96.38190955 40.61809045] ; [43.61809045 18.38190955],0
b1,1,0.917676,0.010684,[63 74] ; [29 33],[63.33668342 73.66331658] ; [28.66331658 33.33668342],0
