Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,1e-06,24.63201,[ 67 326] ; [14 10],[ 76.3381295 316.6618705] ; [ 4.6618705 19.3381295],1
b2,1,0.250881,1.31839,[ 73 146] ; [8 9],[ 75.16525424 143.83474576] ; [ 5.83474576 11.16525424],0
b3,1,0.250881,1.31839,[ 73 146] ; [8 9],[ 75.16525424 143.83474576] ; [ 5.83474576 11.16525424],0
p11,1,0.26018,1.267798,[297 105] ; [21  4],[299.38173302 102.61826698] ; [18.61826698  6.38173302],0
u3,1,0.263566,1.249932,[77 85] ; [6 3],[78.63157895 83.36842105] ; [4.36842105 4.63157895],0
p6,1,0.283097,1.152162,[ 93 300] ; [ 8 16],[ 95.18705036 297.81294964] ; [ 5.81294964 18.18705036],0
u2,1,0.312785,1.018878,[80 82] ; [6 3],[81.47368421 80.52631579] ; [4.52631579 4.47368421],0
n4,1,0.380994,0.767491,[271 130] ; [19  6],[272.98122066 128.01877934] ; [17.01877934  7.98122066],0
p2,1,0.383186,0.760456,[302  98] ; [20  4],[303.77358491  96.22641509] ; [18.22641509  5.77358491],0
d4,1,0.391041,0.735704,[307  94] ; [21  4],[308.75117371  92.24882629] ; [19.24882629  5.75117371],0
s6,1,0.393896,0.726881,[172 227] ; [12 11],[173.97156398 225.02843602] ; [10.02843602 12.97156398],0
r1,1,0.398966,0.71144,[286 112] ; [16  9],[284.15130024 113.84869976] ; [17.84869976  7.15130024],0
v4,1,0.416789,0.659353,[357  43] ; [21  4],[355.76470588  44.23529412] ; [22.23529412  2.76470588],0
a8,1,0.422474,0.643422,[ 42 331] ; [ 4 20],[ 43.21914358 329.78085642] ; [ 2.78085642 21.21914358],0
s2,1,0.439946,0.596423,[100 299] ; [ 8 17],[101.63207547 297.36792453] ; [ 6.36792453 18.63207547],0
s3,1,0.458867,0.548657,[139 255] ; [ 7 18],[137.28878282 256.71121718] ; [ 8.71121718 16.28878282],0
a4,1,0.556032,0.346621,[152 247] ; [11 14],[153.38915094 245.61084906] ; [ 9.61084906 15.38915094],0
d5,1,0.564965,0.331181,[301 101] ; [20  5],[302.20608899  99.79391101] ; [18.79391101  6.20608899],0
d1,1,0.576795,0.311445,[202 200] ; [14 11],[203.35362998 198.64637002] ; [12.64637002 12.35362998],0
d3,1,0.577345,0.310546,[247 154] ; [14 11],[245.68309859 155.31690141] ; [15.31690141  9.68309859],0
n2,1,0.607144,0.264355,[75 31] ; [3 2],[74.48648649 31.51351351] ; [3.51351351 1.48648649],0
n3,1,0.617475,0.249433,[74 31] ; [3 2],[73.5 31.5] ; [3.5 1.5],0
v2,1,0.62888,0.233583,[187 194] ; [13 11],[188.14814815 192.85185185] ; [11.85185185 12.14814815],0
a3,1,0.649132,0.206996,[237 162] ; [16  9],[238.08254717 160.91745283] ; [14.91745283 10.08254717],0
s1,1,0.725442,0.123338,[ 11 383] ; [ 1 24],[ 11.28400955 382.71599045] ; [ 0.71599045 24.28400955],0
r3,1,0.751002,0.100691,[359  40] ; [22  3],[358.53537736  40.46462264] ; [22.46462264  2.53537736],0
u1,1,0.773808,0.082598,[ 41 361] ; [ 3 22],[ 41.42388759 360.57611241] ; [ 2.57611241 22.42388759],0
n1,1,0.785326,0.074193,[33 72] ; [1 3],[32.75229358 72.24770642] ; [1.24770642 2.75229358],0
r4,1,0.842336,0.039564,[328  74] ; [20  5],[327.62529274  74.37470726] ; [20.37470726  4.62529274],0
a1,1,0.867544,0.027815,[ 19 383] ; [ 1 24],[ 18.82903981 383.17096019] ; [ 1.17096019 23.82903981],0
b4,1,0.898551,0.016254,[236 166] ; [15 10],[236.30444965 165.69555035] ; [14.69555035 10.30444965],0
a2,1,0.905581,0.014069,[ 68 334] ; [ 4 21],[ 67.78454333 334.21545667] ; [ 4.21545667 20.78454333],0
a6,1,0.910916,0.012518,[269 133] ; [17  8],[269.25526932 132.74473068] ; [16.74473068  8.25526932],0
b5,1,0.925129,0.008831,[245 157] ; [15 10],[244.77751756 157.22248244] ; [15.22248244  9.77751756],0
