Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,2.5e-05,17.766065,[74  6] ; [9 8],[68.45360825 11.54639175] ; [14.54639175  2.45360825],1
b3,1,0.602596,0.271098,[26 26] ; [5 7],[25.1875 26.8125] ; [5.8125 6.1875],0
n5,1,0.782208,0.07642,[62 16] ; [13  4],[61.57894737 16.42105263] ; [13.42105263  3.57894737],0
b1,1,0.82566,0.048519,[40 40] ; [8 9],[39.58762887 40.41237113] ; [8.41237113 8.58762887],0
p11,1,0.835827,0.042946,[63 17] ; [13  4],[62.68041237 17.31958763] ; [13.31958763  3.68041237],0
a8,1,0.841033,0.040229,[ 8 71] ; [ 2 15],[ 8.22916667 70.77083333] ; [ 1.77083333 15.22916667],0
u1,1,0.88122,0.022327,[ 4 76] ; [ 1 16],[ 4.12371134 75.87628866] ; [ 0.87628866 16.12371134],0
b4,1,0.90287,0.014893,[53 27] ; [11  6],[52.78350515 27.21649485] ; [11.21649485  5.78350515],0
s7,1,0.912986,0.011941,[47 31] ; [10  7],[46.8 31.2] ; [10.2  6.8],0
u3,1,0.93021,0.00767,[9 7] ; [6 5],[8.88888889 7.11111111] ; [6.11111111 4.88888889],0
v4,1,0.954428,0.003266,[75  5] ; [16  1],[75.05154639  4.94845361] ; [15.94845361  1.05154639],0
s6,1,0.957329,0.002863,[63 13] ; [14  3],[62.92473118 13.07526882] ; [14.07526882  2.92473118],0
