Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,3e-06,21.726971,[ 5 43] ; [41 39],[17.25 30.75] ; [28.75 51.25],1
p4,1,0.680302,0.169786,[21 27] ; [38 42],[22.125 25.875] ; [36.875 43.125],0
s7,1,0.703885,0.144462,[13 31] ; [25 51],[13.93333333 30.06666667] ; [24.06666667 51.93333333],0
n1,1,0.725944,0.122868,[5 6] ; [ 9 14],[4.52941176 6.47058824] ; [ 9.47058824 13.52941176],0
p1,1,0.788865,0.071709,[ 3 45] ; [ 6 74],[ 3.375 44.625] ; [ 5.625 74.375],0
u2,1,0.797205,0.066032,[15 13] ; [12 12],[14.53846154 13.46153846] ; [12.46153846 11.53846154],0
b1,1,0.843821,0.038812,[27 21] ; [47 34],[27.53488372 20.46511628] ; [46.46511628 34.53488372],0
v3,1,0.860054,0.031083,[17 30] ; [27 51],[16.544 30.456] ; [27.456 50.544],0
b5,1,0.863979,0.029348,[28 20] ; [46 35],[27.53488372 20.46511628] ; [46.46511628 34.53488372],0
r3,1,0.888239,0.019749,[47  1] ; [79  2],[46.88372093  1.11627907] ; [79.11627907  1.88372093],0
s8,1,0.925485,0.008747,[13 35] ; [22 57],[13.22834646 34.77165354] ; [21.77165354 57.22834646],0
s6,1,0.944854,0.004785,[24 24] ; [40 39],[24.18897638 23.81102362] ; [39.81102362 39.18897638],0
s3,1,0.961149,0.002373,[23 24] ; [40 41],[23.1328125 23.8671875] ; [39.8671875 41.1328125],0
s1,1,0.985803,0.000317,[ 3 45] ; [ 5 74],[ 3.02362205 44.97637795] ; [ 4.97637795 74.02362205],0
a7,1,1.0,0.0,[32 16] ; [54 27],[32. 16.] ; [54. 27.],0
