Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,132.637377,[225  19] ; [33 67],[183.  61.] ; [75. 25.],1
v1,1,0.002998,8.808851,[ 88 152] ; [21 82],[ 76.26822157 163.73177843] ; [32.73177843 70.26822157],0
n3,1,0.00505,7.861293,[45 16] ; [25 27],[37.78761062 23.21238938] ; [32.21238938 19.78761062],0
s1,1,0.006795,7.326373,[  7 238] ; [10 93],[ 11.9683908 233.0316092] ; [ 5.0316092 97.9683908],0
s3,1,0.008366,6.95343,[136 108] ; [41 61],[124.82080925 119.17919075] ; [52.17919075 49.82080925],0
d5,1,0.008856,6.851564,[184  60] ; [64 40],[173.88505747  70.11494253] ; [74.11494253 29.88505747],0
p3,1,0.010633,6.525642,[106 138] ; [30 74],[ 95.35632184 148.64367816] ; [40.64367816 63.35632184],0
d4,1,0.010926,6.477295,[192  53] ; [68 36],[182.52148997  62.47851003] ; [77.47851003 26.52148997],0
a7,1,0.015546,5.853456,[169  75] ; [58 46],[159.16091954  84.83908046] ; [67.83908046 36.16091954],0
n2,1,0.017116,5.684456,[46 16] ; [28 25],[39.89565217 22.10434783] ; [34.10434783 18.89565217],0
a6,1,0.022022,5.244024,[157  88] ; [53 51],[147.42120344  97.57879656] ; [62.57879656 41.42120344],0
d3,1,0.025516,4.988498,[155  88] ; [53 51],[145.65994236  97.34005764] ; [62.34005764 41.65994236],0
d1,1,0.026516,4.92206,[126 119] ; [40 64],[116.53295129 128.46704871] ; [49.46704871 54.53295129],0
n4,1,0.037284,4.337373,[174  71] ; [62 42],[165.67335244  79.32664756] ; [70.32664756 33.67335244],0
r1,1,0.038791,4.270009,[173  72] ; [61 42],[164.74137931  80.25862069] ; [69.25862069 33.74137931],0
u2,1,0.040991,4.176391,[48 36] ; [19 30],[42.31578947 41.68421053] ; [24.68421053 24.31578947],0
n5,1,0.041743,4.145587,[177  67] ; [64 40],[168.97701149  75.02298851] ; [72.02298851 31.97701149],0
p6,1,0.045757,3.990526,[ 83 160] ; [24 79],[ 75.14739884 167.85260116] ; [31.85260116 71.14739884],0
a3,1,0.058513,3.579048,[160  85] ; [55 46],[152.23988439  92.76011561] ; [62.76011561 38.23988439],0
b1,1,0.064282,3.42331,[ 94 151] ; [51 53],[101.79083095 143.20916905] ; [43.20916905 60.79083095],0
a1,1,0.070515,3.270996,[  8 237] ; [ 8 96],[ 11.23209169 233.76790831] ; [ 4.76790831 99.23209169],0
p12,1,0.121892,2.392844,[ 14 229] ; [  2 101],[ 11.23699422 231.76300578] ; [ 4.76300578 98.23699422],0
u4,1,0.160864,1.966089,[  1 244] ; [  2 102],[  2.10601719 242.89398281] ; [  0.89398281 103.10601719],0
a2,1,0.170552,1.878082,[ 48 197] ; [14 90],[ 43.5243553 201.4756447] ; [18.4756447 85.5243553],0
u3,1,0.2184,1.514851,[47 37] ; [22 27],[43.57894737 40.42105263] ; [25.42105263 23.57894737],0
p5,1,0.220773,1.49934,[ 24 219] ; [ 6 97],[ 21.06936416 221.93063584] ; [ 8.93063584 94.06936416],0
s4,1,0.398005,0.714346,[ 55 187] ; [19 83],[ 52.05813953 189.94186047] ; [21.94186047 80.05813953],0
a8,1,0.426809,0.631491,[ 31 201] ; [10 88],[ 28.82424242 203.17575758] ; [12.17575758 85.82424242],0
a4,1,0.448889,0.573455,[102 143] ; [38 64],[ 98.84726225 146.15273775] ; [41.15273775 60.84726225],0
d2,1,0.465883,0.531725,[101 143] ; [47 56],[104.06916427 139.93083573] ; [43.93083573 59.06916427],0
b4,1,0.636129,0.22384,[141 104] ; [57 47],[138.99713467 106.00286533] ; [59.00286533 44.99713467],0
b2,1,0.719881,0.128607,[47 92] ; [24 42],[48.14146341 90.85853659] ; [22.85853659 43.14146341],0
b3,1,0.719881,0.128607,[47 92] ; [24 42],[48.14146341 90.85853659] ; [22.85853659 43.14146341],0
b5,1,0.754033,0.098173,[144 101] ; [63 41],[145.31518625  99.68481375] ; [61.68481375 42.31518625],0
p1,1,0.839552,0.040993,[ 20 225] ; [ 9 93],[ 20.47550432 224.52449568] ; [ 8.52449568 93.47550432],0
n1,1,0.939122,0.005833,[25 37] ; [21 32],[24.8 37.2] ; [21.2 31.8],0
u1,1,0.992178,9.6e-05,[ 26 219] ; [11 93],[ 25.97421203 219.02578797] ; [11.02578797 92.97421203],0
