Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,8.9e-05,15.355115,[30  9] ; [ 6 17],[22.64516129 16.35483871] ; [13.35483871  9.64516129],1
b5,1,0.646807,0.20995,[18 21] ; [12 11],[18.87096774 20.12903226] ; [11.12903226 11.87096774],0
u3,1,0.667167,0.184934,[ 1 15] ; [1 8],[ 1.28 14.72] ; [0.72 8.28],0
r2,1,0.726347,0.122493,[22 14] ; [13 10],[21.3559322 14.6440678] ; [13.6440678  9.3559322],0
v1,1,0.728032,0.120927,[10 28] ; [ 7 16],[10.59016393 27.40983607] ; [ 6.40983607 16.59016393],0
r4,1,0.728925,0.120101,[10 29] ; [ 5 18],[ 9.43548387 29.56451613] ; [ 5.56451613 17.43548387],0
s1,1,0.737646,0.112207,[ 4 35] ; [ 3 20],[ 4.40322581 34.59677419] ; [ 2.59677419 20.40322581],0
v2,1,0.760785,0.09269,[13 25] ; [ 7 16],[12.45901639 25.54098361] ; [ 7.54098361 15.45901639],0
d3,1,0.792623,0.069119,[20 19] ; [11 12],[19.5 19.5] ; [11.5 11.5],0
p6,1,0.793379,0.068605,[ 4 33] ; [ 3 20],[ 4.31666667 32.68333333] ; [ 2.68333333 20.31666667],0
a4,1,0.796159,0.06673,[12 26] ; [ 8 15],[12.45901639 25.54098361] ; [ 7.54098361 15.45901639],0
u2,1,0.834969,0.043403,[ 3 13] ; [2 7],[ 3.2 12.8] ; [1.8 7.2],0
a2,1,0.840857,0.04032,[ 4 35] ; [ 2 21],[ 3.77419355 35.22580645] ; [ 2.22580645 20.77419355],0
p2,1,0.858154,0.031942,[14 24] ; [ 9 14],[14.32786885 23.67213115] ; [ 8.67213115 14.32786885],0
p10,1,0.871034,0.026356,[14 24] ; [ 8 15],[13.70491803 24.29508197] ; [ 8.29508197 14.70491803],0
u1,1,0.889981,0.019135,[ 2 37] ; [ 1 22],[ 1.88709677 37.11290323] ; [ 1.11290323 21.88709677],0
s2,1,0.903135,0.014811,[ 9 30] ; [ 5 18],[ 8.80645161 30.19354839] ; [ 5.19354839 17.80645161],0
r1,1,0.958342,0.002728,[15 24] ; [ 9 14],[15.09677419 23.90322581] ; [ 8.90322581 14.09677419],0
s3,1,0.963648,0.002077,[13 25] ; [ 8 15],[13.08196721 24.91803279] ; [ 7.91803279 15.08196721],0
p3,1,0.969079,0.001503,[10 29] ; [ 6 17],[10.06451613 28.93548387] ; [ 5.93548387 17.06451613],0
a3,1,0.978782,0.000707,[23 15] ; [14  9],[23.04918033 14.95081967] ; [13.95081967  9.04918033],0
p1,1,0.979817,0.00064,[ 5 34] ; [ 3 20],[ 5.03225806 33.96774194] ; [ 2.96774194 20.03225806],0
