Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.704602,[17 20] ; [77 12],[27.6031746  9.3968254] ; [66.3968254 22.6031746],1
p2,1,0.396988,0.717431,[19 18] ; [53 36],[21.14285714 15.85714286] ; [50.85714286 38.14285714],0
s7,1,0.400995,0.705341,[ 8 27] ; [25 57],[ 9.87179487 25.12820513] ; [23.12820513 58.87179487],0
n6,1,0.425235,0.635802,[22 15] ; [46 43],[19.96825397 17.03174603] ; [48.03174603 40.96825397],0
v1,1,0.438301,0.600727,[13 23] ; [38 49],[14.92682927 21.07317073] ; [36.07317073 50.92682927],0
p6,1,0.518048,0.417778,[ 3 33] ; [11 78],[ 4.032 31.968] ; [ 9.968 79.032],0
d5,1,0.609514,0.260884,[28  9] ; [71 18],[29.07142857  7.92857143] ; [69.92857143 19.07142857],0
p9,1,0.616579,0.250705,[22 12] ; [52 35],[20.79338843 13.20661157] ; [53.20661157 33.79338843],0
d2,1,0.627865,0.234967,[15 22] ; [32 57],[13.8015873 23.1984127] ; [33.1984127 55.8015873],0
p8,1,0.647421,0.209168,[ 6 30] ; [18 71],[ 6.912 29.088] ; [17.088 71.912],0
u2,1,0.686227,0.1632,[9 7] ; [23 14],[9.66037736 6.33962264] ; [22.33962264 14.66037736],0
p3,1,0.709547,0.13873,[ 7 29] ; [20 69],[ 7.776 28.224] ; [19.224 69.776],0
s2,1,0.712194,0.136095,[13 24] ; [34 54],[13.912 23.088] ; [33.088 54.912],0
b4,1,0.715529,0.132817,[22 15] ; [56 33],[22.9047619 14.0952381] ; [55.0952381 33.9047619],0
d4,1,0.780951,0.077329,[30  7] ; [74 15],[30.53968254  6.46031746] ; [73.46031746 15.53968254],0
p10,1,0.823998,0.049464,[19 17] ; [44 43],[18.43902439 17.56097561] ; [44.56097561 42.43902439],0
s4,1,0.867064,0.028019,[ 7 30] ; [18 71],[ 7.34126984 29.65873016] ; [17.65873016 71.34126984],0
u1,1,0.87328,0.025438,[ 3 34] ; [ 8 81],[ 3.23015873 33.76984127] ; [ 7.76984127 81.23015873],0
a1,1,0.878599,0.023331,[ 1 36] ; [ 2 87],[ 0.88095238 36.11904762] ; [ 2.11904762 86.88095238],0
p12,1,0.893467,0.017934,[ 1 36] ; [ 2 85],[ 0.89516129 36.10483871] ; [ 2.10483871 84.89516129],0
n2,1,0.901116,0.015439,[7 5] ; [18 14],[6.81818182 5.18181818] ; [18.18181818 13.81818182],0
b5,1,0.914619,0.011495,[22 15] ; [52 37],[21.73015873 15.26984127] ; [52.26984127 36.73015873],0
d1,1,0.93565,0.006519,[18 19] ; [44 45],[18.20634921 18.79365079] ; [43.79365079 45.20634921],0
a8,1,0.948116,0.004234,[ 2 33] ; [ 5 78],[ 2.07627119 32.92372881] ; [ 4.92372881 78.07627119],0
a7,1,0.95379,0.003358,[26 11] ; [63 26],[26.13492063 10.86507937] ; [62.86507937 26.13492063],0
a3,1,0.954969,0.003189,[21 16] ; [51 38],[21.14285714 15.85714286] ; [50.85714286 38.14285714],0
v3,1,0.957438,0.002848,[10 27] ; [22 58],[10.11965812 26.88034188] ; [21.88034188 58.11965812],0
p11,1,0.990059,0.000155,[20 17] ; [48 41],[19.96825397 17.03174603] ; [48.03174603 40.96825397],0
