Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,9.5e-05,15.229958,[37 78] ; [18  6],[45.50359712 69.49640288] ; [ 9.49640288 14.50359712],1
a7,1,0.832519,0.044721,[65 50] ; [13 11],[64.5323741 50.4676259] ; [13.4676259 10.5323741],0
n5,1,0.836211,0.042743,[65 51] ; [14 10],[65.45714286 50.54285714] ; [13.54285714 10.45714286],0
v4,1,0.849274,0.036117,[89 26] ; [19  5],[89.35251799 25.64748201] ; [18.64748201  5.35251799],0
p11,1,0.866832,0.028118,[51 65] ; [11 13],[51.37142857 64.62857143] ; [10.62857143 13.37142857],0
p9,1,0.871405,0.026203,[37 75] ; [ 8 15],[37.33333333 74.66666667] ; [ 7.66666667 15.33333333],0
a3,1,0.920099,0.010062,[61 54] ; [13 11],[61.22302158 53.77697842] ; [12.77697842 11.22302158],0
r2,1,0.931319,0.007428,[94 22] ; [18  4],[94.14492754 21.85507246] ; [17.85507246  4.14492754],0
s1,1,0.942518,0.005199,[  9 105] ; [ 2 22],[  9.08695652 104.91304348] ; [ 1.91304348 22.08695652],0
n6,1,0.944349,0.004873,[71 44] ; [15  9],[71.15107914 43.84892086] ; [14.84892086  9.15107914],0
a1,1,0.96349,0.002095,[ 10 106] ; [ 2 22],[  9.94285714 106.05714286] ; [ 2.05714286 21.94285714],0
