Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,7e-06,20.167219,[25 20] ; [92 12],[35.33557047  9.66442953] ; [81.66442953 22.33557047],1
n3,1,0.173117,1.855742,[12  9] ; [24  8],[14.26415094  6.73584906] ; [21.73584906 10.26415094],0
b1,1,0.179571,1.801174,[22 23] ; [39 66],[18.3 26.7] ; [42.7 62.3],0
b2,1,0.185277,1.754778,[14 17] ; [19 42],[11.11956522 19.88043478] ; [21.88043478 39.11956522],0
b3,1,0.185277,1.754778,[14 17] ; [19 42],[11.11956522 19.88043478] ; [21.88043478 39.11956522],0
n2,1,0.199786,1.643935,[13  8] ; [25  7],[15.05660377  5.94339623] ; [22.94339623  9.05660377],0
v2,1,0.199811,1.643758,[13 27] ; [46 58],[16.38888889 23.61111111] ; [42.61111111 61.38888889],0
n4,1,0.234802,1.411532,[33 12] ; [86 19],[35.7  9.3] ; [83.3 21.7],0
a8,1,0.269013,1.221771,[ 3 41] ; [13 86],[ 4.92307692 39.07692308] ; [11.07692308 87.92307692],0
p5,1,0.336417,0.924038,[ 3 40] ; [13 92],[ 4.64864865 38.35135135] ; [11.35135135 93.64864865],0
b5,1,0.385186,0.754085,[24 21] ; [64 41],[26.4 18.6] ; [61.6 43.4],0
a4,1,0.462871,0.538944,[17 27] ; [34 71],[15.06040268 28.93959732] ; [35.93959732 69.06040268],0
a2,1,0.488538,0.479744,[ 6 39] ; [10 95],[ 4.8 40.2] ; [11.2 93.8],0
u4,1,0.534356,0.3861,[ 1 44] ; [  1 104],[ 0.6 44.4] ; [  1.4 103.6],0
n1,1,0.572014,0.319325,[10 10] ; [13 18],[ 9.01960784 10.98039216] ; [13.98039216 17.01960784],0
u3,1,0.623056,0.241595,[ 5 14] ; [14 29],[ 5.82258065 13.17741935] ; [13.17741935 29.82258065],0
u1,1,0.634237,0.226358,[ 3 42] ; [  5 100],[ 2.4 42.6] ; [ 5.6 99.4],0
a5,1,0.745257,0.105559,[27 18] ; [60 45],[26.1 18.9] ; [60.9 44.1],0
d1,1,0.798475,0.065189,[17 28] ; [42 63],[17.7 27.3] ; [41.3 63.7],0
a6,1,0.828134,0.04713,[27 18] ; [61 44],[26.4 18.6] ; [61.6 43.4],0
a3,1,0.884924,0.020947,[26 19] ; [62 43],[26.4 18.6] ; [61.6 43.4],0
b4,1,0.913348,0.011841,[27 18] ; [62 43],[26.7 18.3] ; [62.3 42.7],0
p12,1,0.923353,0.009257,[ 2 43] ; [ 5 99],[ 2.11409396 42.88590604] ; [ 4.88590604 99.11409396],0
