Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s1,1,1.6e-05,18.669462,[ 10 379] ; [3 9],[ 12.61097257 376.38902743] ; [ 0.38902743 11.61097257],1
s7,1,0.549363,0.358459,[205 171] ; [7 4],[205.97416021 170.02583979] ; [6.02583979 4.97416021],0
p2,1,0.558801,0.341785,[348  44] ; [10  2],[347.36633663  44.63366337] ; [10.63366337  1.36633663],0
a8,1,0.62614,0.237332,[ 51 306] ; [ 1 10],[ 50.44565217 306.55434783] ; [1.55434783 9.44565217],0
u3,1,0.629593,0.232613,[60 35] ; [3 1],[60.45454545 34.54545455] ; [2.54545455 1.45454545],0
a4,1,0.635882,0.224168,[191 202] ; [5 7],[190.19259259 202.80740741] ; [5.80740741 6.19259259],0
s2,1,0.646386,0.210487,[221 169] ; [6 6],[220.2238806 169.7761194] ; [6.7761194 5.2238806],0
n1,1,0.69627,0.152381,[30 37] ; [1 2],[29.67142857 37.32857143] ; [1.32857143 1.67142857],0
a1,1,0.717999,0.130418,[ 23 371] ; [ 1 11],[ 23.29064039 370.70935961] ; [ 0.70935961 11.29064039],0
d1,1,0.730889,0.118297,[249 145] ; [7 5],[248.43349754 145.56650246] ; [7.56650246 4.43349754],0
u2,1,0.754313,0.097942,[55 40] ; [2 2],[54.6969697 40.3030303] ; [2.3030303 1.6969697],0
n3,1,0.822187,0.050505,[46 20] ; [3 1],[46.2 19.8] ; [2.8 1.2],0
s8,1,0.840666,0.040418,[207 184] ; [6 6],[206.65756824 184.34243176] ; [6.34243176 5.65756824],0
d4,1,0.897513,0.01659,[332  60] ; [10  2],[331.84158416  60.15841584] ; [10.15841584  1.84158416],0
d2,1,0.937696,0.00611,[192 201] ; [6 6],[192.13333333 200.86666667] ; [5.86666667 6.13333333],0
d5,1,0.955916,0.003056,[329  63] ; [10  2],[328.93069307  63.06930693] ; [10.06930693  1.93069307],0
v3,1,0.957269,0.002871,[194 188] ; [6 6],[193.90862944 188.09137056] ; [6.09137056 5.90862944],0
a6,1,0.975371,0.000953,[263 129] ; [8 4],[262.95049505 129.04950495] ; [8.04950495 3.95049505],0
s5,1,0.980611,0.000591,[157 223] ; [5 7],[157.04081633 222.95918367] ; [4.95918367 7.04081633],0
r1,1,0.990678,0.000137,[328  65] ; [10  2],[327.98518519  65.01481481] ; [10.01481481  1.98518519],0
