Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,55.553036,[46 71] ; [222  63],[78. 39.] ; [190.  95.],1
b5,1,0.028507,4.797153,[64 53] ; [189  96],[73.63432836 43.36567164] ; [179.36567164 105.63432836],0
p9,1,0.028824,4.778066,[75 39] ; [215  66],[83.69620253 30.30379747] ; [206.30379747  74.69620253],0
p4,1,0.029944,4.712478,[48 68] ; [152 133],[57.8553616 58.1446384] ; [142.1446384 142.8553616],0
p3,1,0.031392,4.63137,[33 84] ; [112 171],[42.4125 74.5875] ; [102.5875 180.4125],0
v2,1,0.044259,4.046636,[33 79] ; [111 164],[41.6744186 70.3255814] ; [102.3255814 172.6744186],0
p6,1,0.055298,3.673079,[22 90] ; [ 82 200],[29.56345178 82.43654822] ; [ 74.43654822 207.56345178],0
b4,1,0.057228,3.615963,[56 61] ; [166 119],[64.6119403 52.3880597] ; [157.3880597 127.6119403],0
n6,1,0.062694,3.464631,[80 36] ; [221  63],[87.29 28.71] ; [213.71  70.29],0
a3,1,0.075751,3.153786,[65 52] ; [184  99],[72.8325 44.1675] ; [176.1675 106.8325],0
p8,1,0.086606,2.93635,[44 72] ; [133 148],[51.71788413 64.28211587] ; [125.28211587 155.71788413],0
u2,1,0.109095,2.567284,[22 30] ; [56 44],[26.68421053 25.31578947] ; [51.31578947 48.68421053],0
u4,1,0.125914,2.342168,[  3 114] ; [  2 283],[  1.45522388 115.54477612] ; [  3.54477612 281.45522388],0
n3,1,0.144179,2.132785,[27 19] ; [53 21],[30.66666667 15.33333333] ; [49.33333333 24.66666667],0
p7,1,0.147415,2.098798,[55 59] ; [157 122],[61.49618321 52.50381679] ; [150.50381679 128.49618321],0
p12,1,0.225002,1.472183,[  5 111] ; [  6 277],[  3.19799499 112.80200501] ; [  7.80200501 275.19799499],0
p5,1,0.269508,1.219249,[  8 108] ; [ 12 271],[  5.81453634 110.18546366] ; [ 14.18546366 268.81453634],0
d2,1,0.304163,1.055852,[42 74] ; [119 166],[46.57356608 69.42643392] ; [114.42643392 170.57356608],0
v1,1,0.315761,1.006423,[39 77] ; [108 169],[43.38931298 72.61068702] ; [103.61068702 173.38931298],0
s2,1,0.333507,0.935234,[35 81] ; [100 184],[39.15 76.85] ; [ 95.85 188.15],0
p11,1,0.364287,0.823061,[81 36] ; [210  75],[84.69402985 32.30597015] ; [206.30597015  78.69402985],0
n4,1,0.377256,0.779623,[76 41] ; [198  87],[79.74626866 37.25373134] ; [194.25373134  90.74626866],0
a8,1,0.419371,0.652079,[10 99] ; [ 32 233],[12.24064171 96.75935829] ; [ 29.75935829 235.24064171],0
a4,1,0.460652,0.544309,[40 75] ; [110 174],[43.23308271 71.76691729] ; [106.76691729 177.23308271],0
n5,1,0.475548,0.509056,[82 34] ; [189  93],[78.98492462 37.01507538] ; [192.01507538  89.98492462],0
s1,1,0.566556,0.328478,[  5 110] ; [  9 274],[  4.04522613 110.95477387] ; [  9.95477387 273.04522613],0
s7,1,0.621518,0.24374,[38 73] ; [ 87 188],[35.94559585 75.05440415] ; [ 89.05440415 185.94559585],0
b2,1,0.641858,0.21632,[25 47] ; [ 49 106],[23.47136564 48.52863436] ; [ 50.52863436 104.47136564],0
b3,1,0.641858,0.21632,[25 47] ; [ 49 106],[23.47136564 48.52863436] ; [ 50.52863436 104.47136564],0
a1,1,0.713259,0.135043,[  5 112] ; [ 10 275],[  4.36567164 112.63432836] ; [ 10.63432836 274.36567164],0
p1,1,0.732794,0.116561,[  8 108] ; [ 17 267],[  7.25 108.75] ; [ 17.75 266.25],0
s8,1,0.773937,0.0825,[32 85] ; [ 82 203],[33.17910448 83.82089552] ; [ 80.82089552 204.17910448],0
n2,1,0.839678,0.040928,[29 17] ; [48 26],[29.51666667 16.48333333] ; [47.48333333 26.51666667],0
n1,1,0.921271,0.009768,[16 29] ; [26 49],[15.75 29.25] ; [26.25 48.75],0
s3,1,0.946239,0.004547,[51 64] ; [127 157],[51.30325815 63.69674185] ; [126.69674185 157.30325815],0
s4,1,0.967476,0.001662,[ 16 101] ; [ 39 243],[ 16.12781955 100.87218045] ; [ 38.87218045 243.12781955],0
