Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1e-06,23.489937,[17 15] ; [13 91],[ 7.05882353 24.94117647] ; [22.94117647 81.05882353],1
s2,1,0.428489,0.626915,[15 16] ; [42 62],[13.08888889 17.91111111] ; [43.91111111 60.08888889],0
s3,1,0.460362,0.545015,[11 19] ; [46 58],[12.76119403 17.23880597] ; [44.23880597 59.76119403],0
d3,1,0.476617,0.506594,[16 16] ; [60 45],[17.75182482 14.24817518] ; [58.24817518 46.75182482],0
p11,1,0.481331,0.495847,[22 10] ; [65 40],[20.32116788 11.67883212] ; [66.67883212 38.32116788],0
a5,1,0.481331,0.495847,[22 10] ; [65 40],[20.32116788 11.67883212] ; [66.67883212 38.32116788],0
a6,1,0.505046,0.444318,[21 11] ; [62 43],[19.38686131 12.61313869] ; [63.61313869 41.38686131],0
s4,1,0.516529,0.420818,[ 6 26] ; [25 78],[ 7.34814815 24.65185185] ; [23.65185185 79.34814815],0
d1,1,0.522106,0.409731,[15 17] ; [56 49],[16.58394161 15.41605839] ; [54.41605839 50.58394161],0
r3,1,0.528453,0.397365,[27  5] ; [93 12],[28.02919708  3.97080292] ; [91.97080292 13.02919708],0
b4,1,0.566597,0.32841,[18 14] ; [65 40],[19.38686131 12.61313869] ; [63.61313869 41.38686131],0
n3,1,0.578403,0.308824,[6 2] ; [22 12],[5.33333333 2.66666667] ; [22.66666667 11.33333333],0
a2,1,0.580582,0.305295,[ 5 27] ; [21 84],[ 6.0729927 25.9270073] ; [19.9270073 85.0729927],0
a4,1,0.585725,0.297071,[12 19] ; [46 58],[13.31851852 17.68148148] ; [44.68148148 59.31851852],0
s1,1,0.61626,0.25116,[ 3 29] ; [ 7 97],[ 2.35294118 29.64705882] ; [ 7.64705882 96.35294118],0
r1,1,0.677361,0.173112,[21 11] ; [73 32],[21.95620438 10.04379562] ; [72.04379562 32.95620438],0
a8,1,0.690573,0.158466,[ 3 26] ; [ 8 92],[ 2.47286822 26.52713178] ; [ 8.52713178 91.47286822],0
n4,1,0.692799,0.156072,[24  8] ; [75 30],[23.12408759  8.87591241] ; [75.87591241 29.12408759],0
a7,1,0.722322,0.126279,[19 13] ; [66 39],[19.8540146 12.1459854] ; [65.1459854 39.8540146],0
v3,1,0.730844,0.118338,[11 21] ; [37 61],[11.81538462 20.18461538] ; [36.18461538 61.81538462],0
n5,1,0.770189,0.085338,[24  8] ; [76 29],[23.35766423  8.64233577] ; [76.64233577 28.35766423],0
s8,1,0.770563,0.085053,[12 20] ; [42 62],[12.70588235 19.29411765] ; [41.29411765 62.70588235],0
s7,1,0.789158,0.071505,[12 19] ; [41 58],[12.63846154 18.36153846] ; [40.36153846 58.63846154],0
r4,1,0.83415,0.043841,[26  6] ; [87 18],[26.39416058  5.60583942] ; [86.60583942 18.39416058],0
u4,1,0.856542,0.032681,[ 1 31] ; [  4 101],[ 1.16788321 30.83211679] ; [  3.83211679 101.16788321],0
u3,1,0.962329,0.002231,[8 7] ; [20 17],[8.07692308 6.92307692] ; [19.92307692 17.07692308],0
r2,1,0.995879,2.7e-05,[28  3] ; [93 10],[27.99253731  3.00746269] ; [93.00746269  9.99253731],0
