Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,23.676924,[ 67 167] ; [147 150],[ 94.30508475 139.69491525] ; [119.69491525 177.30508475],1
p2,1,0.0725,3.225487,[201  39] ; [275  34],[208.08743169  31.91256831] ; [267.91256831  41.08743169],0
d1,1,0.073509,3.202879,[142  99] ; [205 104],[152.04909091  88.95090909] ; [194.95090909 114.04909091],0
s4,1,0.104917,2.629157,[ 48 191] ; [ 45 259],[ 40.93370166 198.06629834] ; [ 52.06629834 251.93370166],0
a8,1,0.145655,2.117176,[ 28 194] ; [ 47 224],[ 33.77281947 188.22718053] ; [ 41.22718053 229.77281947],0
b2,1,0.152742,2.044652,[38 88] ; [ 74 121],[43.96261682 82.03738318] ; [ 68.03738318 126.96261682],0
b3,1,0.152742,2.044652,[38 88] ; [ 74 121],[43.96261682 82.03738318] ; [ 68.03738318 126.96261682],0
a4,1,0.153656,2.035576,[103 138] ; [150 157],[111.26459854 129.73540146] ; [141.73540146 165.26459854],0
d5,1,0.159785,1.976259,[195  45] ; [264  44],[201.02189781  38.97810219] ; [257.97810219  50.02189781],0
u2,1,0.166061,1.918144,[37 34] ; [50 29],[41.18 29.82] ; [45.82 33.18],0
u3,1,0.181449,1.785714,[38 32] ; [52 28],[42. 28.] ; [48. 32.],0
a3,1,0.182069,1.780658,[168  73] ; [229  77],[174.91224863  66.08775137] ; [222.08775137  83.91224863],0
v4,1,0.203179,1.619375,[227  11] ; [299   8],[229.70275229   8.29724771] ; [296.29724771  10.70275229],0
a2,1,0.226704,1.461423,[ 65 176] ; [ 98 211],[ 71.42363636 169.57636364] ; [ 91.57636364 217.42363636],0
a1,1,0.289783,1.12063,[  8 233] ; [ 16 293],[ 10.51636364 230.48363636] ; [ 13.48363636 295.51636364],0
n3,1,0.317768,0.998113,[47 13] ; [35 15],[44.72727273 15.27272727] ; [37.27272727 12.72727273],0
d2,1,0.348976,0.877176,[108 132] ; [151 157],[113.43065693 126.56934307] ; [145.56934307 162.43065693],0
b4,1,0.374152,0.789828,[136 105] ; [186 123],[141.09454545  99.90545455] ; [180.90545455 128.09454545],0
n2,1,0.447684,0.57651,[43 17] ; [39 11],[44.72727273 15.27272727] ; [37.27272727 12.72727273],0
s3,1,0.491667,0.472877,[139 101] ; [166 136],[135.05535055 104.94464945] ; [169.94464945 132.05535055],0
s2,1,0.521554,0.410818,[124 116] ; [166 139],[127.70642202 112.29357798] ; [162.29357798 142.70642202],0
n1,1,0.526854,0.400456,[19 40] ; [19 31],[20.56880734 38.43119266] ; [17.43119266 32.56880734],0
b1,1,0.532496,0.389627,[ 72 169] ; [100 209],[ 75.36727273 165.63272727] ; [ 96.63272727 212.36727273],0
s1,1,0.602896,0.27065,[  9 230] ; [  9 295],[  7.92265193 231.07734807] ; [ 10.07734807 293.92265193],0
a6,1,0.850234,0.035653,[190  50] ; [241  66],[189.10420475  50.89579525] ; [241.89579525  65.10420475],0
d4,1,0.853994,0.033865,[202  38] ; [261  47],[202.77372263  37.22627737] ; [260.22627737  47.77372263],0
d3,1,0.91481,0.011443,[191  48] ; [245  63],[190.50091408  48.49908592] ; [245.49908592  62.50091408],0
r3,1,0.944955,0.004767,[229   9] ; [296  12],[228.84615385   9.15384615] ; [296.15384615  11.84615385],0
