Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.000207,13.762105,[66 11] ; [18 16],[58.27027027 18.72972973] ; [25.72972973  8.27027027],1
s2,1,0.149654,2.075778,[12 64] ; [ 2 32],[ 9.67272727 66.32727273] ; [ 4.32727273 29.67272727],0
n3,1,0.241279,1.373108,[17  9] ; [7 8],[15.2195122 10.7804878] ; [8.7804878 6.2195122],0
v1,1,0.246048,1.345602,[21 54] ; [ 6 28],[18.57798165 56.42201835] ; [ 8.42201835 25.57798165],0
n1,1,0.261269,1.262019,[ 7 19] ; [7 9],[ 8.66666667 17.33333333] ; [ 5.33333333 10.66666667],0
v3,1,0.310187,1.029881,[28 47] ; [ 9 24],[25.69444444 49.30555556] ; [11.30555556 21.69444444],0
d1,1,0.337958,0.918163,[37 40] ; [13 21],[34.68468468 42.31531532] ; [15.31531532 18.68468468],0
p4,1,0.338465,0.916237,[22 53] ; [ 7 27],[19.95412844 55.04587156] ; [ 9.04587156 24.95412844],0
p9,1,0.358418,0.843428,[38 35] ; [14 19],[35.81132075 37.18867925] ; [16.18867925 16.81132075],0
d3,1,0.375216,0.786318,[41 36] ; [15 19],[38.84684685 38.15315315] ; [17.15315315 16.84684685],0
a1,1,0.379844,0.771208,[ 7 70] ; [ 5 29],[ 8.32432432 68.67567568] ; [ 3.67567568 30.32432432],0
b4,1,0.409025,0.681632,[45 32] ; [17 17],[43.00900901 33.99099099] ; [18.99099099 15.00900901],0
a6,1,0.424685,0.637315,[47 30] ; [18 16],[45.09009009 31.90990991] ; [19.90990991 14.09009009],0
s1,1,0.468456,0.525617,[ 4 73] ; [ 3 31],[ 4.85585586 72.14414414] ; [ 2.14414414 31.85585586],0
r1,1,0.503956,0.446597,[46 31] ; [18 16],[44.3963964 32.6036036] ; [19.6036036 14.3963964],0
a5,1,0.521579,0.410771,[48 29] ; [19 15],[46.47747748 30.52252252] ; [20.52252252 13.47747748],0
a3,1,0.52558,0.40293,[47 30] ; [18 15],[45.5 31.5] ; [19.5 13.5],0
u4,1,0.548722,0.359612,[ 1 76] ; [ 1 33],[ 1.38738739 75.61261261] ; [ 0.61261261 33.38738739],0
b1,1,0.569005,0.324351,[34 43] ; [17 17],[35.37837838 41.62162162] ; [15.62162162 18.37837838],0
b5,1,0.569005,0.324351,[43 34] ; [17 17],[41.62162162 35.37837838] ; [18.37837838 15.62162162],0
a2,1,0.639656,0.219192,[13 64] ; [ 7 27],[13.87387387 63.12612613] ; [ 6.12612613 27.87387387],0
a4,1,0.665448,0.186973,[28 48] ; [14 20],[29.01818182 46.98181818] ; [12.98181818 21.01818182],0
a8,1,0.809814,0.05792,[ 5 65] ; [ 2 32],[ 4.71153846 65.28846154] ; [ 2.28846154 31.71153846],0
b2,1,0.838776,0.041396,[20 28] ; [ 9 14],[19.6056338 28.3943662] ; [ 9.3943662 13.6056338],0
b3,1,0.838776,0.041396,[20 28] ; [ 9 14],[19.6056338 28.3943662] ; [ 9.3943662 13.6056338],0
p8,1,0.840894,0.040301,[19 58] ; [ 9 25],[19.42342342 57.57657658] ; [ 8.57657658 25.42342342],0
p1,1,0.854411,0.03367,[ 6 71] ; [ 3 31],[ 6.24324324 70.75675676] ; [ 2.75675676 31.24324324],0
a7,1,0.868792,0.027289,[44 33] ; [20 14],[44.3963964 32.6036036] ; [19.6036036 14.3963964],0
u2,1,0.87751,0.023755,[12 17] ; [7 9],[12.24444444 16.75555556] ; [6.75555556 9.24444444],0
d2,1,0.905906,0.013972,[34 41] ; [15 19],[33.71559633 41.28440367] ; [15.28440367 18.71559633],0
d5,1,0.981399,0.000544,[50 27] ; [22 12],[49.94594595 27.05405405] ; [22.05405405 11.94594595],0
u3,1,1.0,0.0,[15 15] ; [8 8],[15. 15.] ; [8. 8.],0
