Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,87.265669,[562  14] ; [92 31],[538.91845494  37.08154506] ; [115.08154506   7.91845494],1
s8,1,0.005157,7.823468,[284 288] ; [44 79],[269.95107914 302.04892086] ; [58.04892086 64.95107914],0
a4,1,0.011352,6.409307,[273 302] ; [43 80],[260.31518625 314.68481375] ; [55.68481375 67.31518625],0
v3,1,0.017973,5.598808,[240 313] ; [38 82],[228.43090639 324.56909361] ; [49.56909361 70.43090639],0
s7,1,0.020318,5.384369,[301 251] ; [50 67],[289.61434978 262.38565022] ; [61.38565022 55.61434978],0
v1,1,0.026367,4.931769,[328 232] ; [57 63],[317.05882353 242.94117647] ; [67.94117647 52.05882353],0
a7,1,0.030608,4.674814,[436 139] ; [81 41],[426.50645624 148.49354376] ; [90.49354376 31.50645624],0
s5,1,0.046005,3.981421,[214 341] ; [33 82],[204.60447761 350.39552239] ; [42.39552239 72.60447761],0
p8,1,0.04659,3.960129,[329 240] ; [58 63],[319.13478261 249.86521739] ; [67.86521739 53.13478261],0
n5,1,0.063206,3.451202,[458 115] ; [89 34],[450.33189655 122.66810345] ; [96.66810345 26.33189655],0
b4,1,0.074117,3.189399,[329 247] ; [81 42],[337.85407725 238.14592275] ; [72.14592275 50.85407725],0
s3,1,0.074845,3.173426,[343 225] ; [63 59],[334.21449275 233.78550725] ; [71.78550725 50.21449275],0
p12,1,0.079726,3.070489,[ 57 517] ; [  6 116],[ 51.95689655 522.04310345] ; [ 11.04310345 110.95689655],0
p3,1,0.088018,2.910251,[314 259] ; [57 66],[305.43534483 267.56465517] ; [65.56465517 57.43534483],0
d5,1,0.093325,2.816067,[483  91] ; [95 27],[476.68390805  97.31609195] ; [101.31609195  20.68390805],0
u3,1,0.104791,2.631069,[88 51] ; [24 24],[83.2513369 55.7486631] ; [28.7486631 19.2513369],0
a8,1,0.112338,2.521014,[ 73 448] ; [ 10 107],[ 67.77899687 453.22100313] ; [ 15.22100313 101.77899687],0
n6,1,0.147059,2.102491,[507  66] ; [103  20],[502.19827586  70.80172414] ; [107.80172414  15.19827586],0
p2,1,0.152494,2.047128,[498  75] ; [100  22],[493.02733813  79.97266187] ; [104.97266187  17.02733813],0
u2,1,0.194364,1.684224,[85 55] ; [24 24],[81.17021277 58.82978723] ; [27.82978723 20.17021277],0
p1,1,0.230246,1.439344,[ 50 523] ; [ 15 108],[ 53.51293103 519.48706897] ; [ 11.48706897 111.51293103],0
n3,1,0.289622,1.121377,[78 24] ; [25 12],[75.58273381 26.41726619] ; [27.41726619  9.58273381],0
b5,1,0.297871,1.083701,[336 240] ; [78 45],[341.15021459 234.84978541] ; [72.84978541 50.15021459],0
s2,1,0.309395,1.033256,[316 254] ; [62 61],[310.90909091 259.09090909] ; [67.09090909 55.90909091],0
p9,1,0.391706,0.733638,[544  31] ; [113   9],[542.00143472  32.99856528] ; [114.99856528   7.00143472],0
p11,1,0.400512,0.706788,[486  90] ; [100  23],[482.88412017  93.11587983] ; [103.11587983  19.88412017],0
s4,1,0.442878,0.588815,[ 99 470] ; [25 98],[101.95953757 467.04046243] ; [ 22.04046243 100.95953757],0
p5,1,0.485687,0.486066,[ 74 497] ; [ 13 109],[ 71.68398268 499.31601732] ; [ 15.31601732 106.68398268],0
a1,1,0.515271,0.423348,[ 25 551] ; [  7 116],[ 26.36909871 549.63090129] ; [  5.63090129 117.36909871],0
b2,1,0.719901,0.128588,[135 210] ; [29 41],[136.3373494 208.6626506] ; [27.6626506 42.3373494],0
b3,1,0.719901,0.128588,[135 210] ; [29 41],[136.3373494 208.6626506] ; [27.6626506 42.3373494],0
s1,1,0.794107,0.068111,[ 16 552] ; [  4 119],[ 16.43994211 551.56005789] ; [  3.56005789 119.43994211],0
p6,1,0.809817,0.057918,[223 346] ; [46 75],[221.82753623 347.17246377] ; [47.17246377 73.82753623],0
u4,1,0.832563,0.044697,[ 11 565] ; [  2 121],[ 10.71244635 565.28755365] ; [  2.28755365 120.71244635],0
b1,1,0.837217,0.042211,[207 369] ; [43 80],[206.00858369 369.99141631] ; [43.99141631 79.00858369],0
n1,1,0.851577,0.035009,[39 64] ; [13 23],[38.5323741 64.4676259] ; [13.4676259 22.5323741],0
n2,1,0.899895,0.015824,[79 24] ; [28  9],[78.72142857 24.27857143] ; [28.27857143  8.72142857],0
