Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,4.1e-05,16.812921,[25  8] ; [ 5 19],[17.36842105 15.63157895] ; [12.63157895 11.36842105],1
a3,1,0.515951,0.42198,[18 15] ; [11 13],[16.78947368 16.21052632] ; [12.21052632 11.78947368],0
v1,1,0.569295,0.323864,[12 21] ; [ 7 17],[11. 22.] ; [ 8. 16.],0
a7,1,0.569295,0.323864,[23 10] ; [15  9],[22. 11.] ; [16.  8.],0
n5,1,0.570736,0.321453,[19 14] ; [12 12],[17.94736842 15.05263158] ; [13.05263158 10.94736842],0
p10,1,0.639546,0.219336,[13 20] ; [ 8 16],[12.15789474 20.84210526] ; [ 8.84210526 15.15789474],0
a2,1,0.645457,0.211676,[ 4 29] ; [ 2 22],[ 3.47368421 29.52631579] ; [ 2.52631579 21.47368421],0
p6,1,0.660004,0.193519,[13 19] ; [ 8 15],[12.21818182 19.78181818] ; [ 8.78181818 14.21818182],0
d3,1,0.676796,0.173755,[25  8] ; [17  7],[24.31578947  8.68421053] ; [17.68421053  6.31578947],0
r2,1,0.683463,0.166254,[29  4] ; [21  2],[29.46428571  3.53571429] ; [20.53571429  2.46428571],0
n4,1,0.708299,0.139982,[19 14] ; [15  9],[19.68421053 13.31578947] ; [14.31578947  9.68421053],0
u2,1,0.742787,0.107692,[9 6] ; [7 6],[8.57142857 6.42857143] ; [7.42857143 5.57142857],0
p11,1,0.775993,0.080966,[18 15] ; [14 10],[18.52631579 14.47368421] ; [13.47368421 10.52631579],0
a6,1,0.812901,0.05602,[21 12] ; [16  8],[21.42105263 11.57894737] ; [15.57894737  8.42105263],0
a8,1,0.849361,0.036075,[ 3 25] ; [ 2 20],[ 2.8 25.2] ; [ 2.2 19.8],0
r1,1,0.875155,0.024685,[24  9] ; [17  7],[23.73684211  9.26315789] ; [17.26315789  6.73684211],0
n1,1,0.875996,0.024351,[2 2] ; [5 6],[1.86666667 2.13333333] ; [5.13333333 5.86666667],0
b2,1,0.899963,0.015802,[ 3 17] ; [ 2 10],[ 3.125 16.875] ; [ 1.875 10.125],0
b3,1,0.899963,0.015802,[ 3 17] ; [ 2 10],[ 3.125 16.875] ; [ 1.875 10.125],0
v2,1,0.910051,0.012763,[16 17] ; [12 12],[16.21052632 16.78947368] ; [11.78947368 12.21052632],0
a5,1,0.930026,0.007711,[21 12] ; [15  9],[20.84210526 12.15789474] ; [15.15789474  8.84210526],0
b1,1,0.954389,0.003271,[19 14] ; [14 10],[19.10526316 13.89473684] ; [13.89473684 10.10526316],0
u1,1,0.965686,0.001851,[ 4 29] ; [ 3 21],[ 4.05263158 28.94736842] ; [ 2.94736842 21.05263158],0
d1,1,0.977384,0.000804,[18 15] ; [13 11],[17.94736842 15.05263158] ; [13.05263158 10.94736842],0
v3,1,0.991583,0.000111,[10 23] ; [ 7 16],[10.01785714 22.98214286] ; [ 6.98214286 16.01785714],0
