Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,7e-06,20.310059,[ 9 27] ; [69 32],[20.49635036 15.50364964] ; [57.50364964 43.49635036],1
b4,1,0.348733,0.878062,[23 13] ; [56 46],[20.60869565 15.39130435] ; [58.39130435 43.60869565],0
p5,1,0.367192,0.813147,[ 5 30] ; [ 9 92],[ 3.60294118 31.39705882] ; [10.39705882 90.60294118],0
s3,1,0.389676,0.739953,[21 15] ; [67 34],[23.12408759 12.87591241] ; [64.87591241 36.12408759],0
a8,1,0.410524,0.677282,[ 6 30] ; [10 79],[ 4.608 31.392] ; [11.392 77.608],0
n2,1,0.411409,0.674724,[9 5] ; [31 10],[10.18181818  3.81818182] ; [29.81818182 11.18181818],0
r3,1,0.437889,0.601807,[32  4] ; [93  7],[33.08823529  2.91176471] ; [91.91176471  8.08823529],0
p10,1,0.441412,0.59261,[20 16] ; [61 36],[21.92481203 14.07518797] ; [59.07518797 37.92481203],0
a1,1,0.448793,0.573699,[ 3 33] ; [ 5 97],[ 2.08695652 33.91304348] ; [ 5.91304348 96.08695652],0
v3,1,0.523587,0.406822,[14 20] ; [34 63],[12.45801527 21.54198473] ; [35.54198473 61.45801527],0
n3,1,0.5274,0.399399,[9 5] ; [30 11],[9.92727273 4.07272727] ; [29.07272727 11.92727273],0
s1,1,0.639684,0.219156,[ 3 33] ; [ 6 93],[ 2.4 33.6] ; [ 6.6 92.4],0
n4,1,0.65136,0.20419,[24 11] ; [65 36],[22.90441176 12.09558824] ; [66.09558824 34.90441176],0
v1,1,0.660488,0.192931,[17 19] ; [52 49],[18.13138686 17.86861314] ; [50.86861314 50.13138686],0
d1,1,0.721534,0.127027,[21 15] ; [56 46],[20.08695652 15.91304348] ; [56.91304348 45.08695652],0
d4,1,0.723263,0.125387,[29  7] ; [84 17],[29.69343066  6.30656934] ; [83.30656934 17.69343066],0
n6,1,0.723636,0.125035,[26  9] ; [78 23],[26.76470588  8.23529412] ; [77.23529412 23.76470588],0
n5,1,0.72412,0.124579,[23 12] ; [63 38],[22.13235294 12.86764706] ; [63.86764706 37.13235294],0
b2,1,0.747542,0.103608,[ 6 17] ; [14 33],[ 6.57142857 16.42857143] ; [13.42857143 33.57142857],0
b3,1,0.747542,0.103608,[ 6 17] ; [14 33],[ 6.57142857 16.42857143] ; [13.42857143 33.57142857],0
p1,1,0.753726,0.098427,[ 5 31] ; [12 89],[ 4.46715328 31.53284672] ; [12.53284672 88.46715328],0
s8,1,0.761341,0.092246,[18 18] ; [48 54],[17.2173913 18.7826087] ; [48.7826087 53.2173913],0
a4,1,0.782458,0.076241,[17 19] ; [45 56],[16.2919708 19.7080292] ; [45.7080292 55.2919708],0
u3,1,0.851038,0.035266,[8 4] ; [21 12],[7.73333333 4.26666667] ; [21.26666667 11.73333333],0
u2,1,0.853364,0.034161,[6 6] ; [17 15],[6.27272727 5.72727273] ; [16.72727273 15.27272727],0
p6,1,0.88342,0.021502,[12 24] ; [32 68],[11.64705882 24.35294118] ; [32.35294118 67.64705882],0
v2,1,0.886508,0.02037,[20 16] ; [52 44],[19.63636364 16.36363636] ; [52.36363636 43.63636364],0
s7,1,0.92535,0.008779,[19 14] ; [55 39],[19.22834646 13.77165354] ; [54.77165354 39.22834646],0
a5,1,0.927497,0.00828,[25 11] ; [70 32],[24.7826087 11.2173913] ; [70.2173913 31.7826087],0
p12,1,0.953024,0.00347,[ 1 35] ; [ 3 98],[ 1.05109489 34.94890511] ; [ 2.94890511 98.05109489],0
s4,1,0.953655,0.003378,[ 9 27] ; [26 76],[ 9.13043478 26.86956522] ; [25.86956522 76.13043478],0
u4,1,0.95993,0.002524,[ 1 35] ; [ 3 99],[ 1.04347826 34.95652174] ; [ 2.95652174 99.04347826],0
a3,1,0.971281,0.001296,[24 12] ; [67 34],[23.91240876 12.08759124] ; [67.08759124 33.91240876],0
s2,1,1.0,0.0,[24 12] ; [68 34],[24. 12.] ; [68. 34.],0
