Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,6e-06,20.443665,[67  4] ; [22 15],[58.50925926 12.49074074] ; [30.49074074  6.50925926],1
p8,1,0.276298,1.185209,[28 43] ; [11 27],[25.40366972 45.59633028] ; [13.59633028 24.40366972],0
s1,1,0.361834,0.831519,[ 4 66] ; [ 4 34],[ 5.18518519 64.81481481] ; [ 2.81481481 35.18518519],0
a8,1,0.368125,0.809984,[ 8 62] ; [ 2 32],[ 6.73076923 63.26923077] ; [ 3.26923077 30.73076923],0
p7,1,0.416263,0.660842,[39 28] ; [19 19],[37.00952381 29.99047619] ; [20.99047619 17.00952381],0
d2,1,0.44612,0.580491,[11 61] ; [ 8 30],[12.43636364 59.56363636] ; [ 6.56363636 31.43636364],0
p12,1,0.47525,0.509743,[ 4 67] ; [ 1 37],[ 3.25688073 67.74311927] ; [ 1.74311927 36.25688073],0
n1,1,0.50137,0.452036,[ 8 12] ; [ 5 12],[ 7.02702703 12.97297297] ; [ 5.97297297 11.02702703],0
d4,1,0.506666,0.440946,[34 38] ; [15 22],[32.36697248 39.63302752] ; [16.63302752 20.36697248],0
s2,1,0.507572,0.439069,[25 46] ; [11 27],[23.44954128 47.55045872] ; [12.55045872 25.44954128],0
p2,1,0.522071,0.4098,[48 24] ; [23 15],[46.47272727 25.52727273] ; [24.52727273 13.47272727],0
p5,1,0.528829,0.396641,[ 5 66] ; [ 4 34],[ 5.86238532 65.13761468] ; [ 3.13761468 34.86238532],0
p6,1,0.531715,0.391113,[19 51] ; [ 8 29],[17.6635514 52.3364486] ; [ 9.3364486 27.6635514],0
v3,1,0.59075,0.289174,[16 54] ; [ 7 31],[14.90740741 55.09259259] ; [ 8.09259259 29.90740741],0
s7,1,0.61052,0.259419,[18 51] ; [ 8 29],[16.9245283 52.0754717] ; [ 9.0754717 27.9245283],0
b5,1,0.616273,0.25114,[40 32] ; [23 15],[41.23636364 30.76363636] ; [21.76363636 16.23636364],0
a4,1,0.622109,0.242915,[ 8 64] ; [ 3 34],[ 7.26605505 64.73394495] ; [ 3.73394495 33.26605505],0
u1,1,0.642745,0.215169,[ 1 71] ; [ 1 37],[ 1.30909091 70.69090909] ; [ 0.69090909 37.30909091],0
n5,1,0.654029,0.200858,[43 27] ; [25 13],[44.07407407 25.92592593] ; [23.92592593 14.07407407],0
b4,1,0.677246,0.173243,[39 33] ; [19 19],[37.96363636 34.03636364] ; [20.03636364 17.96363636],0
n2,1,0.73173,0.117529,[14  6] ; [11  6],[13.51351351  6.48648649] ; [11.48648649  5.51351351],0
p3,1,0.75682,0.095889,[19 53] ; [ 9 29],[18.32727273 53.67272727] ; [ 9.67272727 28.32727273],0
p4,1,0.775674,0.081203,[24 46] ; [12 26],[23.33333333 46.66666667] ; [12.66666667 25.33333333],0
v1,1,0.787394,0.072736,[25 46] ; [14 23],[25.63888889 45.36111111] ; [13.36111111 23.63888889],0
d3,1,0.809664,0.058013,[23 49] ; [13 25],[23.56363636 48.43636364] ; [12.43636364 25.56363636],0
p1,1,0.89366,0.017869,[ 7 65] ; [ 4 34],[ 7.2 64.8] ; [ 3.8 34.2],0
s3,1,0.935606,0.006528,[33 36] ; [18 19],[33.19811321 35.80188679] ; [17.80188679 19.19811321],0
b2,1,0.956079,0.003033,[10 31] ; [ 6 18],[10.09230769 30.90769231] ; [ 5.90769231 18.09230769],0
b3,1,0.956079,0.003033,[10 31] ; [ 6 18],[10.09230769 30.90769231] ; [ 5.90769231 18.09230769],0
n4,1,0.988084,0.000223,[41 30] ; [22 16],[41.03669725 29.96330275] ; [21.96330275 16.03669725],0
