Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,160.641639,[ 33 228] ; [157  72],[101.20408163 159.79591837] ; [ 88.79591837 140.20408163],1
v2,1,0.338312,0.916816,[132 124] ; [122  96],[137.1814346 118.8185654] ; [116.8185654 101.1814346],0
p6,1,0.33845,0.916293,[ 77 182] ; [ 77 151],[ 81.90143737 177.09856263] ; [ 72.09856263 155.90143737],0
b3,1,0.401461,0.703946,[53 99] ; [57 87],[56.48648649 95.51351351] ; [53.51351351 90.48648649],0
b2,1,0.401461,0.703946,[53 99] ; [57 87],[56.48648649 95.51351351] ; [53.51351351 90.48648649],0
n3,1,0.419046,0.652989,[45 24] ; [34 13],[46.99137931 22.00862069] ; [32.00862069 14.99137931],0
p11,1,0.42595,0.633842,[206  57] ; [186  43],[209.54471545  53.45528455] ; [182.45528455  46.54471545],0
v4,1,0.427804,0.628779,[246  17] ; [218  11],[248.03252033  14.96747967] ; [215.96747967  13.03252033],0
b4,1,0.502402,0.449859,[146 117] ; [134  95],[149.67479675 113.32520325] ; [130.32520325  98.67479675],0
a7,1,0.556721,0.345413,[188  74] ; [169  59],[190.88571429  71.11428571] ; [166.11428571  61.88571429],0
a4,1,0.560785,0.338346,[102 159] ; [ 95 133],[105.14723926 155.85276074] ; [ 91.85276074 136.14723926],0
u2,1,0.586827,0.295326,[47 48] ; [35 30],[48.6875 46.3125] ; [33.3125 31.6875],0
a1,1,0.587481,0.294296,[  9 254] ; [ 10 219],[ 10.15650407 252.84349593] ; [  8.84349593 220.15650407],0
n2,1,0.68233,0.167515,[48 21] ; [31 16],[46.99137931 22.00862069] ; [32.00862069 14.99137931],0
d3,1,0.687191,0.162144,[174  88] ; [156  73],[176.08961303  85.91038697] ; [153.91038697  75.08961303],0
v3,1,0.704729,0.143599,[ 93 163] ; [ 84 137],[ 94.99371069 161.00628931] ; [ 82.00628931 138.99371069],0
a6,1,0.76807,0.086966,[179  84] ; [153  76],[177.47154472  85.52845528] ; [154.52845528  74.47154472],0
p8,1,0.779985,0.07803,[125 132] ; [108 120],[123.46597938 133.53402062] ; [109.53402062 118.46597938],0
d4,1,0.80348,0.061924,[208  55] ; [179  50],[206.87195122  56.12804878] ; [180.12804878  48.87195122],0
d5,1,0.830282,0.045941,[205  57] ; [181  48],[205.97148676  56.02851324] ; [180.02851324  48.97148676],0
v1,1,0.841628,0.039924,[130 130] ; [107 111],[128.91213389 131.08786611] ; [108.08786611 109.91213389],0
a5,1,0.966761,0.001736,[181  82] ; [158  71],[181.21341463  81.78658537] ; [157.78658537  71.21341463],0
