Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.020418,5.375818,[10 14] ; [31 13],[14.47058824  9.52941176] ; [26.52941176 17.47058824],0
n3,1,0.239559,1.383185,[7 1] ; [9 5],[5.81818182 2.18181818] ; [10.18181818  3.81818182],0
v1,1,0.249267,1.327407,[13 12] ; [17 28],[10.71428571 14.28571429] ; [19.28571429 25.71428571],0
p6,1,0.30432,1.055167,[ 6 17] ; [17 27],[ 7.89552239 15.10447761] ; [15.10447761 28.89552239],0
p2,1,0.305149,1.051556,[16  9] ; [34 11],[17.85714286  7.14285714] ; [32.14285714 12.85714286],0
b1,1,0.308512,1.037037,[17  8] ; [25 20],[15. 10.] ; [27. 18.],0
v2,1,0.365218,0.81987,[12 12] ; [17 27],[10.23529412 13.76470588] ; [18.76470588 25.23529412],0
r3,1,0.370237,0.802867,[21  4] ; [41  4],[22.14285714  2.85714286] ; [39.85714286  5.14285714],0
a4,1,0.408911,0.681965,[ 7 18] ; [17 28],[ 8.57142857 16.42857143] ; [15.42857143 29.57142857],0
u3,1,0.429195,0.625,[5 5] ; [13  7],[6. 4.] ; [12.  8.],0
b5,1,0.452811,0.563607,[15 10] ; [31 14],[16.42857143  8.57142857] ; [29.57142857 15.42857143],0
u2,1,0.462832,0.539037,[4 4] ; [ 7 13],[3.14285714 4.85714286] ; [ 7.85714286 12.14285714],0
a7,1,0.486759,0.483683,[14 11] ; [29 16],[15.35714286  9.64285714] ; [27.64285714 17.35714286],0
p11,1,0.491934,0.472292,[ 9 16] ; [20 25],[10.35714286 14.64285714] ; [18.64285714 26.35714286],0
p5,1,0.50157,0.451613,[ 2 23] ; [ 6 39],[ 2.85714286 22.14285714] ; [ 5.14285714 39.85714286],0
v4,1,0.50157,0.451613,[23  2] ; [39  6],[22.14285714  2.85714286] ; [39.85714286  5.14285714],0
a8,1,0.558761,0.341855,[ 2 22] ; [ 5 33],[ 2.70967742 21.29032258] ; [ 4.29032258 33.70967742],0
a6,1,0.568413,0.325345,[14 11] ; [22 23],[12.85714286 12.14285714] ; [23.14285714 21.85714286],0
s5,1,0.625175,0.238661,[ 5 19] ; [11 31],[ 5.81818182 18.18181818] ; [10.18181818 31.81818182],0
r1,1,0.64511,0.212121,[18  7] ; [30 15],[17.14285714  7.85714286] ; [30.85714286 14.14285714],0
d4,1,0.659408,0.194244,[19  6] ; [32 13],[18.21428571  6.78571429] ; [32.78571429 12.21428571],0
v3,1,0.673134,0.177958,[ 7 16] ; [11 32],[ 6.27272727 16.72727273] ; [11.72727273 31.27272727],0
p9,1,0.714506,0.133818,[ 8 16] ; [17 28],[ 8.69565217 15.30434783] ; [16.30434783 28.69565217],0
a3,1,0.718816,0.12963,[15 10] ; [25 20],[14.28571429 10.71428571] ; [25.71428571 19.28571429],0
n4,1,0.729261,0.119792,[15  9] ; [30 15],[15.65217391  8.34782609] ; [29.34782609 15.65217391],0
a5,1,0.741827,0.108527,[16  9] ; [27 18],[15.35714286  9.64285714] ; [27.64285714 17.35714286],0
n1,1,0.746188,0.104762,[4 4] ; [8 6],[4.36363636 3.63636364] ; [7.63636364 6.36363636],0
a2,1,0.759982,0.093333,[ 4 21] ; [ 6 39],[ 3.57142857 21.42857143] ; [ 6.42857143 38.57142857],0
n2,1,0.847516,0.036975,[6 2] ; [11  3],[6.18181818 1.81818182] ; [10.81818182  3.18181818],0
b2,1,0.851038,0.035266,[4 8] ; [12 21],[4.26666667 7.73333333] ; [11.73333333 21.26666667],0
b3,1,0.851038,0.035266,[4 8] ; [12 21],[4.26666667 7.73333333] ; [11.73333333 21.26666667],0
s1,1,0.898708,0.016204,[ 2 23] ; [ 4 41],[ 2.14285714 22.85714286] ; [ 3.85714286 41.14285714],0
a1,1,0.929899,0.007739,[ 1 24] ; [ 2 43],[ 1.07142857 23.92857143] ; [ 1.92857143 43.07142857],0
r4,1,1.0,0.0,[20  5] ; [36  9],[20.  5.] ; [36.  9.],0
