Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.014287,6.002363,[ 5 17] ; [14 10],[ 9.08695652 12.91304348] ; [ 9.91304348 14.08695652],0
p10,1,0.60006,0.274906,[ 8 13] ; [11 13],[ 8.86666667 12.13333333] ; [10.13333333 13.86666667],0
a4,1,0.604741,0.267904,[ 5 17] ; [ 4 20],[ 4.30434783 17.69565217] ; [ 4.69565217 19.30434783],0
p3,1,0.619307,0.246843,[ 5 17] ; [ 7 17],[ 5.73913043 16.26086957] ; [ 6.26086957 17.73913043],0
s2,1,0.619307,0.246843,[ 5 17] ; [ 7 17],[ 5.73913043 16.26086957] ; [ 6.26086957 17.73913043],0
v1,1,0.686089,0.163352,[ 7 15] ; [ 9 15],[ 7.65217391 14.34782609] ; [ 8.34782609 15.65217391],0
n3,1,0.70663,0.141667,[6 6] ; [3 2],[6.35294118 5.64705882] ; [2.64705882 2.35294118],0
b5,1,0.757863,0.095041,[10 12] ; [12 12],[10.52173913 11.47826087] ; [11.47826087 12.52173913],0
u3,1,0.791959,0.069573,[ 2 12] ; [2 9],[ 2.24 11.76] ; [1.76 9.24],0
p6,1,0.834906,0.043436,[ 4 17] ; [ 4 20],[ 3.73333333 17.26666667] ; [ 4.26666667 19.73333333],0
p4,1,0.912804,0.011991,[ 7 15] ; [ 8 16],[ 7.17391304 14.82608696] ; [ 7.82608696 16.17391304],0
p12,1,0.949823,0.00396,[ 1 21] ; [ 1 23],[ 0.95652174 21.04347826] ; [ 1.04347826 22.95652174],0
u1,1,0.949823,0.00396,[ 1 21] ; [ 1 23],[ 0.95652174 21.04347826] ; [ 1.04347826 22.95652174],0
r2,1,0.979446,0.000664,[10 12] ; [11 13],[10.04347826 11.95652174] ; [10.95652174 13.04347826],0
a7,1,0.979446,0.000664,[10 12] ; [11 13],[10.04347826 11.95652174] ; [10.95652174 13.04347826],0
b2,1,1.0,0.0,[5 9] ; [5 9],[5. 9.] ; [5. 9.],0
b3,1,1.0,0.0,[5 9] ; [5 9],[5. 9.] ; [5. 9.],0
