Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.9e-05,18.306777,[83 10] ; [20 16],[74.25581395 18.74418605] ; [28.74418605  7.25581395],1
a4,1,0.241571,1.371404,[24 69] ; [ 6 31],[21.46153846 71.53846154] ; [ 8.53846154 28.46153846],0
p6,1,0.248597,1.33117,[32 60] ; [ 9 28],[29.24031008 62.75968992] ; [11.75968992 25.24031008],0
s5,1,0.339478,0.9124,[24 65] ; [ 7 30],[21.8968254 67.1031746] ; [ 9.1031746 27.8968254],0
a3,1,0.359661,0.839075,[51 42] ; [17 20],[48.64615385 44.35384615] ; [19.35384615 17.64615385],0
s6,1,0.373888,0.790703,[58 31] ; [21 16],[55.8015873 33.1984127] ; [23.1984127 13.8015873],0
p4,1,0.388743,0.742869,[53 40] ; [18 19],[50.79230769 42.20769231] ; [20.20769231 16.79230769],0
n1,1,0.41902,0.653061,[9 9] ; [5 9],[ 7.875 10.125] ; [6.125 7.875],0
a2,1,0.429687,0.623668,[ 9 84] ; [ 2 35],[ 7.86923077 85.13076923] ; [ 3.13076923 33.86923077],0
s7,1,0.47577,0.508542,[43 43] ; [15 20],[41.2231405 44.7768595] ; [16.7768595 18.2231405],0
s1,1,0.505136,0.44413,[ 5 87] ; [ 1 36],[ 4.27906977 87.72093023] ; [ 1.72093023 35.27906977],0
n3,1,0.509756,0.434568,[14  4] ; [13  2],[14.72727273  3.27272727] ; [12.27272727  2.72727273],0
n2,1,0.509756,0.434568,[14  4] ; [13  2],[14.72727273  3.27272727] ; [12.27272727  2.72727273],0
b3,1,0.513891,0.426136,[17 43] ; [ 3 12],[16. 44.] ; [ 4. 11.],0
b2,1,0.513891,0.426136,[17 43] ; [ 3 12],[16. 44.] ; [ 4. 11.],0
p7,1,0.536455,0.382149,[57 34] ; [21 16],[55.453125 35.546875] ; [22.546875 14.453125],0
p5,1,0.53699,0.381147,[11 82] ; [ 3 34],[10.01538462 82.98461538] ; [ 3.98461538 33.01538462],0
u2,1,0.586883,0.295238,[20 22] ; [11  9],[21. 21.] ; [10. 10.],0
s2,1,0.601226,0.273151,[39 52] ; [14 23],[37.6796875 53.3203125] ; [15.3203125 21.6796875],0
b4,1,0.636552,0.22328,[47 46] ; [17 20],[45.78461538 47.21538462] ; [18.21538462 18.78461538],0
s8,1,0.750936,0.100746,[38 55] ; [14 23],[37.2 55.8] ; [14.8 22.2],0
v4,1,0.761242,0.092325,[85  6] ; [34  3],[84.6015625  6.3984375] ; [34.3984375  2.6015625],0
p8,1,0.797635,0.065745,[49 42] ; [19 18],[48.34375 42.65625] ; [19.65625 17.34375],0
d2,1,0.803818,0.061707,[22 71] ; [ 8 29],[21.46153846 71.53846154] ; [ 8.53846154 28.46153846],0
s4,1,0.824356,0.04926,[19 73] ; [ 7 30],[18.54263566 73.45736434] ; [ 7.45736434 29.54263566],0
a7,1,0.855596,0.033118,[61 32] ; [23 13],[60.55813953 32.44186047] ; [23.44186047 12.55813953],0
u3,1,0.86079,0.030754,[22 20] ; [10 10],[21.67741935 20.32258065] ; [10.32258065  9.67741935],0
d5,1,0.956313,0.003001,[46 47] ; [18 18],[46.13953488 46.86046512] ; [17.86046512 18.13953488],0
a8,1,0.985714,0.000321,[ 7 78] ; [ 3 33],[ 7.02479339 77.97520661] ; [ 2.97520661 33.02479339],0
