Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,3e-06,21.802171,[26 16] ; [ 4 33],[15.94936709 26.05063291] ; [14.05063291 22.94936709],1
s4,1,0.548344,0.360293,[ 6 37] ; [ 7 30],[ 6.9875 36.0125] ; [ 6.0125 30.9875],0
v2,1,0.576691,0.311614,[17 25] ; [12 23],[15.81818182 26.18181818] ; [13.18181818 21.81818182],0
n2,1,0.583619,0.30042,[11 10] ; [11  7],[11.84615385  9.15384615] ; [10.15384615  7.84615385],0
p6,1,0.592629,0.286258,[11 30] ; [ 8 29],[ 9.98717949 31.01282051] ; [ 9.01282051 27.98717949],0
p11,1,0.641616,0.216634,[21 22] ; [20 17],[22.0375 20.9625] ; [18.9625 18.0375],0
p8,1,0.649644,0.206349,[12 30] ; [12 24],[12.92307692 29.07692308] ; [11.07692308 24.92307692],0
n3,1,0.731999,0.117284,[10 10] ; [ 8 10],[ 9.47368421 10.52631579] ; [8.52631579 9.47368421],0
a7,1,0.757278,0.095516,[23 20] ; [18 18],[22.3164557 20.6835443] ; [18.6835443 17.3164557],0
v1,1,0.76541,0.089033,[15 26] ; [12 24],[14.37662338 26.62337662] ; [12.62337662 23.37662338],0
s5,1,0.78677,0.073174,[ 9 32] ; [ 7 29],[ 8.51948052 32.48051948] ; [ 7.48051948 28.51948052],0
p1,1,0.790696,0.070441,[ 4 39] ; [ 4 32],[ 4.35443038 38.64556962] ; [ 3.64556962 32.35443038],0
v3,1,0.810954,0.057215,[13 30] ; [10 26],[12.51898734 30.48101266] ; [10.48101266 25.51898734],0
p9,1,0.824227,0.049333,[26 16] ; [22 15],[25.51898734 16.48101266] ; [22.48101266 14.51898734],0
s2,1,0.866201,0.028387,[14 28] ; [13 24],[14.35443038 27.64556962] ; [12.64556962 24.35443038],0
v4,1,0.885141,0.020867,[29 12] ; [26 10],[29.28571429 11.71428571] ; [25.71428571 10.28571429],0
p10,1,0.915139,0.011355,[25 17] ; [21 15],[24.76923077 17.23076923] ; [21.23076923 14.76923077],0
