Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,9e-06,19.780479,[24 19] ; [ 62 206],[11.89067524 31.10932476] ; [ 74.10932476 193.89067524],1
d1,1,0.350467,0.871767,[27 16] ; [149 121],[24.17891374 18.82108626] ; [151.82108626 118.17891374],0
p4,1,0.390817,0.736399,[27 16] ; [149 118],[24.41290323 18.58709677] ; [151.58709677 115.41290323],0
r4,1,0.402242,0.701614,[38  5] ; [225  45],[36.13099042  6.86900958] ; [226.86900958  43.13099042],0
a2,1,0.410696,0.676785,[12 31] ; [ 60 210],[ 9.8913738 33.1086262] ; [ 62.1086262 207.8913738],0
d5,1,0.436069,0.606606,[37  6] ; [219  51],[35.16932907  7.83067093] ; [220.83067093  49.16932907],0
b5,1,0.439302,0.598104,[28 15] ; [159 111],[25.69009585 17.30990415] ; [161.30990415 108.69009585],0
b1,1,0.453834,0.561058,[14 29] ; [104 166],[16.21086262 26.78913738] ; [101.78913738 168.21086262],0
a7,1,0.484021,0.489789,[32 11] ; [186  83],[30.04487179 12.95512821] ; [187.95512821  81.04487179],0
v2,1,0.503869,0.446778,[26 17] ; [143 117],[23.98349835 19.01650165] ; [145.01650165 114.98349835],0
v4,1,0.53166,0.391218,[40  3] ; [243  27],[38.87859425  4.12140575] ; [244.12140575  25.87859425],0
p2,1,0.569534,0.323462,[35  8] ; [207  60],[33.56774194  9.43225806] ; [208.43225806  58.56774194],0
a5,1,0.616079,0.251417,[34  9] ; [204  66],[32.69648562 10.30351438] ; [205.30351438  64.69648562],0
d2,1,0.62204,0.24301,[23 20] ; [132 135],[21.5 21.5] ; [133.5 133.5],0
b4,1,0.62985,0.232264,[23 20] ; [155 115],[24.45367412 18.54632588] ; [153.54632588 116.45367412],0
p3,1,0.645547,0.21156,[22 21] ; [127 141],[20.60128617 22.39871383] ; [128.39871383 139.60128617],0
p5,1,0.712109,0.136179,[ 4 39] ; [ 30 238],[ 4.70096463 38.29903537] ; [ 29.29903537 238.70096463],0
p9,1,0.7286,0.120401,[35  8] ; [208  55],[34.14705882  8.85294118] ; [208.85294118  54.14705882],0
a1,1,0.788685,0.071834,[ 3 40] ; [ 16 254],[ 2.61022364 40.38977636] ; [ 16.38977636 253.61022364],0
u2,1,0.827785,0.047325,[6 7] ; [41 42],[6.36458333 6.63541667] ; [40.63541667 42.36458333],0
r1,1,0.840607,0.040448,[32 11] ; [204  65],[32.52564103 10.47435897] ; [203.47435897  65.52564103],0
a8,1,0.845477,0.037983,[ 5 33] ; [ 34 203],[ 5.38909091 32.61090909] ; [ 33.61090909 203.38909091],0
d3,1,0.857843,0.032084,[28 15] ; [172  98],[27.47603834 15.52396166] ; [172.52396166  97.47603834],0
a3,1,0.922572,0.009447,[30 13] ; [185  83],[29.7266881 13.2733119] ; [185.2733119  82.7266881],0
n2,1,0.926301,0.008556,[7 4] ; [41 22],[7.13513514 3.86486486] ; [40.86486486 22.13513514],0
u3,1,0.950788,0.003809,[6 7] ; [38 46],[5.89690722 7.10309278] ; [38.10309278 45.89690722],0
r2,1,0.964383,0.001994,[39  4] ; [240  24],[39.0781759  3.9218241] ; [239.9218241  24.0781759],0
