Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,6e-06,20.58419,[ 7 29] ; [17  4],[15.15789474 20.84210526] ; [ 8.84210526 12.15789474],1
n3,1,0.474549,0.511364,[6 3] ; [5 1],[6.6 2.4] ; [4.4 1.6],0
b5,1,0.476147,0.507674,[23 15] ; [16  7],[24.29508197 13.70491803] ; [14.70491803  8.29508197],0
b2,1,0.491251,0.473785,[ 7 16] ; [ 4 15],[ 6.02380952 16.97619048] ; [ 4.97619048 14.02380952],0
b3,1,0.491251,0.473785,[ 7 16] ; [ 4 15],[ 6.02380952 16.97619048] ; [ 4.97619048 14.02380952],0
p5,1,0.496897,0.461557,[ 3 34] ; [ 3 19],[ 3.76271186 33.23728814] ; [ 2.23728814 19.76271186],0
v3,1,0.568735,0.324804,[10 26] ; [ 8 15],[10.98305085 25.01694915] ; [ 7.01694915 15.98305085],0
d1,1,0.572958,0.317758,[17 21] ; [12 11],[18.06557377 19.93442623] ; [10.93442623 12.06557377],0
a6,1,0.579783,0.306586,[22 15] ; [12 11],[20.96666667 16.03333333] ; [13.03333333  9.96666667],0
a2,1,0.587557,0.294176,[ 3 35] ; [ 1 22],[ 2.49180328 35.50819672] ; [ 1.50819672 21.49180328],0
a8,1,0.590892,0.288954,[ 6 31] ; [ 5 18],[ 6.78333333 30.21666667] ; [ 4.21666667 18.78333333],0
s1,1,0.596153,0.280838,[ 5 33] ; [ 2 21],[ 4.36065574 33.63934426] ; [ 2.63934426 20.36065574],0
u1,1,0.599664,0.275503,[ 2 36] ; [ 2 21],[ 2.49180328 35.50819672] ; [ 1.50819672 21.49180328],0
r1,1,0.609733,0.260564,[24 14] ; [16  7],[24.91803279 13.08196721] ; [15.08196721  7.91803279],0
p8,1,0.696307,0.152342,[18 19] ; [10 13],[17.26666667 19.73333333] ; [10.73333333 12.26666667],0
a5,1,0.757918,0.094997,[23 15] ; [13 10],[22.42622951 15.57377049] ; [13.57377049  9.42622951],0
n1,1,0.872081,0.025926,[4 5] ; [2 3],[3.85714286 5.14285714] ; [2.14285714 2.85714286],0
a1,1,0.872705,0.025671,[ 2 36] ; [ 1 22],[ 1.86885246 36.13114754] ; [ 1.13114754 21.86885246],0
d4,1,0.953794,0.003357,[26 11] ; [16  7],[25.9 11.1] ; [16.1  6.9],0
a3,1,0.978782,0.000707,[23 15] ; [14  9],[23.04918033 14.95081967] ; [13.95081967  9.04918033],0
