Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.001039,10.757506,[39 12] ; [ 9 15],[32.64 18.36] ; [15.36  8.64],0
u3,1,0.348723,0.878099,[8 3] ; [3 3],[7.11764706 3.88235294] ; [3.88235294 2.11764706],0
b4,1,0.381965,0.76437,[33 18] ; [13 11],[31.28 19.72] ; [14.72  9.28],0
p2,1,0.393575,0.727867,[46  5] ; [20  4],[44.88  6.12] ; [21.12  2.88],0
n6,1,0.412821,0.670662,[48  2] ; [21  2],[47.26027397  2.73972603] ; [21.73972603  1.26027397],0
p9,1,0.42767,0.629143,[49  2] ; [22  2],[48.28  2.72] ; [22.72  1.28],0
u1,1,0.433483,0.613475,[ 7 44] ; [ 5 19],[ 8.16 42.84] ; [ 3.84 20.16],0
a4,1,0.436606,0.605185,[24 27] ; [ 9 15],[22.44 28.56] ; [10.56 13.44],0
s7,1,0.472698,0.515662,[36 12] ; [19  4],[37.18309859 10.81690141] ; [17.81690141  5.18309859],0
a7,1,0.48039,0.497977,[38 13] ; [16  8],[36.72 14.28] ; [17.28  6.72],0
u2,1,0.481556,0.495338,[9 2] ; [4 2],[8.41176471 2.58823529] ; [4.58823529 1.41176471],0
d5,1,0.483187,0.491661,[41  9] ; [18  6],[39.86486486 10.13513514] ; [19.13513514  4.86486486],0
p6,1,0.512449,0.429063,[37 13] ; [16  8],[35.81081081 14.18918919] ; [17.18918919  6.81081081],0
b2,1,0.513121,0.427697,[16 17] ; [11  8],[17.13461538 15.86538462] ; [9.86538462 9.13461538],0
b3,1,0.513121,0.427697,[16 17] ; [11  8],[17.13461538 15.86538462] ; [9.86538462 9.13461538],0
s8,1,0.639588,0.219282,[34 16] ; [15  9],[33.10810811 16.89189189] ; [15.89189189  8.10810811],0
d4,1,0.691962,0.15697,[42  8] ; [21  3],[42.56756757  7.43243243] ; [20.43243243  3.56756757],0
d1,1,0.714381,0.13394,[32 19] ; [14 10],[31.28 19.72] ; [14.72  9.28],0
a3,1,0.740574,0.109623,[40 11] ; [18  6],[39.44 11.56] ; [18.56  5.44],0
a2,1,0.741135,0.109132,[ 9 42] ; [ 5 19],[ 9.52 41.48] ; [ 4.48 19.52],0
a8,1,0.809582,0.058065,[ 7 41] ; [ 3 21],[ 6.66666667 41.33333333] ; [ 3.33333333 20.66666667],0
n1,1,0.844674,0.038384,[6 5] ; [4 4],[5.78947368 5.21052632] ; [4.21052632 3.78947368],0
d2,1,0.881929,0.02206,[22 28] ; [11 13],[22.2972973 27.7027027] ; [10.7027027 13.2972973],0
p12,1,0.902902,0.014883,[17 34] ; [ 8 15],[17.22972973 33.77027027] ; [ 7.77027027 15.22972973],0
p3,1,0.933474,0.006968,[40 10] ; [19  5],[39.86486486 10.13513514] ; [19.13513514  4.86486486],0
r2,1,0.94181,0.005328,[47  4] ; [22  2],[46.92  4.08] ; [22.08  1.92],0
v4,1,0.959701,0.002553,[49  2] ; [23  1],[48.96  2.04] ; [23.04  0.96],0
u4,1,0.959701,0.002553,[ 2 49] ; [ 1 23],[ 2.04 48.96] ; [ 0.96 23.04],0
a6,1,0.978295,0.00074,[29 21] ; [14 10],[29.05405405 20.94594595] ; [13.94594595 10.05405405],0
p1,1,0.982649,0.000473,[15 36] ; [ 7 17],[14.96 36.04] ; [ 7.04 16.96],0
b1,1,0.983668,0.000419,[19 32] ; [ 9 15],[19.04 31.96] ; [ 8.96 15.04],0
