Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,34.639831,[ 25 125] ; [84 93],[ 50. 100.] ; [ 59. 118.],1
a2,1,0.561407,0.337274,[ 36 119] ; [ 47 134],[ 38.28869048 116.71130952] ; [ 44.71130952 136.28869048],0
a1,1,0.674074,0.176873,[  7 148] ; [ 10 171],[  7.8422619 147.1577381] ; [  9.1577381 171.8422619],0
p5,1,0.760809,0.092671,[  8 143] ; [ 11 170],[  8.64156627 142.35843373] ; [ 10.35843373 170.64156627],0
s3,1,0.81984,0.051871,[89 66] ; [100  78],[87.97297297 67.02702703] ; [101.02702703  76.97297297],0
n5,1,0.843298,0.039076,[112  42] ; [127  50],[111.19637462  42.80362538] ; [127.80362538  49.19637462],0
u4,1,0.847872,0.0368,[  3 152] ; [  3 178],[  2.76785714 152.23214286] ; [  3.23214286 177.76785714],0
s4,1,0.850824,0.035369,[ 26 127] ; [ 32 148],[ 26.64864865 126.35135135] ; [ 31.35135135 148.64864865],0
a8,1,0.853555,0.034072,[ 19 123] ; [ 23 140],[ 19.55409836 122.44590164] ; [ 22.44590164 140.55409836],0
b5,1,0.862241,0.03011,[105  50] ; [121  60],[104.25595238  50.74404762] ; [121.74404762  59.25595238],0
p4,1,0.889468,0.019315,[72 82] ; [86 95],[72.63283582 81.36716418] ; [85.36716418 95.63283582],0
b4,1,0.953435,0.00341,[92 63] ; [108  73],[92.26190476 62.73809524] ; [107.73809524  73.26190476],0
u3,1,0.96681,0.001731,[27 18] ; [28 19],[26.90217391 18.09782609] ; [28.09782609 18.90217391],0
s5,1,0.990965,0.000128,[ 46 103] ; [ 53 119],[ 45.95327103 103.04672897] ; [ 53.04672897 118.95327103],0
