Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.001442,10.151363,[24 84] ; [16 15],[31.07913669 76.92086331] ; [ 8.92086331 22.07913669],0
p9,1,0.370592,0.80168,[69 40] ; [23  9],[71.12056738 37.87943262] ; [20.87943262 11.12056738],0
n1,1,0.389023,0.741994,[12 30] ; [5 7],[13.22222222 28.77777778] ; [3.77777778 8.22222222],0
a6,1,0.38953,0.740407,[48 64] ; [11 21],[45.88888889 66.11111111] ; [13.11111111 18.88888889],0
a2,1,0.407626,0.685714,[  8 104] ; [ 1 31],[  7. 105.] ; [ 2. 30.],0
d3,1,0.44013,0.595945,[47 65] ; [11 21],[45.11111111 66.88888889] ; [12.88888889 19.11111111],0
p1,1,0.452193,0.565149,[ 12 100] ; [ 2 30],[ 10.88888889 101.11111111] ; [ 3.11111111 28.88888889],0
s5,1,0.488921,0.478899,[30 77] ; [ 7 25],[28.48201439 78.51798561] ; [ 8.51798561 23.48201439],0
u2,1,0.567963,0.326102,[24 29] ; [5 4],[24.79032258 28.20967742] ; [4.20967742 4.79032258],0
d2,1,0.628392,0.234248,[50 60] ; [13 19],[48.8028169 61.1971831] ; [14.1971831 17.8028169],0
r2,1,0.643369,0.214363,[89 22] ; [26  5],[89.8943662 21.1056338] ; [25.1056338  5.8943662],0
a1,1,0.678687,0.171607,[  5 107] ; [ 2 30],[  5.44444444 106.55555556] ; [ 1.55555556 30.44444444],0
s1,1,0.678687,0.171607,[  5 107] ; [ 2 30],[  5.44444444 106.55555556] ; [ 1.55555556 30.44444444],0
b1,1,0.6885,0.160714,[57 55] ; [15 17],[56. 56.] ; [16. 16.],0
r3,1,0.742122,0.108271,[88 24] ; [26  6],[88.66666667 23.33333333] ; [25.33333333  6.66666667],0
s4,1,0.798921,0.064894,[22 89] ; [ 7 25],[22.51048951 88.48951049] ; [ 6.48951049 25.51048951],0
p4,1,0.805237,0.060799,[49 62] ; [14 16],[49.59574468 61.40425532] ; [13.40425532 16.59574468],0
p5,1,0.808976,0.058442,[  9 103] ; [ 3 29],[  9.33333333 102.66666667] ; [ 2.66666667 29.33333333],0
u1,1,0.845815,0.037815,[  6 106] ; [ 2 30],[  6.22222222 105.77777778] ; [ 1.77777778 30.22222222],0
b4,1,0.85792,0.032049,[61 51] ; [18 14],[61.44444444 50.55555556] ; [17.55555556 14.44444444],0
n5,1,0.860609,0.030835,[78 33] ; [23  9],[78.3986014 32.6013986] ; [22.6013986  9.3986014],0
n6,1,0.873691,0.025272,[86 26] ; [25  7],[86.33333333 25.66666667] ; [24.66666667  7.33333333],0
p2,1,0.912458,0.012087,[74 37] ; [21 11],[73.74125874 37.25874126] ; [21.25874126 10.74125874],0
u3,1,0.914081,0.011641,[19 35] ; [3 6],[18.85714286 35.14285714] ; [3.14285714 5.85714286],0
p8,1,0.931082,0.007479,[46 66] ; [13 18],[46.20979021 65.79020979] ; [12.79020979 18.20979021],0
d1,1,0.963878,0.002051,[46 66] ; [13 19],[45.88888889 66.11111111] ; [13.11111111 18.88888889],0
