Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,23.177143,[21  9] ; [ 6 36],[11.25 18.75] ; [15.75 26.25],1
p4,1,0.548706,0.35964,[15 15] ; [18 24],[13.75 16.25] ; [19.25 22.75],0
p8,1,0.598819,0.276781,[13 17] ; [16 27],[11.91780822 18.08219178] ; [17.08219178 25.91780822],0
u1,1,0.613204,0.255535,[ 3 27] ; [ 6 37],[ 3.69863014 26.30136986] ; [ 5.30136986 37.69863014],0
n3,1,0.665362,0.187075,[5 3] ; [10  4],[5.45454545 2.54545455] ; [9.54545455 4.45454545],0
s1,1,0.683311,0.166423,[ 2 27] ; [ 2 41],[ 1.61111111 27.38888889] ; [ 2.38888889 40.61111111],0
d3,1,0.715889,0.132466,[19 11] ; [29 14],[19.7260274 10.2739726] ; [28.2739726 14.7260274],0
p2,1,0.745529,0.105326,[17 13] ; [26 17],[17.67123288 12.32876712] ; [25.32876712 17.67123288],0
a5,1,0.809354,0.058206,[18 12] ; [27 16],[18.49315068 11.50684932] ; [26.50684932 16.49315068],0
b4,1,0.816934,0.053587,[21  9] ; [29 14],[20.54794521  9.45205479] ; [29.45205479 13.54794521],0
v4,1,0.827382,0.047551,[26  4] ; [38  5],[26.30136986  3.69863014] ; [37.69863014  5.30136986],0
n4,1,0.89076,0.018863,[20 10] ; [28 15],[19.7260274 10.2739726] ; [28.2739726 14.7260274],0
b1,1,0.900317,0.01569,[17 13] ; [25 18],[17.26027397 12.73972603] ; [24.73972603 18.26027397],0
u3,1,0.907008,0.013645,[4 5] ; [ 8 11],[3.85714286 5.14285714] ; [ 8.14285714 10.85714286],0
r2,1,0.908284,0.013272,[26  4] ; [36  6],[25.83333333  4.16666667] ; [36.16666667  5.83333333],0
r1,1,0.917191,0.01081,[22  8] ; [32 11],[22.19178082  7.80821918] ; [31.80821918 11.19178082],0
