Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,24.801277,[36 28] ; [ 79 238],[19.3175853 44.6824147] ; [ 95.6824147 221.3175853],1
a6,1,0.424739,0.637166,[39 26] ; [208 111],[41.80989583 23.19010417] ; [205.19010417 113.80989583],0
r3,1,0.439954,0.596402,[53 10] ; [278  39],[54.87631579  8.12368421] ; [276.12368421  40.87631579],0
a1,1,0.445377,0.582391,[ 2 63] ; [ 17 302],[ 3.21614583 61.78385417] ; [ 15.78385417 303.21614583],0
n1,1,0.473069,0.514799,[ 6 15] ; [35 60],[ 7.42241379 13.57758621] ; [33.57758621 61.42241379],0
r4,1,0.473246,0.514386,[47 18] ; [244  75],[49.2578125 15.7421875] ; [241.7421875  77.2578125],0
p4,1,0.483289,0.491432,[32 33] ; [141 176],[29.43717277 35.56282723] ; [143.56282723 173.43717277],0
p10,1,0.528136,0.397977,[45 19] ; [208 106],[42.83597884 21.16402116] ; [210.16402116 103.83597884],0
a4,1,0.560839,0.338253,[23 42] ; [124 192],[25.07874016 39.92125984] ; [121.92125984 194.07874016],0
p2,1,0.562671,0.335101,[51 14] ; [238  79],[49.17539267 15.82460733] ; [239.82460733  77.17539267],0
r2,1,0.583691,0.300306,[54 10] ; [273  41],[55.36507937  8.63492063] ; [271.63492063  42.36507937],0
n3,1,0.631088,0.230589,[13  8] ; [62 30],[13.9380531  7.0619469] ; [61.0619469 30.9380531],0
r1,1,0.651383,0.204161,[42 23] ; [214 103],[43.56020942 21.43979058] ; [212.43979058 104.56020942],0
b5,1,0.66275,0.190201,[40 25] ; [187 132],[38.42447917 26.57552083] ; [188.57552083 130.42447917],0
v4,1,0.713982,0.134332,[56  8] ; [271  45],[55.07368421  8.92631579] ; [271.92631579  44.07368421],0
s1,1,0.73879,0.111193,[ 3 61] ; [ 12 304],[ 2.52631579 61.47368421] ; [ 12.47368421 303.52631579],0
v1,1,0.738941,0.11106,[23 42] ; [118 196],[24.18205805 40.81794195] ; [116.81794195 197.18205805],0
p7,1,0.763712,0.090366,[31 32] ; [160 152],[32.088 30.912] ; [158.912 153.088],0
n5,1,0.779652,0.078273,[43 22] ; [202 112],[42.01846966 22.98153034] ; [202.98153034 111.01846966],0
a7,1,0.782908,0.075917,[42 22] ; [215 104],[42.94516971 21.05483029] ; [214.05483029 104.94516971],0
p8,1,0.814351,0.055139,[26 37] ; [125 190],[25.16666667 37.83333333] ; [125.83333333 189.16666667],0
d5,1,0.848236,0.036622,[46 18] ; [233  86],[46.62140992 17.37859008] ; [232.37859008  86.62140992],0
b4,1,0.877368,0.023811,[36 29] ; [180 139],[36.5625 28.4375] ; [179.4375 139.5625],0
a5,1,0.935995,0.006449,[40 25] ; [198 121],[40.28645833 24.71354167] ; [197.71354167 121.28645833],0
p9,1,0.977951,0.000764,[46 18] ; [223  88],[45.90933333 18.09066667] ; [223.09066667  87.90933333],0
