Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,6e-06,20.371206,[17 24] ; [100  27],[28.55357143 12.44642857] ; [88.44642857 38.55357143],1
d2,1,0.821025,0.051178,[15 26] ; [44 83],[14.39880952 26.60119048] ; [44.60119048 82.39880952],0
p7,1,0.822798,0.050153,[22 18] ; [69 52],[22.60869565 17.39130435] ; [68.39130435 52.60869565],0
r2,1,0.828196,0.047096,[38  3] ; [118   8],[38.2994012  2.7005988] ; [117.7005988   8.2994012],0
n3,1,0.831641,0.045198,[11  4] ; [31 13],[10.6779661  4.3220339] ; [31.3220339 12.6779661],0
p6,1,0.86712,0.027995,[ 8 31] ; [27 97],[ 8.37423313 30.62576687] ; [26.62576687 97.37423313],0
s5,1,0.912834,0.011982,[11 26] ; [36 89],[10.7345679 26.2654321] ; [36.2654321 88.7345679],0
b2,1,0.931226,0.007448,[ 6 15] ; [16 42],[ 5.84810127 15.15189873] ; [16.15189873 41.84810127],0
b3,1,0.931226,0.007448,[ 6 15] ; [16 42],[ 5.84810127 15.15189873] ; [16.15189873 41.84810127],0
p1,1,0.983845,0.00041,[ 2 39] ; [  6 119],[ 1.97590361 39.02409639] ; [  6.02409639 118.97590361],0
u2,1,0.991357,0.000117,[9 5] ; [29 16],[9.01694915 4.98305085] ; [28.98305085 16.01694915],0
