Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,33.844031,[12 22] ; [84 13],[24.91603053  9.08396947] ; [71.08396947 25.91603053],1
a5,1,0.330091,0.948543,[20 14] ; [66 31],[22.32061069 11.67938931] ; [63.67938931 33.32061069],0
s5,1,0.331439,0.943267,[ 5 28] ; [22 73],[ 6.9609375 26.0390625] ; [20.0390625 74.9609375],0
p6,1,0.400588,0.70656,[ 7 26] ; [14 80],[ 5.45669291 27.54330709] ; [15.54330709 78.45669291],0
p8,1,0.41697,0.65884,[ 9 25] ; [33 64],[10.90076336 23.09923664] ; [31.09923664 65.90076336],0
s4,1,0.442266,0.590395,[ 7 27] ; [14 80],[ 5.578125 28.421875] ; [15.421875 78.578125],0
d1,1,0.471056,0.519499,[19 15] ; [61 36],[20.76335878 13.23664122] ; [59.23664122 37.76335878],0
v1,1,0.480923,0.49677,[10 24] ; [35 62],[11.67938931 22.32061069] ; [33.32061069 63.67938931],0
a3,1,0.657741,0.196279,[21 13] ; [64 33],[22.0610687 11.9389313] ; [62.9389313 34.0610687],0
d3,1,0.657741,0.196279,[21 13] ; [64 33],[22.0610687 11.9389313] ; [62.9389313 34.0610687],0
b1,1,0.681018,0.168982,[21 13] ; [56 41],[19.98473282 14.01526718] ; [57.01526718 39.98473282],0
a6,1,0.739096,0.110923,[21 13] ; [63 34],[21.80152672 12.19847328] ; [62.19847328 34.80152672],0
n2,1,0.739193,0.110837,[8 8] ; [16 13],[8.53333333 7.46666667] ; [15.46666667 13.53333333],0
p5,1,0.756809,0.095898,[ 1 33] ; [ 4 93],[ 1.29770992 32.70229008] ; [ 3.70229008 93.29770992],0
p1,1,0.780867,0.077389,[ 2 32] ; [ 7 89],[ 2.35384615 31.64615385] ; [ 6.64615385 89.35384615],0
u2,1,0.815032,0.054728,[7 6] ; [16 16],[6.64444444 6.35555556] ; [16.35555556 15.64444444],0
a4,1,0.848861,0.036318,[14 19] ; [43 54],[14.46923077 18.53076923] ; [42.53076923 54.46923077],0
p7,1,0.904472,0.014403,[14 20] ; [38 57],[13.70542636 20.29457364] ; [38.29457364 56.70542636],0
d2,1,0.939339,0.005791,[19 14] ; [56 40],[19.18604651 13.81395349] ; [55.81395349 40.18604651],0
p4,1,0.970384,0.001378,[15 19] ; [42 54],[14.90769231 19.09230769] ; [42.09230769 53.90769231],0
v2,1,0.992533,8.8e-05,[15 19] ; [42 53],[15.02325581 18.97674419] ; [41.97674419 53.02325581],0
