Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,61.526308,[221  61] ; [41 70],[188.  94.] ; [74. 37.],1
u2,1,0.430484,0.621518,[40 30] ; [12 13],[38.31578947 31.68421053] ; [13.68421053 11.31578947],0
a4,1,0.439418,0.597802,[143 139] ; [51 59],[139.56122449 142.43877551] ; [54.43877551 55.56122449],0
a1,1,0.462603,0.539588,[ 15 269] ; [  8 103],[ 16.53670886 267.46329114] ; [  6.46329114 104.53670886],0
s4,1,0.465619,0.532353,[ 37 240] ; [18 93],[ 39.26546392 237.73453608] ; [15.73453608 95.26546392],0
s1,1,0.518117,0.41764,[  9 270] ; [  5 104],[ 10.06701031 268.93298969] ; [  3.93298969 105.06701031],0
d4,1,0.525468,0.403149,[239  44] ; [90 20],[236.91348601  46.08651399] ; [92.08651399 17.91348601],0
p9,1,0.52607,0.401977,[248  32] ; [94 15],[246.16966581  33.83033419] ; [95.83033419 13.16966581],0
n1,1,0.526103,0.401914,[21 17] ; [14  8],[22.16666667 15.83333333] ; [12.83333333  9.16666667],0
n3,1,0.58304,0.301346,[30  8] ; [16  6],[29.13333333  8.86666667] ; [16.86666667  5.13333333],0
a3,1,0.725136,0.123625,[213  68] ; [86 25],[214.33418367  66.66581633] ; [84.66581633 26.33418367],0
p7,1,0.802315,0.062676,[193  82] ; [73 33],[191.99475066  83.00524934] ; [74.00524934 31.99475066],0
u4,1,0.808222,0.058913,[  9 275] ; [  3 108],[  8.6278481 275.3721519] ; [  3.3721519 107.6278481],0
p10,1,0.857189,0.032383,[241  40] ; [91 16],[240.44329897  40.55670103] ; [91.55670103 15.44329897],0
n5,1,0.86116,0.030589,[253  30] ; [99 11],[253.47582697  29.52417303] ; [98.52417303 11.47582697],0
v2,1,0.890136,0.019081,[191  86] ; [73 34],[190.4375  86.5625] ; [73.5625 33.4375],0
p11,1,0.891841,0.018489,[237  47] ; [92 19],[236.54683544  47.45316456] ; [92.45316456 18.54683544],0
d2,1,0.916772,0.01092,[149 133] ; [58 53],[148.53435115 133.46564885] ; [58.46564885 52.53435115],0
s6,1,0.931041,0.007488,[198  78] ; [77 31],[197.65625  78.34375] ; [77.34375 30.65625],0
p5,1,0.932572,0.007159,[ 46 236] ; [18 90],[ 46.27692308 235.72307692] ; [17.72307692 90.27692308],0
