Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,2.2e-05,18.035037,[33 32] ; [ 4 36],[22.9047619 42.0952381] ; [14.0952381 25.9047619],1
u1,1,0.120898,2.405643,[ 7 58] ; [ 1 39],[ 4.95238095 60.04761905] ; [ 3.04761905 36.95238095],0
n3,1,0.151494,2.057143,[12  9] ; [12  3],[14.  7.] ; [10.  5.],0
p6,1,0.163668,1.940002,[ 9 53] ; [10 29],[11.66336634 50.33663366] ; [ 7.33663366 31.66336634],0
r2,1,0.179696,1.800135,[56  8] ; [31  9],[53.53846154 10.46153846] ; [33.46153846  6.53846154],0
v3,1,0.183769,1.766879,[19 42] ; [ 7 30],[16.18367347 44.81632653] ; [ 9.81632653 27.18367347],0
s4,1,0.223036,1.484729,[10 55] ; [10 30],[12.38095238 52.61904762] ; [ 7.61904762 32.38095238],0
b3,1,0.257372,1.282837,[14 24] ; [ 5 17],[12.03333333 25.96666667] ; [ 6.96666667 15.03333333],0
b2,1,0.257372,1.282837,[14 24] ; [ 5 17],[12.03333333 25.96666667] ; [ 6.96666667 15.03333333],0
b5,1,0.411981,0.673077,[37 28] ; [26 14],[39. 26.] ; [24. 16.],0
n1,1,0.416817,0.659273,[ 6 16] ; [6 9],[ 7.13513514 14.86486486] ; [ 4.86486486 10.13513514],0
s1,1,0.470662,0.52042,[ 4 61] ; [ 4 36],[ 4.95238095 60.04761905] ; [ 3.04761905 36.95238095],0
u2,1,0.475407,0.509381,[11  6] ; [18  6],[12.02439024  4.97560976] ; [16.97560976  7.02439024],0
s3,1,0.47805,0.503309,[33 32] ; [17 22],[31.25 33.75] ; [18.75 20.25],0
s7,1,0.517808,0.418257,[19 38] ; [10 27],[17.58510638 39.41489362] ; [11.41489362 25.58510638],0
a7,1,0.523973,0.406067,[43 22] ; [24 16],[41.47619048 23.52380952] ; [25.52380952 14.47619048],0
p7,1,0.552084,0.353598,[28 35] ; [15 24],[26.55882353 36.44117647] ; [16.44117647 22.55882353],0
p10,1,0.55625,0.346238,[35 29] ; [19 20],[33.55339806 30.44660194] ; [20.44660194 18.55339806],0
p8,1,0.605582,0.266659,[23 41] ; [16 23],[24.23300971 39.76699029] ; [14.76699029 24.23300971],0
p1,1,0.614165,0.254154,[ 6 58] ; [ 5 35],[ 6.76923077 57.23076923] ; [ 4.23076923 35.76923077],0
p2,1,0.624951,0.238971,[43 21] ; [25 15],[41.84615385 22.15384615] ; [26.15384615 13.84615385],0
u3,1,0.630843,0.23092,[12  4] ; [17  8],[11.31707317  4.68292683] ; [17.68292683  7.31707317],0
s8,1,0.668609,0.183233,[17 48] ; [12 28],[17.95238095 47.04761905] ; [11.04761905 28.95238095],0
v4,1,0.718015,0.130402,[53 11] ; [32  8],[52.30769231 11.69230769] ; [32.69230769  7.30769231],0
s2,1,0.721474,0.127084,[25 40] ; [14 26],[24.14285714 40.85714286] ; [14.85714286 25.14285714],0
a8,1,0.765799,0.08873,[ 1 58] ; [ 1 38],[ 1.20408163 57.79591837] ; [ 0.79591837 38.20408163],0
n2,1,0.822818,0.050141,[14  8] ; [9 6],[13.67567568  8.32432432] ; [9.32432432 5.67567568],0
p9,1,0.88902,0.019473,[37 27] ; [22 17],[36.66019417 27.33980583] ; [22.33980583 16.66019417],0
a1,1,0.928389,0.008077,[ 3 62] ; [ 2 38],[ 3.0952381 61.9047619] ; [ 1.9047619 38.0952381],0
b1,1,0.938974,0.005861,[33 32] ; [20 20],[32.80952381 32.19047619] ; [20.19047619 19.80952381],0
v1,1,0.94961,0.003994,[26 38] ; [16 24],[25.84615385 38.15384615] ; [16.15384615 23.84615385],0
s5,1,0.971064,0.001316,[13 48] ; [ 8 29],[13.07142857 47.92857143] ; [ 7.92857143 29.07142857],0
b4,1,1.0,0.0,[39 26] ; [24 16],[39. 26.] ; [24. 16.],0
