Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,9.6e-05,15.20936,[16  2] ; [13 26],[9.15789474 8.84210526] ; [19.84210526 19.15789474],1
p12,1,0.395483,0.722016,[ 2 16] ; [ 2 38],[ 1.24137931 16.75862069] ; [ 2.75862069 37.24137931],0
a2,1,0.395483,0.722016,[ 2 16] ; [ 2 38],[ 1.24137931 16.75862069] ; [ 2.75862069 37.24137931],0
v4,1,0.403939,0.696569,[12  6] ; [22 18],[10.55172414  7.44827586] ; [23.44827586 16.55172414],0
b3,1,0.445513,0.582042,[4 7] ; [ 6 19],[3.05555556 7.94444444] ; [ 6.94444444 18.05555556],0
b2,1,0.445513,0.582042,[4 7] ; [ 6 19],[3.05555556 7.94444444] ; [ 6.94444444 18.05555556],0
a6,1,0.456722,0.553915,[10  8] ; [18 22],[8.68965517 9.31034483] ; [19.31034483 20.68965517],0
n5,1,0.492843,0.470314,[10  8] ; [26 14],[11.17241379  6.82758621] ; [24.82758621 15.17241379],0
r1,1,0.539792,0.375926,[ 4 14] ; [12 28],[ 4.96551724 13.03448276] ; [11.03448276 28.96551724],0
d5,1,0.541817,0.372182,[11  7] ; [21 19],[9.93103448 8.06896552] ; [22.06896552 17.93103448],0
n3,1,0.551848,0.354016,[4 5] ; [8 6],[4.69565217 4.30434783] ; [7.30434783 6.69565217],0
u1,1,0.555182,0.348115,[ 1 17] ; [ 1 39],[ 0.62068966 17.37931034] ; [ 1.37931034 38.62068966],0
p1,1,0.650323,0.205493,[ 2 16] ; [ 3 37],[ 1.55172414 16.44827586] ; [ 3.44827586 36.55172414],0
a7,1,0.69527,0.153439,[ 8 10] ; [20 20],[8.68965517 9.31034483] ; [19.31034483 20.68965517],0
s3,1,0.701533,0.146882,[ 5 13] ; [ 9 30],[ 4.42105263 13.57894737] ; [ 9.57894737 29.42105263],0
n6,1,0.751,0.100693,[9 8] ; [23 17],[9.54385965 7.45614035] ; [22.45614035 17.54385965],0
n4,1,0.860081,0.031071,[9 9] ; [21 19],[9.31034483 8.68965517] ; [20.68965517 19.31034483],0
s4,1,0.938044,0.006042,[ 3 15] ; [ 7 33],[ 3.10344828 14.89655172] ; [ 6.89655172 33.10344828],0
u2,1,0.959668,0.002557,[1 1] ; [13 14],[0.96551724 1.03448276] ; [13.03448276 13.96551724],0
n1,1,0.964079,0.002028,[2 7] ; [ 3 11],[1.95652174 7.04347826] ; [ 3.04347826 10.95652174],0
r4,1,0.981276,0.000551,[ 4 14] ; [ 9 31],[ 4.03448276 13.96551724] ; [ 8.96551724 31.03448276],0
