Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1e-05,19.555556,[17  1] ; [16 32],[9. 9.] ; [24. 24.],1
a6,1,0.443346,0.587607,[12  6] ; [27 21],[10.63636364  7.36363636] ; [28.36363636 19.63636364],0
p12,1,0.463633,0.537109,[ 1 17] ; [ 1 47],[ 0.54545455 17.45454545] ; [ 1.45454545 46.54545455],0
a8,1,0.477827,0.503818,[ 1 16] ; [ 1 43],[ 0.55737705 16.44262295] ; [ 1.44262295 42.55737705],0
n1,1,0.515305,0.42328,[1 1] ; [ 5 13],[0.6 1.4] ; [ 5.4 12.6],0
s3,1,0.578185,0.309179,[ 8 10] ; [24 22],[9. 9.] ; [23. 23.],0
a3,1,0.58042,0.305556,[10  8] ; [23 25],[9. 9.] ; [24. 24.],0
s6,1,0.590204,0.290026,[13  4] ; [32 14],[12.14285714  4.85714286] ; [32.85714286 13.14285714],0
v2,1,0.607119,0.264392,[9 8] ; [21 25],[8.0952381 8.9047619] ; [21.9047619 24.0952381],0
n3,1,0.639207,0.21978,[1 1] ; [12  6],[1.3 0.7] ; [11.7  6.3],0
n2,1,0.639207,0.21978,[1 1] ; [12  6],[1.3 0.7] ; [11.7  6.3],0
b5,1,0.641092,0.217317,[12  6] ; [29 19],[11.18181818  6.81818182] ; [29.81818182 18.18181818],0
n4,1,0.721937,0.126645,[11  7] ; [27 21],[10.36363636  7.63636364] ; [27.63636364 20.36363636],0
v3,1,0.730003,0.119109,[ 4 13] ; [ 9 37],[ 3.50793651 13.49206349] ; [ 9.49206349 36.50793651],0
a7,1,0.774475,0.082097,[13  4] ; [35 13],[12.55384615  4.44615385] ; [35.44615385 12.55384615],0
s2,1,0.80818,0.05894,[ 7 11] ; [19 26],[ 7.42857143 10.57142857] ; [18.57142857 26.42857143],0
r3,1,0.934965,0.006659,[16  2] ; [43  5],[16.09090909  1.90909091] ; [42.90909091  5.09090909],0
