Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.0,34.534552,[  4 271] ; [12 52],[ 12.97935103 262.02064897] ; [ 3.02064897 60.97935103],1
p2,1,0.52417,0.405681,[218  57] ; [53 11],[219.83775811  55.16224189] ; [51.16224189 12.83775811],0
d3,1,0.565829,0.329711,[202  73] ; [50 15],[203.82352941  71.17647059] ; [48.17647059 16.82352941],0
p11,1,0.59889,0.276674,[208  68] ; [51 14],[209.63049853  66.36950147] ; [49.36950147 15.63049853],0
n3,1,0.617452,0.249465,[53 19] ; [8 4],[52.28571429 19.71428571] ; [8.71428571 3.28571429],0
u3,1,0.623914,0.240405,[55 44] ; [12 12],[53.92682927 45.07317073] ; [13.07317073 10.92682927],0
r3,1,0.629303,0.233007,[258  17] ; [62  3],[258.82352941  16.17647059] ; [61.17647059  3.82352941],0
s1,1,0.633122,0.227852,[  7 265] ; [ 1 63],[  6.47619048 265.52380952] ; [ 1.52380952 62.47619048],0
a2,1,0.715333,0.133008,[ 58 218] ; [15 50],[ 59.08504399 216.91495601] ; [13.91495601 51.08504399],0
b3,1,0.766562,0.088135,[46 95] ; [12 22],[46.73142857 94.26857143] ; [11.26857143 22.73142857],0
b2,1,0.766562,0.088135,[46 95] ; [12 22],[46.73142857 94.26857143] ; [11.26857143 22.73142857],0
n5,1,0.840505,0.040501,[180  93] ; [42 23],[179.30769231  93.69230769] ; [42.69230769 22.30769231],0
b4,1,0.931731,0.007339,[164 112] ; [39 26],[164.30498534 111.69501466] ; [38.69501466 26.30498534],0
d5,1,0.94818,0.004224,[226  50] ; [53 12],[225.81818182  50.18181818] ; [53.18181818 11.81818182],0
a3,1,0.948797,0.004124,[174 100] ; [41 24],[173.77581121 100.22418879] ; [41.22418879 23.77581121],0
