Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,4.5e-05,16.663562,[300  11] ; [49 10],[293.34864865  17.65135135] ; [55.65135135  3.34864865],1
b5,1,0.120436,2.411648,[195 118] ; [43 16],[200.25268817 112.74731183] ; [37.74731183 21.25268817],0
a5,1,0.145121,2.122796,[216  97] ; [35 24],[211.19086022 101.80913978] ; [39.80913978 19.19086022],0
p1,1,0.208147,1.584271,[ 25 286] ; [ 2 57],[ 22.69459459 288.30540541] ; [ 4.30540541 54.69459459],0
u1,1,0.210662,1.566871,[ 39 274] ; [ 4 55],[ 36.18010753 276.81989247] ; [ 6.81989247 52.18010753],0
p7,1,0.220119,1.503597,[179 126] ; [29 29],[174.76584022 130.23415978] ; [33.23415978 24.76584022],0
b4,1,0.223229,1.483494,[191 122] ; [31 28],[186.79032258 126.20967742] ; [35.20967742 23.79032258],0
d5,1,0.224646,1.474445,[249  64] ; [42 16],[245.50673854  67.49326146] ; [45.49326146 12.50673854],0
s1,1,0.247624,1.336659,[  4 303] ; [ 2 57],[  5.03278689 301.96721311] ; [ 0.96721311 58.03278689],0
s4,1,0.258334,1.277661,[ 40 266] ; [11 48],[ 42.75616438 263.24383562] ; [ 8.24383562 50.75616438],0
n2,1,0.272411,1.204565,[52 15] ; [11  6],[50.25 16.75] ; [12.75  4.25],0
a3,1,0.279997,1.167107,[194 119] ; [31 26],[190.33783784 122.66216216] ; [34.66216216 22.33783784],0
d2,1,0.293039,1.105606,[120 192] ; [27 32],[123.62264151 188.37735849] ; [23.37735849 35.62264151],0
b1,1,0.340116,0.909996,[102 211] ; [23 36],[105.17473118 207.82526882] ; [19.82526882 39.17473118],0
u3,1,0.344702,0.892864,[62 56] ; [11 15],[59.81944444 58.18055556] ; [13.18055556 12.81944444],0
d3,1,0.350928,0.870098,[212 101] ; [35 22],[208.94864865 104.05135135] ; [38.05135135 18.94864865],0
a7,1,0.363572,0.825517,[233  79] ; [40 18],[230.20540541  81.79459459] ; [42.79459459 15.20540541],0
a1,1,0.375571,0.78515,[ 13 300] ; [ 4 55],[ 14.30376344 298.69623656] ; [ 2.69623656 56.30376344],0
s6,1,0.411776,0.673666,[162 142] ; [28 31],[159.1184573 144.8815427] ; [30.8815427 28.1184573],0
d1,1,0.466013,0.531414,[170 143] ; [29 30],[167.43817204 145.56182796] ; [31.56182796 27.43817204],0
b2,1,0.532745,0.389154,[ 59 113] ; [ 7 18],[ 57.62436548 114.37563452] ; [ 8.37563452 16.62436548],0
b3,1,0.532745,0.389154,[ 59 113] ; [ 7 18],[ 57.62436548 114.37563452] ; [ 8.37563452 16.62436548],0
a8,1,0.555851,0.346939,[ 34 253] ; [ 5 50],[ 32.72807018 254.27192982] ; [ 6.27192982 48.72807018],0
n3,1,0.563821,0.333131,[50 16] ; [14  3],[50.89156627 15.10843373] ; [13.10843373  3.89156627],0
s3,1,0.602015,0.271967,[118 189] ; [24 33],[119.76373626 187.23626374] ; [22.23626374 34.76373626],0
a2,1,0.65546,0.199086,[ 56 257] ; [12 47],[ 57.21505376 255.78494624] ; [10.78494624 48.21505376],0
s2,1,0.683097,0.16666,[ 91 217] ; [19 40],[ 92.31607629 215.68392371] ; [17.68392371 41.31607629],0
s5,1,0.716148,0.132213,[ 71 229] ; [12 44],[ 69.94382022 230.05617978] ; [13.05617978 42.94382022],0
r2,1,0.761816,0.091868,[285  23] ; [53  5],[284.43715847  23.56284153] ; [53.56284153  4.43715847],0
p5,1,0.771465,0.084366,[ 25 287] ; [ 4 54],[ 24.45405405 287.54594595] ; [ 4.54594595 53.45405405],0
v3,1,0.868307,0.027493,[ 94 203] ; [19 39],[ 94.53802817 202.46197183] ; [18.46197183 39.53802817],0
n1,1,0.903176,0.014799,[22 45] ; [ 5 11],[21.79518072 45.20481928] ; [ 5.20481928 10.79518072],0
d4,1,0.970415,0.001375,[250  63] ; [47 12],[249.89516129  63.10483871] ; [47.10483871 11.89516129],0
a4,1,0.981265,0.000551,[129 184] ; [24 34],[129.08086253 183.91913747] ; [23.91913747 34.08086253],0
