Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,9.6e-05,15.214341,[11 13] ; [67 12],[18.17475728  5.82524272] ; [59.82524272 19.17475728],1
p7,1,0.364764,0.821425,[ 9 15] ; [37 40],[10.93069307 13.06930693] ; [35.06930693 41.93069307],0
p6,1,0.364837,0.821173,[ 3 21] ; [16 61],[ 4.51485149 19.48514851] ; [14.48514851 62.51485149],0
a8,1,0.426493,0.632355,[ 4 18] ; [ 8 61],[ 2.9010989 19.0989011] ; [ 9.0989011 59.9010989],0
a3,1,0.442148,0.590701,[15  8] ; [45 35],[13.39805825  9.60194175] ; [46.60194175 33.39805825],0
b4,1,0.463744,0.536843,[13 11] ; [50 30],[14.53846154  9.46153846] ; [48.46153846 31.53846154],0
a2,1,0.477802,0.503876,[ 3 21] ; [15 65],[ 4.15384615 19.84615385] ; [13.84615385 66.15384615],0
n3,1,0.477897,0.503658,[6 7] ; [14 10],[7.02702703 5.97297297] ; [12.97297297 11.02702703],0
d3,1,0.516444,0.42099,[12 12] ; [46 34],[13.38461538 10.61538462] ; [44.61538462 35.38461538],0
b1,1,0.516444,0.42099,[12 12] ; [46 34],[13.38461538 10.61538462] ; [44.61538462 35.38461538],0
a4,1,0.529811,0.394755,[10 14] ; [27 51],[ 8.70588235 15.29411765] ; [28.29411765 49.70588235],0
d2,1,0.545042,0.366275,[14 10] ; [40 38],[12.70588235 11.29411765] ; [41.29411765 36.70588235],0
s1,1,0.587763,0.293851,[ 1 22] ; [ 6 73],[ 1.57843137 21.42156863] ; [ 5.42156863 73.57843137],0
p1,1,0.683649,0.166048,[ 2 22] ; [ 9 71],[ 2.53846154 21.46153846] ; [ 8.46153846 71.53846154],0
a5,1,0.690182,0.158889,[13 11] ; [47 33],[13.84615385 10.15384615] ; [46.15384615 33.84615385],0
n1,1,0.713146,0.135154,[6 6] ; [10 13],[5.48571429 6.51428571] ; [10.51428571 12.48571429],0
s5,1,0.741305,0.108983,[ 4 19] ; [16 62],[ 4.55445545 18.44554455] ; [15.44554455 62.55445545],0
v2,1,0.748923,0.102438,[ 8 15] ; [30 48],[ 8.65346535 14.34653465] ; [29.34653465 48.65346535],0
s3,1,0.785725,0.073911,[12 12] ; [37 42],[11.41747573 12.58252427] ; [37.58252427 41.41747573],0
u2,1,0.956962,0.002912,[4 5] ; [15 18],[4.07142857 4.92857143] ; [14.92857143 18.07142857],0
