Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1.8e-05,18.415179,[29 83] ; [15  5],[37.33333333 74.66666667] ; [ 6.66666667 13.33333333],1
a4,1,0.365693,0.818249,[46 67] ; [ 6 14],[44.18045113 68.81954887] ; [ 7.81954887 12.18045113],0
v1,1,0.398871,0.711727,[41 72] ; [ 5 14],[39.37878788 73.62121212] ; [ 6.62121212 12.37878788],0
a7,1,0.441107,0.5934,[63 50] ; [13  7],[64.57142857 48.42857143] ; [11.42857143  8.57142857],0
r2,1,0.485456,0.486582,[94 18] ; [18  2],[95.03030303 16.96969697] ; [16.96969697  3.03030303],0
v2,1,0.509509,0.435076,[36 75] ; [ 8 12],[37.28244275 73.71755725] ; [ 6.71755725 13.28244275],0
n6,1,0.531357,0.391795,[65 48] ; [13  7],[66.27067669 46.72932331] ; [11.72932331  8.27067669],0
u2,1,0.567802,0.326374,[22 22] ; [4 6],[21.18518519 22.81481481] ; [4.81481481 5.18518519],0
a2,1,0.600723,0.273906,[23 92] ; [ 3 17],[22.14814815 92.85185185] ; [ 3.85185185 16.14814815],0
d4,1,0.61975,0.246219,[79 33] ; [13  7],[78.06060606 33.93939394] ; [13.93939394  6.06060606],0
s7,1,0.63409,0.226555,[24 82] ; [ 5 13],[24.79032258 81.20967742] ; [ 4.20967742 13.79032258],0
s4,1,0.695515,0.153179,[15 99] ; [ 2 18],[14.46268657 99.53731343] ; [ 2.53731343 17.46268657],0
r1,1,0.750575,0.101048,[75 38] ; [14  6],[75.61654135 37.38345865] ; [13.38345865  6.61654135],0
b1,1,0.760143,0.093204,[56 59] ; [ 9 11],[55.37037037 59.62962963] ; [ 9.62962963 10.37037037],0
p9,1,0.820559,0.05145,[35 73] ; [ 7 13],[35.4375 72.5625] ; [ 6.5625 13.4375],0
a1,1,0.84995,0.03579,[ 10 105] ; [ 2 18],[ 10.22222222 104.77777778] ; [ 1.77777778 18.22222222],0
n4,1,0.853009,0.034329,[71 42] ; [13  7],[71.36842105 41.63157895] ; [12.63157895  7.36842105],0
s8,1,0.921109,0.009808,[17 97] ; [ 3 16],[17.14285714 96.85714286] ; [ 2.85714286 16.14285714],0
v3,1,0.946595,0.004487,[26 81] ; [ 5 15],[26.11811024 80.88188976] ; [ 4.88188976 15.11811024],0
p1,1,0.954403,0.003269,[  6 107] ; [ 1 19],[  5.94736842 107.05263158] ; [ 1.05263158 18.94736842],0
s1,1,0.958971,0.002647,[  6 108] ; [ 1 17],[  6.04545455 107.95454545] ; [ 0.95454545 17.04545455],0
n5,1,0.991226,0.000121,[62 51] ; [11  9],[62.02255639 50.97744361] ; [10.97744361  9.02255639],0
s6,1,1.0,0.0,[42 72] ; [ 7 12],[42. 72.] ; [ 7. 12.],0
