Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1.1e-05,19.346694,[19 20] ; [10 72],[ 9.34710744 29.65289256] ; [19.65289256 62.34710744],1
p11,1,0.458784,0.548859,[23 16] ; [43 40],[21.09836066 17.90163934] ; [44.90163934 38.09836066],0
a8,1,0.493633,0.468598,[ 5 28] ; [ 8 68],[ 3.93577982 29.06422018] ; [ 9.06422018 66.93577982],0
r2,1,0.504258,0.445964,[37  2] ; [75  7],[36.09917355  2.90082645] ; [75.90082645  6.09917355],0
p7,1,0.532889,0.388879,[19 19] ; [36 46],[17.41666667 20.58333333] ; [37.58333333 44.41666667],0
u3,1,0.591431,0.288115,[9 5] ; [19 15],[8.16666667 5.83333333] ; [19.83333333 14.16666667],0
b2,1,0.621051,0.244394,[10 21] ; [13 35],[ 9.02531646 21.97468354] ; [13.97468354 34.02531646],0
b3,1,0.621051,0.244394,[10 21] ; [13 35],[ 9.02531646 21.97468354] ; [13.97468354 34.02531646],0
a3,1,0.64662,0.210188,[25 14] ; [49 33],[23.85123967 15.14876033] ; [50.14876033 31.85123967],0
p3,1,0.652779,0.202414,[13 25] ; [25 58],[11.9338843 26.0661157] ; [26.0661157 56.9338843],0
r4,1,0.679751,0.170407,[34  5] ; [70 13],[33.24590164  5.75409836] ; [70.75409836 12.24590164],0
n2,1,0.698035,0.150524,[7 4] ; [21  9],[7.51219512 3.48780488] ; [20.48780488  9.51219512],0
b1,1,0.71199,0.136297,[23 16] ; [46 37],[22.05737705 16.94262295] ; [46.94262295 36.05737705],0
a4,1,0.740766,0.109455,[15 24] ; [29 53],[14.18181818 24.81818182] ; [29.81818182 52.18181818],0
s1,1,0.741443,0.108863,[ 3 36] ; [ 5 77],[ 2.5785124 36.4214876] ; [ 5.4214876 76.5785124],0
p1,1,0.743066,0.10745,[ 4 35] ; [ 7 76],[ 3.51639344 35.48360656] ; [ 7.48360656 75.51639344],0
a2,1,0.747903,0.103302,[ 8 31] ; [15 68],[ 7.35245902 31.64754098] ; [15.64754098 67.35245902],0
b5,1,0.806803,0.059806,[23 16] ; [47 36],[22.37704918 16.62295082] ; [47.62295082 35.37704918],0
v4,1,0.808074,0.059006,[34  4] ; [73 10],[33.60330579  4.39669421] ; [73.39669421  9.60330579],0
b4,1,0.824474,0.049193,[26 13] ; [57 26],[26.53278689 12.46721311] ; [56.46721311 26.53278689],0
a5,1,0.876815,0.024028,[25 14] ; [52 31],[24.6147541 14.3852459] ; [52.3852459 30.6147541],0
a6,1,0.894125,0.017712,[23 16] ; [50 33],[23.33606557 15.66393443] ; [49.66393443 33.33606557],0
d2,1,0.905227,0.014176,[19 20] ; [39 43],[18.69421488 20.30578512] ; [39.30578512 42.69421488],0
a7,1,0.929634,0.007798,[26 13] ; [54 28],[25.78512397 13.21487603] ; [54.21487603 27.78512397],0
