Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.020713,5.350791,[17 10] ; [ 5 13],[13.2 13.8] ; [8.8 9.2],0
a4,1,0.584449,0.299097,[13 40] ; [ 6 25],[11.98809524 41.01190476] ; [ 7.01190476 23.98809524],0
n6,1,0.585307,0.297734,[31 22] ; [20 11],[32.17857143 20.82142857] ; [18.82142857 12.17857143],0
n3,1,0.591465,0.288062,[10 10] ; [10  7],[10.81081081  9.18918919] ; [9.18918919 7.81081081],0
s1,1,0.613138,0.25563,[ 3 50] ; [ 1 30],[ 2.52380952 50.47619048] ; [ 1.47619048 29.52380952],0
r2,1,0.650513,0.205254,[40 13] ; [22  9],[39.11904762 13.88095238] ; [22.88095238  8.11904762],0
n1,1,0.677392,0.173077,[ 5 15] ; [ 5 11],[ 5.55555556 14.44444444] ; [ 4.44444444 11.55555556],0
s8,1,0.742428,0.108004,[12 41] ; [ 8 23],[12.61904762 40.38095238] ; [ 7.38095238 23.61904762],0
n2,1,0.768651,0.086518,[12  8] ; [11  6],[12.43243243  7.56756757] ; [10.56756757  6.43243243],0
b3,1,0.825709,0.048491,[10 19] ; [ 5 11],[ 9.66666667 19.33333333] ; [ 5.33333333 10.66666667],0
b2,1,0.825709,0.048491,[10 19] ; [ 5 11],[ 9.66666667 19.33333333] ; [ 5.33333333 10.66666667],0
b5,1,0.834923,0.043427,[32 21] ; [18 13],[31.54761905 21.45238095] ; [18.45238095 12.54761905],0
p2,1,0.843196,0.039128,[33 19] ; [19 12],[32.57831325 19.42168675] ; [19.42168675 11.57831325],0
a8,1,0.85768,0.032159,[ 2 48] ; [ 1 30],[ 1.85185185 48.14814815] ; [ 1.14814815 29.85185185],0
v2,1,0.872952,0.025571,[15 38] ; [ 8 22],[14.68674699 38.31325301] ; [ 8.31325301 21.68674699],0
a2,1,0.882422,0.021874,[ 3 50] ; [ 2 29],[ 3.1547619 49.8452381] ; [ 1.8452381 29.1547619],0
u1,1,0.896135,0.017042,[ 2 51] ; [ 1 30],[ 1.89285714 51.10714286] ; [ 1.10714286 29.89285714],0
b1,1,0.914159,0.01162,[25 28] ; [15 16],[25.23809524 27.76190476] ; [14.76190476 16.23809524],0
p4,1,0.934111,0.006835,[21 32] ; [12 19],[20.82142857 32.17857143] ; [12.17857143 18.82142857],0
s6,1,0.934247,0.006807,[23 29] ; [14 17],[23.18072289 28.81927711] ; [13.81927711 17.18072289],0
s7,1,0.938912,0.005873,[14 37] ; [ 8 22],[13.85185185 37.14814815] ; [ 8.14814815 21.85185185],0
r4,1,0.952764,0.003509,[26 27] ; [15 16],[25.86904762 27.13095238] ; [15.13095238 15.86904762],0
p3,1,0.967416,0.001669,[17 35] ; [10 21],[16.91566265 35.08433735] ; [10.08433735 20.91566265],0
