Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,112.445927,[257   4] ; [70 52],[222.8381201  38.1618799] ; [104.1618799  17.8381201],1
v3,1,0.090582,2.864001,[125 122] ; [49 70],[117.42622951 129.57377049] ; [56.57377049 62.42622951],0
u4,1,0.090793,2.860261,[ 14 248] ; [  2 120],[ 10.91666667 251.08333333] ; [  5.08333333 116.91666667],0
s2,1,0.119181,2.428051,[196  64] ; [82 39],[189.71128609  70.28871391] ; [88.28871391 32.71128609],0
a8,1,0.145071,2.123328,[ 35 201] ; [24 90],[ 39.78285714 196.21714286] ; [19.21714286 94.78285714],0
n3,1,0.157278,2.000204,[36 20] ; [20  5],[38.71604938 17.28395062] ; [17.28395062  7.71604938],0
a1,1,0.158547,1.988029,[ 18 244] ; [  4 118],[ 15.01041667 246.98958333] ; [  6.98958333 115.01041667],0
r3,1,0.1682,1.89891,[256   6] ; [116   6],[253.8125   8.1875] ; [118.1875   3.8125],0
s4,1,0.171213,1.872289,[ 56 204] ; [ 19 103],[ 51.04712042 208.95287958] ; [23.95287958 98.04712042],0
p10,1,0.183935,1.765541,[229  30] ; [101  20],[224.92105263  34.07894737] ; [105.07894737  15.92105263],0
n5,1,0.196935,1.664959,[214  45] ; [94 28],[209.37532808  49.62467192] ; [98.62467192 23.37532808],0
u2,1,0.219187,1.509683,[31 13] ; [20 15],[28.40506329 15.59493671] ; [22.59493671 12.40506329],0
b5,1,0.227489,1.45649,[163  99] ; [68 54],[157.609375 104.390625] ; [73.390625 48.609375],0
p12,1,0.236087,1.403811,[ 32 227] ; [ 10 111],[ 28.62631579 230.37368421] ; [ 13.37368421 107.62631579],0
p6,1,0.236679,1.400268,[126 133] ; [51 70],[120.63947368 138.36052632] ; [56.36052632 64.63947368],0
b4,1,0.277999,1.176845,[155 107] ; [65 57],[150.10416667 111.89583333] ; [69.89583333 52.10416667],0
n2,1,0.289979,1.119718,[39 17] ; [21  5],[40.97560976 15.02439024] ; [19.02439024  6.97560976],0
r1,1,0.291875,1.11095,[228  33] ; [100  20],[224.69291339  36.30708661] ; [103.30708661  16.69291339],0
v4,1,0.336257,0.924651,[258   3] ; [119   3],[256.91122715   4.08877285] ; [120.08877285   1.91122715],0
s3,1,0.350774,0.870656,[197  61] ; [87 34],[193.3298153  64.6701847] ; [90.6701847 30.3298153],0
n6,1,0.3781,0.776869,[231  28] ; [105  17],[228.40944882  30.59055118] ; [107.59055118  14.40944882],0
u3,1,0.412618,0.671243,[33 11] ; [24 12],[31.35 12.65] ; [25.65 10.35],0
p11,1,0.548193,0.360564,[213  49] ; [96 26],[210.828125  51.171875] ; [98.171875 23.828125],0
p1,1,0.549758,0.35775,[ 25 236] ; [ 14 107],[ 26.64659686 234.35340314] ; [ 12.35340314 108.64659686],0
p2,1,0.603633,0.269552,[222  40] ; [100  21],[220.27154047  41.72845953] ; [101.72845953  19.27154047],0
v2,1,0.609642,0.260697,[158  95] ; [68 46],[155.79836512  97.20163488] ; [70.20163488 43.79836512],0
s1,1,0.611893,0.257428,[  8 249] ; [  5 116],[  8.83862434 248.16137566] ; [  4.16137566 116.83862434],0
n1,1,0.672555,0.178628,[27 28] ; [11 14],[26.125 28.875] ; [11.875 13.125],0
v1,1,0.689549,0.159574,[160  92] ; [73 46],[158.26415094  93.73584906] ; [74.73584906 44.26415094],0
s7,1,0.740449,0.109732,[193  58] ; [91 25],[194.23433243  56.76566757] ; [89.76566757 26.23433243],0
r4,1,0.793369,0.068612,[252  10] ; [118   4],[252.44791667   9.55208333] ; [117.55208333   4.44791667],0
p5,1,0.799341,0.064618,[ 41 217] ; [ 18 103],[ 40.16358839 217.83641161] ; [ 18.83641161 102.16358839],0
b1,1,0.858213,0.031916,[107 155] ; [51 71],[107.80208333 154.19791667] ; [50.19791667 71.80208333],0
s6,1,0.862506,0.029993,[217  40] ; [103  18],[217.56613757  39.43386243] ; [102.43386243  18.56613757],0
b2,1,0.875002,0.024746,[ 82 104] ; [34 45],[ 81.41886792 104.58113208] ; [34.58113208 44.41886792],0
b3,1,0.875002,0.024746,[ 82 104] ; [34 45],[ 81.41886792 104.58113208] ; [34.58113208 44.41886792],0
p7,1,0.975112,0.000973,[176  76] ; [84 36],[176.12903226  75.87096774] ; [83.87096774 36.12903226],0
