Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,43.226496,[69 35] ; [ 1 35],[52. 52.] ; [18. 18.],1
r1,1,0.133529,2.250994,[74 29] ; [21 15],[70.39568345 32.60431655] ; [24.60431655 11.39568345],0
a6,1,0.139665,2.181646,[61 43] ; [16 20],[57.2 46.8] ; [19.8 16.2],0
s8,1,0.165469,1.923525,[33 69] ; [ 7 28],[29.7810219 72.2189781] ; [10.2189781 24.7810219],0
n5,1,0.210782,1.566048,[63 41] ; [26 10],[66.11428571 37.88571429] ; [22.88571429 13.11428571],0
p7,1,0.228203,1.452028,[42 60] ; [19 17],[45.08695652 56.91304348] ; [15.91304348 20.08695652],0
u2,1,0.235053,1.410019,[15 20] ; [ 6 16],[12.89473684 22.10526316] ; [ 8.10526316 13.89473684],0
s5,1,0.236392,1.401983,[23 76] ; [ 5 31],[20.53333333 78.46666667] ; [ 7.46666667 28.53333333],0
a8,1,0.242807,1.36422,[10 83] ; [ 6 26],[11.904 81.096] ; [ 4.096 27.904],0
s1,1,0.268843,1.222639,[  4 100] ; [ 3 32],[ 5.23741007 98.76258993] ; [ 1.76258993 33.23741007],0
p4,1,0.320851,0.985476,[47 56] ; [13 23],[44.46043165 58.53956835] ; [15.53956835 20.46043165],0
v1,1,0.334898,0.929865,[40 61] ; [11 25],[37.59854015 63.40145985] ; [13.40145985 22.59854015],0
a1,1,0.378483,0.775625,[ 7 97] ; [ 1 35],[ 5.94285714 98.05714286] ; [ 2.05714286 33.94285714],0
v3,1,0.391243,0.735076,[33 68] ; [ 9 27],[30.96350365 70.03649635] ; [11.03649635 24.96350365],0
p2,1,0.395555,0.721798,[64 40] ; [25 11],[66.11428571 37.88571429] ; [22.88571429 13.11428571],0
s4,1,0.424654,0.637399,[14 87] ; [ 7 29],[15.48175182 85.51824818] ; [ 5.51824818 30.48175182],0
n2,1,0.526599,0.40095,[25 12] ; [10  3],[25.9 11.1] ; [9.1 3.9],0
n1,1,0.532375,0.389857,[15 22] ; [4 9],[14.06 22.94] ; [4.94 8.06],0
n4,1,0.584063,0.299712,[70 34] ; [26 10],[71.31428571 32.68571429] ; [24.68571429 11.31428571],0
p9,1,0.637831,0.22159,[38 60] ; [12 23],[36.84210526 61.15789474] ; [13.15789474 21.84210526],0
b5,1,0.656624,0.197651,[68 36] ; [25 11],[69.08571429 34.91428571] ; [23.91428571 12.08571429],0
v4,1,0.661506,0.191699,[95  9] ; [32  4],[94.34285714  9.65714286] ; [32.65714286  3.34285714],0
p8,1,0.677661,0.172771,[36 66] ; [11 24],[34.99270073 67.00729927] ; [12.00729927 22.99270073],0
s3,1,0.690019,0.159064,[44 58] ; [16 18],[45. 57.] ; [15. 19.],0
b1,1,0.781815,0.076704,[49 55] ; [16 20],[48.28571429 55.71428571] ; [16.71428571 19.28571429],0
b4,1,0.812787,0.05609,[63 41] ; [21 15],[62.4 41.6] ; [21.6 14.4],0
p6,1,0.818015,0.052946,[28 73] ; [ 9 26],[27.47794118 73.52205882] ; [ 9.52205882 25.47794118],0
p11,1,0.833103,0.044404,[57 47] ; [19 17],[56.45714286 47.54285714] ; [19.54285714 16.45714286],0
r4,1,0.89289,0.01813,[82 22] ; [28  8],[81.71428571 22.28571429] ; [28.28571429  7.71428571],0
p1,1,0.952309,0.003577,[ 6 97] ; [ 2 34],[ 5.92805755 97.07194245] ; [ 2.07194245 33.92805755],0
