Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,4.6e-05,16.594286,[19 16] ; [ 1 24],[11.66666667 23.33333333] ; [ 8.33333333 16.66666667],1
p4,1,0.411813,0.673561,[13 21] ; [ 7 18],[11.52542373 22.47457627] ; [ 8.47457627 16.52542373],0
p9,1,0.461232,0.542903,[20 15] ; [16  8],[21.3559322 13.6440678] ; [14.6440678  9.3559322],0
b3,1,0.495628,0.464286,[ 8 13] ; [ 5 13],[ 7. 14.] ; [ 6. 12.],0
b2,1,0.495628,0.464286,[ 8 13] ; [ 5 13],[ 7. 14.] ; [ 6. 12.],0
n4,1,0.510569,0.4329,[17 18] ; [10 15],[15.75 19.25] ; [11.25 13.75],0
v3,1,0.519622,0.414644,[ 6 27] ; [ 3 22],[ 5.12068966 27.87931034] ; [ 3.87931034 21.12068966],0
p3,1,0.521532,0.410862,[ 9 24] ; [ 5 20],[ 7.96551724 25.03448276] ; [ 6.03448276 18.96551724],0
s6,1,0.526103,0.401914,[14 21] ; [ 8 17],[12.83333333 22.16666667] ; [ 9.16666667 15.83333333],0
s3,1,0.589428,0.291238,[16 18] ; [10 15],[14.98305085 19.01694915] ; [11.01694915 13.98305085],0
v1,1,0.729159,0.119885,[12 21] ; [ 8 17],[11.37931034 21.62068966] ; [ 8.62068966 16.37931034],0
p10,1,0.754465,0.097817,[17 17] ; [11 13],[16.4137931 17.5862069] ; [11.5862069 12.4137931],0
p8,1,0.761997,0.091724,[ 8 25] ; [ 5 19],[ 7.52631579 25.47368421] ; [ 5.47368421 18.52631579],0
p5,1,0.790384,0.070656,[ 2 33] ; [ 1 23],[ 1.77966102 33.22033898] ; [ 1.22033898 22.77966102],0
a1,1,0.797351,0.065934,[ 5 30] ; [ 3 22],[ 4.66666667 30.33333333] ; [ 3.33333333 21.66666667],0
p7,1,0.866973,0.028058,[16 19] ; [10 13],[15.68965517 19.31034483] ; [10.31034483 12.68965517],0
n2,1,0.898768,0.016184,[9 5] ; [8 4],[9.15384615 4.84615385] ; [7.84615385 4.15384615],0
a8,1,0.910636,0.012597,[ 3 31] ; [ 2 23],[ 2.88135593 31.11864407] ; [ 2.11864407 22.88135593],0
s4,1,0.917814,0.010648,[ 8 27] ; [ 6 19],[ 8.16666667 26.83333333] ; [ 5.83333333 19.16666667],0
n1,1,1.0,0.0,[6 6] ; [6 6],[6. 6.] ; [6. 6.],0
