Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.6e-05,18.578395,[ 3 11] ; [49 12],[9.70666667 4.29333333] ; [42.29333333 18.70666667],1
v1,1,0.294755,1.097775,[ 3 11] ; [22 39],[4.66666667 9.33333333] ; [20.33333333 40.66666667],0
d5,1,0.307609,1.040916,[5 9] ; [31 30],[6.72 7.28] ; [29.28 31.72],0
u3,1,0.346073,0.887803,[4 6] ; [21 16],[5.31914894 4.68085106] ; [19.68085106 17.31914894],0
b2,1,0.404516,0.694862,[2 9] ; [10 22],[3.06976744 7.93023256] ; [ 8.93023256 23.06976744],0
b3,1,0.404516,0.694862,[2 9] ; [10 22],[3.06976744 7.93023256] ; [ 8.93023256 23.06976744],0
a3,1,0.427228,0.630346,[ 4 10] ; [24 36],[5.2972973 8.7027027] ; [22.7027027 37.2972973],0
a4,1,0.443267,0.58781,[ 3 11] ; [ 8 52],[ 2.08108108 11.91891892] ; [ 8.91891892 51.08108108],0
n5,1,0.457869,0.5511,[9 5] ; [32 28],[7.75675676 6.24324324] ; [33.24324324 26.75675676],0
n6,1,0.47521,0.509836,[8 6] ; [41 20],[9.14666667 4.85333333] ; [39.85333333 21.14666667],0
p3,1,0.47538,0.509442,[ 2 12] ; [14 47],[ 2.98666667 11.01333333] ; [13.01333333 47.98666667],0
s8,1,0.47538,0.509442,[ 2 12] ; [14 47],[ 2.98666667 11.01333333] ; [13.01333333 47.98666667],0
p10,1,0.484578,0.488542,[5 8] ; [29 30],[6.13888889 6.86111111] ; [27.86111111 31.13888889],0
p12,1,0.515186,0.423519,[ 1 13] ; [ 2 58],[ 0.56756757 13.43243243] ; [ 2.43243243 57.56756757],0
b5,1,0.520817,0.412276,[10  4] ; [38 23],[8.96 5.04] ; [39.04 21.96],0
n2,1,0.524471,0.405093,[2 2] ; [14  7],[2.56 1.44] ; [13.44  7.56],0
n4,1,0.559761,0.340119,[9 5] ; [34 27],[8.02666667 5.97333333] ; [34.97333333 26.02666667],0
p4,1,0.580248,0.305833,[ 4 10] ; [13 47],[ 3.21621622 10.78378378] ; [13.78378378 46.21621622],0
p7,1,0.590167,0.290083,[ 4 10] ; [21 37],[4.86111111 9.13888889] ; [20.13888889 37.86111111],0
s3,1,0.633222,0.227717,[6 7] ; [23 36],[5.23611111 7.76388889] ; [23.76388889 35.23611111],0
b4,1,0.635914,0.224126,[9 5] ; [35 26],[8.21333333 5.78666667] ; [35.78666667 25.21333333],0
p8,1,0.640874,0.217601,[ 2 12] ; [12 49],[ 2.61333333 11.38666667] ; [11.38666667 49.61333333],0
n3,1,0.656005,0.198413,[2 2] ; [13  8],[2.4 1.6] ; [12.6  8.4],0
v2,1,0.680076,0.17004,[4 9] ; [21 36],[4.64285714 8.35714286] ; [20.35714286 36.64285714],0
s5,1,0.707161,0.141129,[ 2 12] ; [ 6 50],[ 1.6 12.4] ; [ 6.4 49.6],0
s4,1,0.768694,0.086485,[ 3 11] ; [11 50],[ 2.61333333 11.38666667] ; [11.38666667 49.61333333],0
d4,1,0.801406,0.063266,[9 5] ; [37 24],[8.58666667 5.41333333] ; [37.41333333 23.58666667],0
d2,1,0.85817,0.031935,[ 4 10] ; [16 45],[ 3.73333333 10.26666667] ; [16.26666667 44.73333333],0
s2,1,0.865321,0.028766,[5 9] ; [20 40],[4.72972973 9.27027027] ; [20.27027027 39.72972973],0
s6,1,0.884518,0.021096,[6 8] ; [27 33],[6.24324324 7.75675676] ; [26.75675676 33.24324324],0
n1,1,0.930388,0.007631,[2 2] ; [10 11],[1.92 2.08] ; [10.08 10.92],0
s1,1,0.943346,0.00505,[ 2 12] ; [ 8 51],[ 1.91780822 12.08219178] ; [ 8.08219178 50.91780822],0
