Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,3.2e-05,17.29886,[ 9 32] ; [22  9],[17.65277778 23.34722222] ; [13.34722222 17.65277778],1
a1,1,0.448909,0.573406,[ 3 39] ; [ 1 31],[ 2.27027027 39.72972973] ; [ 1.72972973 30.27027027],0
p8,1,0.472192,0.516842,[17 25] ; [10 21],[15.53424658 26.46575342] ; [11.46575342 19.53424658],0
p4,1,0.500739,0.45337,[16 25] ; [15 17],[17.4109589 23.5890411] ; [13.5890411 18.4109589],0
n1,1,0.515339,0.423212,[ 8 11] ; [4 9],[ 7.125 11.875] ; [4.875 8.125],0
p3,1,0.529729,0.394911,[12 30] ; [11 20],[13.23287671 28.76712329] ; [ 9.76712329 21.23287671],0
p5,1,0.553874,0.350422,[ 6 36] ; [ 3 28],[ 5.17808219 36.82191781] ; [ 3.82191781 27.17808219],0
a3,1,0.591867,0.287438,[25 17] ; [21 11],[26.10810811 15.89189189] ; [19.89189189 12.10810811],0
n2,1,0.59933,0.276008,[13  6] ; [10  3],[13.65625  5.34375] ; [9.34375 3.65625],0
v1,1,0.644725,0.212615,[15 26] ; [13 18],[15.94444444 25.05555556] ; [12.05555556 18.94444444],0
r2,1,0.662747,0.190204,[27 14] ; [17 11],[26.14492754 14.85507246] ; [17.85507246 10.14492754],0
d1,1,0.666089,0.186211,[15 27] ; [13 19],[15.89189189 26.10810811] ; [12.10810811 19.89189189],0
a7,1,0.740747,0.109471,[22 20] ; [18 14],[22.7027027 19.2972973] ; [17.2972973 14.7027027],0
d2,1,0.741892,0.10847,[16 26] ; [11 21],[15.32432432 26.67567568] ; [11.67567568 20.32432432],0
a4,1,0.755352,0.097088,[13 29] ; [11 21],[13.62162162 28.37837838] ; [10.37837838 21.62162162],0
v4,1,0.759994,0.093323,[29 13] ; [21  8],[29.57746479 12.42253521] ; [20.42253521  8.57746479],0
p12,1,0.858603,0.031738,[ 1 40] ; [ 1 31],[ 1.12328767 39.87671233] ; [ 0.87671233 31.12328767],0
b4,1,0.874388,0.024992,[27 15] ; [20 12],[26.67567568 15.32432432] ; [20.32432432 11.67567568],0
u1,1,0.879506,0.022981,[ 3 39] ; [ 2 30],[ 2.83783784 39.16216216] ; [ 2.16216216 29.83783784],0
n6,1,0.906037,0.013933,[27 14] ; [20 11],[26.76388889 14.23611111] ; [20.23611111 10.76388889],0
u3,1,0.933748,0.006911,[8 9] ; [5 6],[7.89285714 9.10714286] ; [5.10714286 5.89285714],0
a2,1,0.982711,0.00047,[ 4 38] ; [ 3 29],[ 3.97297297 38.02702703] ; [ 3.02702703 28.97297297],0
