Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,5e-06,20.982566,[51 16] ; [ 6 19],[41.51086957 25.48913043] ; [15.48913043  9.51086957],1
v3,1,0.495498,0.464565,[24 41] ; [ 7 17],[22.64044944 42.35955056] ; [ 8.35955056 15.64044944],0
n6,1,0.497948,0.459306,[54 13] ; [17  6],[52.85555556 14.14444444] ; [18.14444444  4.85555556],0
a8,1,0.517499,0.418875,[ 8 48] ; [ 5 20],[ 8.98765432 47.01234568] ; [ 4.01234568 20.98765432],0
s4,1,0.52139,0.411144,[18 50] ; [ 5 20],[16.8172043 51.1827957] ; [ 6.1827957 18.8172043],0
a4,1,0.522926,0.408118,[35 33] ; [11 14],[33.6344086 34.3655914] ; [12.3655914 12.6344086],0
p3,1,0.555687,0.347228,[28 40] ; [12 13],[29.24731183 38.75268817] ; [10.75268817 14.24731183],0
n3,1,0.571257,0.320584,[15  8] ; [9 7],[14.15384615  8.84615385] ; [9.84615385 6.15384615],0
v2,1,0.576657,0.31167,[36 30] ; [12 13],[34.81318681 31.18681319] ; [13.18681319 11.81318681],0
s6,1,0.647523,0.209037,[55 11] ; [19  5],[54.26666667 11.73333333] ; [19.73333333  4.26666667],0
r3,1,0.661881,0.191246,[61  6] ; [22  3],[60.44565217  6.55434783] ; [22.55434783  2.44565217],0
p7,1,0.668193,0.183723,[31 35] ; [13 12],[31.91208791 34.08791209] ; [12.08791209 12.91208791],0
a3,1,0.684797,0.164776,[51 16] ; [18  7],[50.25 16.75] ; [18.75  6.25],0
s1,1,0.694887,0.153846,[ 6 59] ; [ 3 22],[ 6.5 58.5] ; [ 2.5 22.5],0
a1,1,0.712471,0.135822,[ 4 64] ; [ 2 23],[ 4.38709677 63.61290323] ; [ 1.61290323 23.38709677],0
n2,1,0.724507,0.124215,[17  6] ; [11  5],[16.51282051  6.48717949] ; [11.48717949  4.51282051],0
u2,1,0.75235,0.099567,[8 8] ; [4 3],[8.34782609 7.65217391] ; [3.65217391 3.34782609],0
p1,1,0.753169,0.098887,[ 9 58] ; [ 4 21],[ 9.4673913 57.5326087] ; [ 3.5326087 21.4673913],0
d2,1,0.78242,0.076268,[37 30] ; [13 12],[36.41304348 30.58695652] ; [13.58695652 11.41304348],0
p5,1,0.813869,0.055431,[ 7 61] ; [ 3 22],[ 7.31182796 60.68817204] ; [ 2.68817204 22.31182796],0
v1,1,0.836154,0.042772,[37 31] ; [13 12],[36.55913978 31.44086022] ; [13.44086022 11.55913978],0
s5,1,0.859386,0.031384,[28 33] ; [12 13],[28.37209302 32.62790698] ; [11.62790698 13.37209302],0
p2,1,0.921063,0.00982,[51 17] ; [19  6],[51.1827957 16.8172043] ; [18.8172043  6.1827957],0
u4,1,0.930851,0.00753,[ 3 65] ; [ 1 24],[ 2.92473118 65.07526882] ; [ 1.07526882 23.92473118],0
