Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,106.480881,[525  12] ; [79 33],[499.76579353  37.23420647] ; [104.23420647   7.76579353],1
a8,1,0.392323,0.731731,[ 73 401] ; [13 94],[ 70.16179002 403.83820998] ; [15.83820998 91.16179002],0
b4,1,0.412111,0.672702,[318 219] ; [71 41],[321.86902928 215.13097072] ; [67.13097072 44.86902928],0
p12,1,0.414777,0.665066,[ 46 486] ; [  7 104],[ 43.85069984 488.14930016] ; [  9.14930016 101.85069984],0
a1,1,0.422839,0.642412,[ 20 517] ; [  6 106],[ 21.51309707 515.48690293] ; [  4.48690293 107.51309707],0
b2,1,0.464056,0.536095,[106 207] ; [24 38],[108.50666667 204.49333333] ; [21.49333333 40.50666667],0
b3,1,0.464056,0.536095,[106 207] ; [24 38],[108.50666667 204.49333333] ; [21.49333333 40.50666667],0
b1,1,0.468417,0.525708,[187 350] ; [35 77],[183.68875193 353.31124807] ; [38.31124807 73.68875193],0
p6,1,0.589453,0.291199,[194 335] ; [37 72],[191.53448276 337.46551724] ; [39.46551724 69.53448276],0
p3,1,0.632166,0.229134,[263 270] ; [52 59],[260.70652174 272.29347826] ; [54.29347826 56.70652174],0
n3,1,0.640607,0.217949,[79 25] ; [23  9],[78. 26.] ; [24.  8.],0
n6,1,0.670006,0.181596,[452  82] ; [93 19],[450.51083591  83.48916409] ; [94.48916409 17.51083591],0
p10,1,0.673743,0.177255,[436  94] ; [87 21],[434.46708464  95.53291536] ; [88.53291536 19.46708464],0
s1,1,0.776142,0.080855,[ 17 511] ; [  3 108],[ 16.5258216 511.4741784] ; [  3.4741784 107.5258216],0
p11,1,0.797696,0.065705,[423 114] ; [87 25],[421.98767334 115.01232666] ; [88.01232666 23.98767334],0
u4,1,0.856758,0.032581,[ 11 526] ; [  2 110],[ 10.75654854 526.24345146] ; [  2.24345146 109.75654854],0
n1,1,0.900339,0.015683,[32 71] ; [10 21],[32.28358209 70.71641791] ; [ 9.71641791 21.28358209],0
p5,1,0.905469,0.014103,[ 56 476] ; [12 98],[ 56.34890966 475.65109034] ; [11.65109034 98.34890966],0
