Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,2.1e-05,18.090624,[14 73] ; [18 15],[23.2 63.8] ; [ 8.8 24.2],1
s8,1,0.348573,0.878644,[ 8 79] ; [ 5 28],[ 9.425 77.575] ; [ 3.575 29.425],0
a7,1,0.414046,0.667153,[52 35] ; [17 16],[50.025 36.975] ; [18.975 14.025],0
n6,1,0.432699,0.615569,[53 34] ; [22 10],[54.83193277 32.16806723] ; [20.16806723 11.83193277],0
v3,1,0.465406,0.532863,[18 65] ; [ 9 23],[19.48695652 63.51304348] ; [ 7.51304348 24.48695652],0
d1,1,0.465693,0.532176,[31 57] ; [14 19],[32.72727273 55.27272727] ; [12.27272727 20.72727273],0
d3,1,0.479495,0.500011,[39 49] ; [17 16],[40.72727273 47.27272727] ; [15.27272727 17.72727273],0
s4,1,0.531257,0.391987,[15 72] ; [ 4 28],[13.8907563 73.1092437] ; [ 5.1092437 26.8907563],0
d4,1,0.610279,0.259769,[57 31] ; [23 10],[58.18181818 29.81818182] ; [21.81818182 11.18181818],0
b4,1,0.681846,0.168056,[49 39] ; [17 16],[48. 40.] ; [18. 15.],0
d5,1,0.707068,0.141223,[50 38] ; [20 13],[50.90909091 37.09090909] ; [19.09090909 13.90909091],0
a1,1,0.719186,0.129274,[10 78] ; [ 3 30],[ 9.45454545 78.54545455] ; [ 3.54545455 29.45454545],0
b5,1,0.73584,0.113817,[51 37] ; [18 15],[50.18181818 37.81818182] ; [18.81818182 14.18181818],0
p9,1,0.749067,0.102316,[41 44] ; [17 16],[41.77966102 43.22033898] ; [16.22033898 16.77966102],0
a3,1,0.75871,0.094357,[47 39] ; [17 16],[46.25210084 39.74789916] ; [17.74789916 15.25210084],0
a6,1,0.765907,0.088645,[48 40] ; [17 16],[47.27272727 40.72727273] ; [17.72727273 15.27272727],0
b2,1,0.766021,0.088556,[19 32] ; [ 6 12],[18.47826087 32.52173913] ; [ 6.52173913 11.47826087],0
b3,1,0.766021,0.088556,[19 32] ; [ 6 12],[18.47826087 32.52173913] ; [ 6.52173913 11.47826087],0
n2,1,0.801747,0.063045,[23 14] ; [6 3],[23.32608696 13.67391304] ; [5.67391304 3.32608696],0
b1,1,0.822437,0.050361,[38 50] ; [15 18],[38.54545455 49.45454545] ; [14.45454545 18.54545455],0
d2,1,0.83971,0.040911,[33 53] ; [12 21],[32.5210084 53.4789916] ; [12.4789916 20.5210084],0
a8,1,0.844178,0.038633,[ 7 78] ; [ 3 29],[ 7.26495726 77.73504274] ; [ 2.73504274 29.26495726],0
a4,1,0.879792,0.022871,[30 56] ; [12 21],[30.35294118 55.64705882] ; [11.64705882 21.35294118],0
n4,1,0.933483,0.006966,[52 35] ; [20 13],[52.2 34.8] ; [19.8 13.2],0
r2,1,0.935972,0.006454,[69 16] ; [27  6],[69.15254237 15.84745763] ; [26.84745763  6.15254237],0
