Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,2e-06,22.863071,[30 27] ; [ 6 50],[18.15929204 38.84070796] ; [17.84070796 38.15929204],1
v2,1,0.784511,0.074772,[19 37] ; [17 37],[18.32727273 37.67272727] ; [17.67272727 36.32727273],0
p7,1,0.78593,0.073767,[16 39] ; [17 37],[16.65137615 38.34862385] ; [16.34862385 37.65137615],0
s8,1,0.853589,0.034056,[ 9 49] ; [ 8 48],[ 8.64912281 49.35087719] ; [ 8.35087719 47.64912281],0
b5,1,0.853945,0.033888,[28 30] ; [28 28],[28.49122807 29.50877193] ; [27.50877193 28.49122807],0
n2,1,0.882553,0.021825,[15 13] ; [15 12],[15.27272727 12.72727273] ; [14.72727273 12.27272727],0
p10,1,0.918212,0.010545,[29 28] ; [28 26],[29.27027027 27.72972973] ; [27.72972973 26.27027027],0
v3,1,0.92137,0.009743,[12 45] ; [12 43],[12.21428571 44.78571429] ; [11.78571429 43.21428571],0
s3,1,0.944133,0.004911,[19 36] ; [19 35],[19.17431193 35.82568807] ; [18.82568807 35.17431193],0
s2,1,0.954897,0.003199,[15 42] ; [15 41],[15.13274336 41.86725664] ; [14.86725664 41.13274336],0
s1,1,0.979283,0.000674,[ 4 53] ; [ 4 52],[ 4.03539823 52.96460177] ; [ 3.96460177 52.03539823],0
