Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000203,13.798692,[96 37] ; [117 107],[79.35294118 53.64705882] ; [133.64705882  90.35294118],1
a7,1,0.38116,0.766956,[95 39] ; [169  56],[98.54038997 35.45961003] ; [165.45961003  59.54038997],0
n4,1,0.439803,0.596797,[93 39] ; [167  58],[96.13445378 35.86554622] ; [163.86554622  61.13445378],0
p1,1,0.460904,0.543699,[  9 124] ; [ 11 213],[  7.45098039 125.54901961] ; [ 12.54901961 211.45098039],0
s1,1,0.477463,0.504652,[  6 124] ; [  7 216],[  4.78753541 125.21246459] ; [  8.21246459 214.78753541],0
v3,1,0.49073,0.474925,[56 76] ; [ 82 130],[52.95348837 79.04651163] ; [ 85.04651163 126.95348837],0
p8,1,0.506345,0.441614,[57 74] ; [ 89 134],[54.02824859 76.97175141] ; [ 91.97175141 131.02824859],0
p4,1,0.515202,0.423487,[71 61] ; [113 112],[68.03361345 63.96638655] ; [115.96638655 109.03361345],0
p2,1,0.547551,0.361723,[111  23] ; [179  44],[108.85154062  25.14845938] ; [181.14845938  41.85154062],0
p10,1,0.559422,0.340706,[106  26] ; [174  50],[103.82022472  28.17977528] ; [176.17977528  47.82022472],0
n3,1,0.611952,0.257343,[24  8] ; [42 18],[22.95652174  9.04347826] ; [43.04347826 16.95652174],0
d5,1,0.613005,0.255823,[110  24] ; [179  45],[108.17318436  25.82681564] ; [180.82681564  43.17318436],0
n1,1,0.6244,0.239731,[13 18] ; [22 38],[11.92307692 19.07692308] ; [23.07692308 36.92307692],0
p11,1,0.652849,0.202328,[99 35] ; [171  54],[100.77994429  33.22005571] ; [169.22005571  55.77994429],0
a8,1,0.71523,0.133109,[ 18 101] ; [ 28 177],[ 16.89506173 102.10493827] ; [ 29.10493827 175.89506173],0
u4,1,0.801964,0.062904,[  3 131] ; [  6 219],[  3.35933148 130.64066852] ; [  5.64066852 219.35933148],0
n5,1,0.850666,0.035445,[98 34] ; [165  60],[97.24369748 34.75630252] ; [165.75630252  59.24369748],0
v1,1,0.88243,0.021871,[68 64] ; [109 106],[67.3314121 64.6685879] ; [109.6685879 105.3314121],0
u3,1,0.912974,0.011944,[18 13] ; [45 31],[18.25233645 12.74766355] ; [44.74766355 31.25233645],0
b1,1,0.926557,0.008497,[47 87] ; [ 80 145],[47.40389972 86.59610028] ; [ 79.59610028 145.40389972],0
a1,1,0.931282,0.007436,[  5 129] ; [  8 217],[  4.85236769 129.14763231] ; [  8.14763231 216.85236769],0
b4,1,0.95549,0.003115,[80 54] ; [135  90],[80.25069638 53.74930362] ; [134.74930362  90.25069638],0
r3,1,0.977168,0.000819,[126   7] ; [213  12],[125.94134078   7.05865922] ; [213.05865922  11.94134078],0
d3,1,0.99166,0.000109,[91 43] ; [152  72],[90.95530726 43.04469274] ; [152.04469274  71.95530726],0
