Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,1e-06,23.203424,[44 98] ; [27  9],[56.64044944 85.35955056] ; [14.35955056 21.64044944],1
d2,1,0.29727,1.086403,[69 73] ; [14 22],[66.21348315 75.78651685] ; [16.78651685 19.21348315],0
d5,1,0.302062,1.065069,[106  35] ; [24 12],[103.55932203  37.44067797] ; [26.44067797  9.55932203],0
p4,1,0.302971,1.061069,[86 55] ; [18 17],[83.31818182 57.68181818] ; [20.68181818 14.31818182],0
v2,1,0.311101,1.025997,[85 54] ; [17 16],[82.43023256 56.56976744] ; [19.56976744 13.43023256],0
r1,1,0.326322,0.963439,[109  32] ; [25 11],[106.74576271  34.25423729] ; [27.25423729  8.74576271],0
p6,1,0.337822,0.918678,[55 85] ; [10 23],[52.60115607 87.39884393] ; [12.39884393 20.60115607],0
a6,1,0.412486,0.671623,[97 45] ; [22 14],[94.93258427 47.06741573] ; [24.06741573 11.93258427],0
b4,1,0.413061,0.669972,[72 70] ; [21 15],[74.19101124 67.80898876] ; [18.80898876 17.19101124],0
a2,1,0.474448,0.511598,[ 27 115] ; [ 5 31],[ 25.52808989 116.47191011] ; [ 6.47191011 29.52808989],0
n3,1,0.478105,0.503182,[27  3] ; [9 2],[26.34146341  3.65853659] ; [9.65853659 1.34146341],0
b5,1,0.605067,0.267421,[80 62] ; [22 14],[81.37078652 60.62921348] ; [20.62921348 15.37078652],0
p1,1,0.651808,0.203628,[ 11 131] ; [ 2 34],[ 10.37078652 131.62921348] ; [ 2.62921348 33.37078652],0
s4,1,0.651808,0.203628,[ 11 131] ; [ 2 34],[ 10.37078652 131.62921348] ; [ 2.62921348 33.37078652],0
a3,1,0.671839,0.179459,[96 44] ; [26 10],[97.04545455 42.95454545] ; [24.95454545 11.04545455],0
s2,1,0.745846,0.105054,[ 32 110] ; [ 7 28],[ 31.28813559 110.71186441] ; [ 7.71186441 27.28813559],0
p5,1,0.772219,0.083795,[ 10 131] ; [ 2 33],[  9.61363636 131.38636364] ; [ 2.38636364 32.61363636],0
s7,1,0.792781,0.069012,[38 97] ; [ 8 23],[37.40963855 97.59036145] ; [ 8.59036145 22.40963855],0
p12,1,0.845844,0.0378,[  5 137] ; [ 1 34],[  4.81355932 137.18644068] ; [ 1.18644068 33.81355932],0
n1,1,0.900415,0.015659,[ 9 19] ; [3 7],[ 8.84210526 19.15789474] ; [3.15789474 6.84210526],0
u3,1,0.939429,0.005774,[19 27] ; [4 6],[18.89285714 27.10714286] ; [4.10714286 5.89285714],0
n2,1,0.984182,0.000393,[21  8] ; [8 3],[21.025  7.975] ; [7.975 3.025],0
a4,1,0.986266,0.000296,[55 87] ; [14 22],[55.04494382 86.95505618] ; [13.95505618 22.04494382],0
a1,1,0.989876,0.000161,[  4 138] ; [ 1 35],[  3.98876404 138.01123596] ; [ 1.01123596 34.98876404],0
