Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,40.910631,[18 98] ; [117 112],[45.39130435 70.60869565] ; [ 89.60869565 139.39130435],1
p6,1,0.292729,1.107029,[34 81] ; [ 80 147],[38.33333333 76.66666667] ; [ 75.66666667 151.33333333],0
s4,1,0.327777,0.957662,[26 87] ; [ 42 185],[22.6 90.4] ; [ 45.4 181.6],0
s1,1,0.351459,0.868184,[  2 113] ; [  8 218],[  3.37243402 111.62756598] ; [  6.62756598 219.37243402],0
p1,1,0.476505,0.506851,[ 10 105] ; [ 15 213],[  8.3819242 106.6180758] ; [ 16.6180758 211.3819242],0
s3,1,0.479469,0.50007,[62 52] ; [132  94],[65.04705882 48.95294118] ; [128.95294118  97.04705882],0
a7,1,0.482239,0.493795,[79 35] ; [167  62],[81.76093294 32.23906706] ; [164.23906706  64.76093294],0
n2,1,0.556453,0.345882,[23 12] ; [45 18],[24.28571429 10.71428571] ; [43.71428571 19.28571429],0
p8,1,0.698601,0.149931,[57 58] ; [116 108],[58.68731563 56.31268437] ; [114.31268437 109.68731563],0
a8,1,0.968772,0.001533,[13 96] ; [ 25 182],[13.10759494 95.89240506] ; [ 24.89240506 182.10759494],0
b1,1,0.994517,4.7e-05,[42 74] ; [ 83 146],[42.02898551 73.97101449] ; [ 82.97101449 146.02898551],0
