Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,3e-06,21.594646,[ 1 25] ; [18 10],[ 9.14814815 16.85185185] ; [ 9.85185185 18.14814815],1
n3,1,0.521245,0.411429,[7 8] ; [3 6],[6.25 8.75] ; [3.75 5.25],0
p10,1,0.535218,0.384475,[ 9 16] ; [12 15],[10.09615385 14.90384615] ; [10.90384615 16.09615385],0
v3,1,0.567802,0.326374,[ 4 22] ; [ 6 22],[ 4.81481481 21.18518519] ; [ 5.18518519 22.81481481],0
s2,1,0.588565,0.292592,[ 6 20] ; [ 8 19],[ 6.86792453 19.13207547] ; [ 7.13207547 19.86792453],0
a1,1,0.609688,0.26063,[ 4 22] ; [ 3 25],[ 3.37037037 22.62962963] ; [ 3.62962963 24.37037037],0
v1,1,0.611324,0.258251,[ 7 19] ; [ 9 18],[ 7.8490566 18.1509434] ; [ 8.1509434 18.8490566],0
p2,1,0.630039,0.232008,[ 8 18] ; [10 17],[ 8.83018868 17.16981132] ; [ 9.16981132 17.83018868],0
r1,1,0.674688,0.176168,[ 7 19] ; [ 9 19],[ 7.7037037 18.2962963] ; [ 8.2962963 19.7037037],0
n5,1,0.700116,0.148352,[18  8] ; [18 10],[17.33333333  8.66666667] ; [18.66666667  9.33333333],0
a8,1,0.703782,0.144567,[ 2 23] ; [ 3 24],[ 2.40384615 22.59615385] ; [ 2.59615385 24.40384615],0
s8,1,0.763944,0.090183,[ 3 23] ; [ 4 24],[ 3.37037037 22.62962963] ; [ 3.62962963 24.37037037],0
p6,1,0.766366,0.088287,[ 3 22] ; [ 4 23],[ 3.36538462 21.63461538] ; [ 3.63461538 23.36538462],0
b1,1,0.792978,0.068878,[13 13] ; [15 13],[13.48148148 12.51851852] ; [14.51851852 13.48148148],0
s4,1,0.909572,0.0129,[ 4 22] ; [ 4 24],[ 3.85185185 22.14814815] ; [ 4.14814815 23.85185185],0
p12,1,0.957403,0.002853,[ 1 25] ; [ 1 27],[ 0.96296296 25.03703704] ; [ 1.03703704 26.96296296],0
