Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.000235,13.531527,[26  5] ; [ 9 16],[19.375 11.625] ; [15.625  9.375],1
v2,1,0.805651,0.060536,[10 21] ; [ 7 17],[ 9.58181818 21.41818182] ; [ 7.41818182 16.58181818],0
v1,1,0.821154,0.051103,[ 8 22] ; [ 6 19],[ 7.63636364 22.36363636] ; [ 6.36363636 18.63636364],0
s1,1,0.82302,0.050025,[ 2 29] ; [ 2 23],[ 2.21428571 28.78571429] ; [ 1.78571429 23.21428571],0
n6,1,0.843229,0.039111,[14 16] ; [11 14],[13.63636364 16.36363636] ; [11.36363636 13.63636364],0
n1,1,0.87018,0.026709,[7 8] ; [5 5],[7.2 7.8] ; [4.8 5.2],0
n2,1,0.87018,0.026709,[7 8] ; [5 5],[7.2 7.8] ; [4.8 5.2],0
b3,1,0.89611,0.01705,[ 9 14] ; [ 7 10],[ 9.2 13.8] ; [ 6.8 10.2],0
b2,1,0.89611,0.01705,[ 9 14] ; [ 7 10],[ 9.2 13.8] ; [ 6.8 10.2],0
s4,1,0.919074,0.010323,[ 4 27] ; [ 3 22],[ 3.875 27.125] ; [ 3.125 21.875],0
p6,1,0.927818,0.008207,[ 4 26] ; [ 3 21],[ 3.88888889 26.11111111] ; [ 3.11111111 20.88888889],0
s3,1,0.945713,0.004636,[ 8 23] ; [ 6 18],[ 7.89090909 23.10909091] ; [ 6.10909091 17.89090909],0
p2,1,0.959185,0.002619,[11 19] ; [ 9 16],[10.90909091 19.09090909] ; [ 9.09090909 15.90909091],0
p8,1,1.0,0.0,[ 6 24] ; [ 5 20],[ 6. 24.] ; [ 5. 20.],0
