Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,96.757936,[ 51 203] ; [148  83],[104.2185567 149.7814433] ; [ 94.7814433 136.2185567],1
a5,1,0.017574,5.638152,[182  73] ; [187  45],[193.21355236  61.78644764] ; [175.78644764  56.21355236],0
p9,1,0.01874,5.525572,[182  65] ; [190  40],[192.62893082  54.37106918] ; [179.37106918  50.62893082],0
r1,1,0.021772,5.263926,[192  61] ; [193  36],[202.08506224  50.91493776] ; [182.91493776  46.08506224],0
v2,1,0.025377,4.997947,[121 120] ; [135  88],[132.96551724 108.03448276] ; [123.03448276  99.96551724],0
n6,1,0.026571,4.918499,[193  60] ; [194  36],[202.71428571  50.28571429] ; [184.28571429  45.71428571],0
s2,1,0.03005,4.706443,[102 152] ; [114 114],[113.82572614 140.17427386] ; [102.17427386 125.82572614],0
s8,1,0.045217,4.010521,[ 84 171] ; [ 96 134],[ 94.63917526 160.36082474] ; [ 85.36082474 144.63917526],0
u3,1,0.061503,3.496389,[36 35] ; [42 21],[41.32835821 29.67164179] ; [36.67164179 26.32835821],0
p1,1,0.065387,3.395176,[  9 243] ; [ 17 214],[ 13.56521739 238.43478261] ; [ 12.43478261 218.56521739],0
d1,1,0.082202,3.020822,[159  96] ; [162  70],[168.08008214  86.91991786] ; [152.91991786  79.08008214],0
n2,1,0.089823,2.87754,[51 29] ; [36 10],[55.23809524 24.76190476] ; [31.76190476 14.23809524],0
u1,1,0.091614,2.845781,[ 35 220] ; [ 45 187],[ 41.88911704 213.11088296] ; [ 38.11088296 193.88911704],0
s5,1,0.096865,2.756419,[ 62 185] ; [ 72 153],[ 70.12288136 176.87711864] ; [ 63.87711864 161.12288136],0
b4,1,0.128582,2.309543,[158  97] ; [128 104],[149.75359343 105.24640657] ; [136.24640657  95.75359343],0
a6,1,0.189485,1.721615,[173  82] ; [170  62],[179.59958932  75.40041068] ; [163.40041068  68.59958932],0
s3,1,0.216198,1.52943,[124 128] ; [124 102],[130.74476987 121.25523013] ; [117.25523013 108.74476987],0
b5,1,0.230106,1.440204,[163  92] ; [136  96],[156.56057495  98.43942505] ; [142.43942505  89.56057495],0
d3,1,0.300983,1.069836,[176  79] ; [170  62],[181.17043121  73.82956879] ; [164.82956879  67.17043121],0
a8,1,0.325707,0.965892,[ 35 202] ; [ 24 183],[ 31.49324324 205.50675676] ; [ 27.50675676 179.49324324],0
a1,1,0.336449,0.923916,[ 12 243] ; [  7 225],[  9.9486653 245.0513347] ; [  9.0513347 222.9486653],0
a4,1,0.387434,0.746981,[121 133] ; [101 130],[116.26391753 137.73608247] ; [105.73608247 125.26391753],0
a7,1,0.429563,0.624006,[187  67] ; [178  54],[190.76131687  63.23868313] ; [174.23868313  57.76131687],0
p12,1,0.528218,0.397819,[ 12 241] ; [ 14 218],[ 13.5628866 239.4371134] ; [ 12.4371134 219.5628866],0
n3,1,0.537441,0.380304,[53 26] ; [34 13],[54.54761905 24.45238095] ; [32.45238095 14.54761905],0
u4,1,0.631225,0.230404,[  4 251] ; [  5 227],[  4.71252567 250.28747433] ; [  4.28747433 227.71252567],0
u2,1,0.684557,0.165041,[37 32] ; [36 27],[38.15909091 30.84090909] ; [34.84090909 28.15909091],0
a2,1,0.711055,0.137226,[ 59 196] ; [ 57 175],[ 60.73921971 194.26078029] ; [ 55.26078029 176.73921971],0
d2,1,0.764632,0.089643,[128 124] ; [121 111],[129.6446281 122.3553719] ; [119.3553719 112.6446281],0
d4,1,0.795542,0.067143,[221  33] ; [200  32],[220.02880658  33.97119342] ; [200.97119342  31.02880658],0
b1,1,0.820654,0.051395,[ 92 163] ; [ 86 146],[ 93.20328542 161.79671458] ; [ 84.79671458 147.20328542],0
s4,1,0.83068,0.045723,[ 39 214] ; [ 34 197],[ 38.15909091 214.84090909] ; [ 34.84090909 196.15909091],0
b2,1,0.909579,0.012898,[45 96] ; [ 46 101],[44.55208333 96.44791667] ; [ 46.44791667 100.55208333],0
b3,1,0.909579,0.012898,[45 96] ; [ 46 101],[44.55208333 96.44791667] ; [ 46.44791667 100.55208333],0
s1,1,0.932959,0.007077,[  7 247] ; [  6 222],[  6.85062241 247.14937759] ; [  6.14937759 221.85062241],0
a3,1,0.949556,0.004002,[184  71] ; [168  64],[184.31211499  70.68788501] ; [167.68788501  64.31211499],0
r2,1,0.975909,0.000912,[233  16] ; [216  15],[232.91875  16.08125] ; [216.08125  14.91875],0
n1,1,0.97791,0.000767,[29 50] ; [17 29],[29.072 49.928] ; [16.928 29.072],0
