Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,117.229383,[304 155] ; [ 43 163],[239.50827068 219.49172932] ; [107.49172932  98.50827068],1
p7,1,0.052453,3.761269,[303 144] ; [123  82],[292.05828221 154.94171779] ; [133.94171779  71.05828221],0
a1,1,0.070495,3.271456,[ 29 434] ; [  6 201],[ 24.18656716 438.81343284] ; [ 10.81343284 196.18656716],0
d4,1,0.087228,2.924806,[388  71] ; [163  43],[380.31428571  78.68571429] ; [170.68571429  35.31428571],0
a8,1,0.087866,2.913041,[ 70 348] ; [ 21 164],[ 63.08126036 354.91873964] ; [ 27.91873964 157.08126036],0
a6,1,0.091186,2.853312,[307 152] ; [152  55],[316.33783784 142.66216216] ; [142.66216216  64.33783784],0
p3,1,0.112185,2.523175,[255 205] ; [100 105],[245.56390977 214.43609023] ; [109.43609023  95.56390977],0
a2,1,0.124673,2.357608,[129 334] ; [ 46 161],[120.93283582 342.06716418] ; [ 54.06716418 152.93283582],0
d3,1,0.162482,1.950976,[327 133] ; [136  71],[319.31034483 140.68965517] ; [143.68965517  63.31034483],0
b3,1,0.186848,1.742294,[112 186] ; [56 70],[118.0754717 179.9245283] ; [49.9245283 76.0754717],0
b2,1,0.186848,1.742294,[112 186] ; [56 70],[118.0754717 179.9245283] ; [49.9245283 76.0754717],0
p2,1,0.204514,1.609842,[395  65] ; [169  37],[389.54954955  70.45045045] ; [174.45045045  31.54954955],0
n1,1,0.215494,1.53413,[42 46] ; [14 25],[38.80314961 49.19685039] ; [17.19685039 21.80314961],0
b5,1,0.222971,1.485147,[287 176] ; [118  89],[279.87313433 183.12686567] ; [125.12686567  81.87313433],0
d1,1,0.256545,1.287305,[292 171] ; [121  86],[285.40149254 177.59850746] ; [127.59850746  79.40149254],0
n3,1,0.259152,1.273279,[64 24] ; [32  7],[66.51968504 21.48031496] ; [29.48031496  9.51968504],0
r3,1,0.266215,1.236149,[444  18] ; [194  12],[441.25149701  20.74850299] ; [196.74850299   9.25149701],0
a3,1,0.266684,1.233725,[347 113] ; [147  59],[341.2012012 118.7987988] ; [152.7987988  53.2012012],0
a5,1,0.317704,0.998376,[360 102] ; [154  53],[354.95964126 107.04035874] ; [159.04035874  47.95964126],0
n2,1,0.324794,0.969546,[70 19] ; [29 12],[67.77692308 21.22307692] ; [31.22307692  9.77692308],0
p8,1,0.347346,0.88313,[250 203] ; [104  99],[244.45426829 208.54573171] ; [109.54573171  93.45426829],0
b4,1,0.446309,0.580008,[274 189] ; [116  91],[269.50746269 193.49253731] ; [120.49253731  86.50746269],0
d2,1,0.496637,0.462116,[242 218] ; [102 103],[237.95488722 222.04511278] ; [106.04511278  98.95488722],0
p1,1,0.598936,0.276604,[ 41 419] ; [ 21 185],[ 42.82282282 417.17717718] ; [ 19.17717718 186.82282282],0
r2,1,0.674941,0.175876,[443  15] ; [196   8],[442.08761329  15.91238671] ; [196.91238671   7.08761329],0
a7,1,0.771392,0.084422,[334 127] ; [147  59],[332.44527736 128.55472264] ; [148.55472264  57.44527736],0
v3,1,0.788322,0.072087,[196 251] ; [ 85 114],[194.4380805 252.5619195] ; [ 86.5619195 112.4380805],0
a4,1,0.827969,0.047222,[222 237] ; [102 105],[223.2972973 235.7027027] ; [100.7027027 106.2972973],0
b1,1,0.871201,0.026287,[182 281] ; [ 80 127],[181.05373134 281.94626866] ; [ 80.94626866 126.05373134],0
v2,1,0.926291,0.008559,[256 190] ; [115  84],[256.53643411 189.46356589] ; [114.46356589  84.53643411],0
p11,1,0.94689,0.004437,[379  84] ; [169  38],[378.69253731  84.30746269] ; [169.30746269  37.69253731],0
